enc_0.py: Max Memory = 0.58984375 MB, CPU Usages = [49.9]
enc_1.py: Max Memory = 0.58203125 MB, CPU Usages = [39.9]
enc_2.py: Max Memory = 0.578125 MB, CPU Usages = [49.9]
enc_3.py: Max Memory = 0.58203125 MB, CPU Usages = [39.9]
enc_4.py: Max Memory = 0.59375 MB, CPU Usages = [39.9]
enc_7.py: Max Memory = 0.5859375 MB, CPU Usages = [39.9]
enc_8.py: Max Memory = 0.62890625 MB, CPU Usages = [39.9]
enc_9.py: Max Memory = 0.47265625 MB, CPU Usages = [39.9]
enc_10.py: Max Memory = 0.609375 MB, CPU Usages = [39.9]
enc_11.py: Max Memory = 0.5 MB, CPU Usages = [39.9]
enc_12.py: Max Memory = 0.609375 MB, CPU Usages = [49.9]
enc_13.py: Max Memory = 0.63671875 MB, CPU Usages = [39.9]
enc_14.py: Max Memory = 0.62109375 MB, CPU Usages = [49.9]
enc_15.py: Max Memory = 0.59765625 MB, CPU Usages = [39.9]
enc_16.py: Max Memory = 0.51171875 MB, CPU Usages = [59.9]
enc_20.py: Max Memory = 0.609375 MB, CPU Usages = [39.9]
enc_21.py: Max Memory = 0.625 MB, CPU Usages = [49.8]
enc_22.py: Max Memory = 0.6328125 MB, CPU Usages = [49.9]
enc_23.py: Max Memory = 0.6171875 MB, CPU Usages = [39.9]
enc_25.py: Max Memory = 0.5859375 MB, CPU Usages = [39.9]
enc_27.py: Max Memory = 0.6328125 MB, CPU Usages = [39.9]
enc_28.py: Max Memory = 0.62109375 MB, CPU Usages = [49.9]
enc_29.py: Max Memory = 0.60546875 MB, CPU Usages = [39.9]
enc_30.py: Max Memory = 0.62890625 MB, CPU Usages = [39.9]
enc_31.py: Max Memory = 0.57421875 MB, CPU Usages = [39.9]
enc_32.py: Max Memory = 0.6171875 MB, CPU Usages = [39.9]
enc_33.py: Max Memory = 0.00390625 MB, CPU Usages = [29.9]
enc_34.py: Max Memory = 0.640625 MB, CPU Usages = [39.9]
enc_35.py: Max Memory = 0.609375 MB, CPU Usages = [49.9]
enc_37.py: Max Memory = 0.00390625 MB, CPU Usages = [39.9]
enc_41.py: Max Memory = 0.5859375 MB, CPU Usages = [49.9]
enc_42.py: Max Memory = 0.57421875 MB, CPU Usages = [49.9]
enc_44.py: Max Memory = 0.62890625 MB, CPU Usages = [39.9]
enc_45.py: Max Memory = 0.62109375 MB, CPU Usages = [39.9]
enc_46.py: Max Memory = 0.61328125 MB, CPU Usages = [59.9]
enc_47.py: Max Memory = 0.5703125 MB, CPU Usages = [39.9]
enc_48.py: Max Memory = 0.61328125 MB, CPU Usages = [39.9]
enc_49.py: Max Memory = 0.6015625 MB, CPU Usages = [39.9]
enc_50.py: Max Memory = 0.58984375 MB, CPU Usages = [39.9]
enc_51.py: Max Memory = 0.6171875 MB, CPU Usages = [39.9]
enc_52.py: Max Memory = 0.6015625 MB, CPU Usages = [49.9]
enc_53.py: Max Memory = 0.63671875 MB, CPU Usages = [59.9]
enc_54.py: Max Memory = 0.58984375 MB, CPU Usages = [49.9]
enc_55.py: Max Memory = 0.58984375 MB, CPU Usages = [39.9]
enc_56.py: Max Memory = 0.6328125 MB, CPU Usages = [39.9]
enc_57.py: Max Memory = 0.00390625 MB, CPU Usages = [29.9]
enc_58.py: Max Memory = 0.5234375 MB, CPU Usages = [30.0]
enc_59.py: Max Memory = 0.59375 MB, CPU Usages = [39.9]
enc_60.py: Max Memory = 0.609375 MB, CPU Usages = [49.9]
enc_61.py: Max Memory = 0.58203125 MB, CPU Usages = [49.8]
