8388888.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
524624.00 Byte, 0.00 Byte
539520.00 Byte, 0.00 Byte
8495456.00 Byte, 3920.00 Byte
3145992.00 Byte, 0.00 Byte
131456.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
1484944.00 Byte, 0.00 Byte
7340296.00 Byte, 56.00 Byte
398832.00 Byte, 0.00 Byte
160.00 Byte, 0.00 Byte
242.00 Byte, 0.00 Byte
5088.00 Byte, 0.00 Byte
1704248.00 Byte, 56.00 Byte
336.00 Byte, 0.00 Byte
65696.00 Byte, 0.00 Byte
8576.00 Byte, 0.00 Byte
10701312.00 Byte, 0.00 Byte
27081170.00 Byte, 168.00 Byte
4284416.00 Byte, 4480.00 Byte
2424936.00 Byte, 0.00 Byte
4194401.00 Byte, 0.00 Byte
65640.00 Byte, 0.00 Byte
262340.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
141776.00 Byte, 2744.00 Byte
2621536.00 Byte, 56.00 Byte
545247.00 Byte, 0.00 Byte
2659896.00 Byte, 0.00 Byte
2524.00 Byte, 0.00 Byte
68021038.00 Byte, 0.00 Byte
8688984.00 Byte, 4528.00 Byte
33554564.00 Byte, 0.00 Byte
4310808.00 Byte, 4480.00 Byte
8192.00 Byte, 0.00 Byte
16696.00 Byte, 0.00 Byte
8388760.00 Byte, 0.00 Byte
4194457.00 Byte, 0.00 Byte
1048727.00 Byte, 0.00 Byte
1572864.00 Byte, 0.00 Byte
256.00 Byte, 0.00 Byte
2550020.00 Byte, 4424.00 Byte
2883876.00 Byte, 0.00 Byte
12768728.00 Byte, 0.00 Byte
18677448.00 Byte, 0.00 Byte
4156.00 Byte, 0.00 Byte
48.00 Byte, 0.00 Byte
524624.00 Byte, 0.00 Byte
33524185.00 Byte, 0.00 Byte
33096.00 Byte, 0.00 Byte
4376520.00 Byte, 4480.00 Byte
65744.00 Byte, 0.00 Byte
12582912.00 Byte, 0.00 Byte
65640.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
34073235.00 Byte, 0.00 Byte
4179368.00 Byte, 4480.00 Byte
524440.00 Byte, 0.00 Byte
4194353.00 Byte, 0.00 Byte
184328.00 Byte, 0.00 Byte
3196968.00 Byte, 0.00 Byte
786432.00 Byte, 0.00 Byte
2097192.00 Byte, 0.00 Byte
8388656.00 Byte, 0.00 Byte
36678928.00 Byte, 0.00 Byte
8388636.00 Byte, 0.00 Byte
8459416.00 Byte, 4480.00 Byte
8476.00 Byte, 0.00 Byte
12582912.00 Byte, 0.00 Byte
7864952.00 Byte, 0.00 Byte
524337.00 Byte, 0.00 Byte
885076.00 Byte, 64.00 Byte
240.00 Byte, 0.00 Byte
8388608.00 Byte, 0.00 Byte
12541144.00 Byte, 0.00 Byte
923216.00 Byte, 0.00 Byte
7973064.00 Byte, 0.00 Byte
61753.00 Byte, 56.00 Byte
8593304.00 Byte, 4480.00 Byte
262408.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
75445556.00 Byte, 112000.00 Byte
33554584.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
8450564.00 Byte, 4480.00 Byte
48.00 Byte, 0.00 Byte
