HumanEval_0.py: 8388888.00 Byte, 0.00 Byte
Mbpp_3.py: 152.00 Byte, 0.00 Byte
HumanEval_4.py: 524624.00 Byte, 0.00 Byte
HumanEval_9.py: 539520.00 Byte, 0.00 Byte
Mbpp_12.py: 8495456.00 Byte, 3920.00 Byte
Mbpp_19.py: 3145992.00 Byte, 0.00 Byte
HumanEval_20.py: 131456.00 Byte, 0.00 Byte
HumanEval_31.py: 152.00 Byte, 0.00 Byte
HumanEval_33.py: 1484944.00 Byte, 0.00 Byte
HumanEval_34.py: 7340296.00 Byte, 56.00 Byte
HumanEval_37.py: 398832.00 Byte, 0.00 Byte
HumanEval_49.py: 160.00 Byte, 0.00 Byte
HumanEval_51.py: 242.00 Byte, 0.00 Byte
HumanEval_54.py: 5088.00 Byte, 0.00 Byte
HumanEval_58.py: 1704248.00 Byte, 56.00 Byte
HumanEval_64.py: 336.00 Byte, 0.00 Byte
HumanEval_74.py: 65696.00 Byte, 0.00 Byte
Mbpp_75.py: 8576.00 Byte, 0.00 Byte
HumanEval_85.py: 10701312.00 Byte, 0.00 Byte
HumanEval_86.py: 27081170.00 Byte, 168.00 Byte
HumanEval_87.py: 4284416.00 Byte, 4480.00 Byte
Mbpp_88.py: 2424936.00 Byte, 0.00 Byte
HumanEval_89.py: 4194401.00 Byte, 0.00 Byte
Mbpp_90.py: 65640.00 Byte, 0.00 Byte
Mbpp_94.py: 262340.00 Byte, 0.00 Byte
Mbpp_96.py: 152.00 Byte, 0.00 Byte
Mbpp_97.py: 141776.00 Byte, 2744.00 Byte
Mbpp_106.py: 2621536.00 Byte, 56.00 Byte
HumanEval_113.py: 545247.00 Byte, 0.00 Byte
HumanEval_121.py: 2659896.00 Byte, 0.00 Byte
Mbpp_123.py: 2524.00 Byte, 0.00 Byte
Mbpp_128.py: 68021038.00 Byte, 0.00 Byte
Mbpp_129.py: 8688936.00 Byte, 4480.00 Byte
Mbpp_137.py: 33554564.00 Byte, 0.00 Byte
Mbpp_140.py: 4310808.00 Byte, 4480.00 Byte
Mbpp_141.py: 8192.00 Byte, 0.00 Byte
Mbpp_166.py: 16696.00 Byte, 0.00 Byte
Mbpp_170.py: 8388760.00 Byte, 0.00 Byte
Mbpp_226.py: 4194457.00 Byte, 0.00 Byte
Mbpp_230.py: 1048727.00 Byte, 0.00 Byte
Mbpp_240.py: 1572864.00 Byte, 0.00 Byte
Mbpp_256.py: 256.00 Byte, 0.00 Byte
Mbpp_265.py: 2550020.00 Byte, 4424.00 Byte
Mbpp_281.py: 2883876.00 Byte, 0.00 Byte
Mbpp_308.py: 12768728.00 Byte, 0.00 Byte
Mbpp_392.py: 18677448.00 Byte, 0.00 Byte
Mbpp_395.py: 4156.00 Byte, 0.00 Byte
Mbpp_405.py: 48.00 Byte, 0.00 Byte
Mbpp_414.py: 524624.00 Byte, 0.00 Byte
Mbpp_421.py: 33524185.00 Byte, 0.00 Byte
Mbpp_424.py: 33096.00 Byte, 0.00 Byte
Mbpp_425.py: 4376520.00 Byte, 4480.00 Byte
Mbpp_428.py: 65744.00 Byte, 0.00 Byte
Mbpp_433.py: 12582912.00 Byte, 0.00 Byte
Mbpp_446.py: 65640.00 Byte, 0.00 Byte
Mbpp_451.py: 96.00 Byte, 0.00 Byte
Mbpp_456.py: 34073235.00 Byte, 0.00 Byte
Mbpp_460.py: 4179368.00 Byte, 4480.00 Byte
Mbpp_474.py: 524440.00 Byte, 0.00 Byte
Mbpp_477.py: 4194353.00 Byte, 0.00 Byte
Mbpp_572.py: 184328.00 Byte, 0.00 Byte
Mbpp_578.py: 3196968.00 Byte, 0.00 Byte
Mbpp_586.py: 786432.00 Byte, 0.00 Byte
Mbpp_587.py: 2097192.00 Byte, 0.00 Byte
Mbpp_588.py: 8388656.00 Byte, 0.00 Byte
Mbpp_604.py: 36678928.00 Byte, 0.00 Byte
Mbpp_610.py: 8388636.00 Byte, 0.00 Byte
Mbpp_611.py: 8459416.00 Byte, 4480.00 Byte
Mbpp_633.py: 8476.00 Byte, 0.00 Byte
Mbpp_644.py: 12582912.00 Byte, 0.00 Byte
Mbpp_720.py: 7864952.00 Byte, 0.00 Byte
Mbpp_732.py: 524337.00 Byte, 0.00 Byte
Mbpp_740.py: 885076.00 Byte, 64.00 Byte
Mbpp_744.py: 240.00 Byte, 0.00 Byte
Mbpp_750.py: 8388608.00 Byte, 0.00 Byte
Mbpp_753.py: 12541144.00 Byte, 0.00 Byte
Mbpp_754.py: 923216.00 Byte, 0.00 Byte
Mbpp_755.py: 7973064.00 Byte, 0.00 Byte
Mbpp_757.py: 61753.00 Byte, 56.00 Byte
Mbpp_758.py: 8593304.00 Byte, 4480.00 Byte
Mbpp_760.py: 262408.00 Byte, 0.00 Byte
Mbpp_764.py: 152.00 Byte, 0.00 Byte
Mbpp_766.py: 75445556.00 Byte, 112000.00 Byte
Mbpp_775.py: 33554584.00 Byte, 0.00 Byte
Mbpp_800.py: 96.00 Byte, 0.00 Byte
Mbpp_805.py: 8450564.00 Byte, 4480.00 Byte
Mbpp_808.py: 48.00 Byte, 0.00 Byte
