HumanEval_0.py: 0.014092s
Mbpp_3.py: 0.000446s
HumanEval_4.py: 0.014750s
HumanEval_9.py: 0.006842s
Mbpp_12.py: 0.005943s
Mbpp_19.py: 0.001864s
HumanEval_20.py: 31.298190s
HumanEval_31.py: 1.064602s
HumanEval_33.py: 0.002584s
HumanEval_34.py: 0.006068s
HumanEval_37.py: 0.001759s
HumanEval_49.py: 0.002024s
HumanEval_51.py: 0.366238s
HumanEval_54.py: 0.009656s
HumanEval_58.py: 65.160631s
HumanEval_64.py: 0.295854s
HumanEval_74.py: 0.001128s
Mbpp_75.py: 0.000457s
HumanEval_85.py: 0.023506s
HumanEval_86.py: 0.434788s
HumanEval_87.py: 0.016156s
Mbpp_88.py: 0.004042s
HumanEval_89.py: 0.737586s
Mbpp_90.py: 0.001331s
Mbpp_94.py: 0.002585s
Mbpp_96.py: 0.052907s
Mbpp_97.py: 0.002283s
Mbpp_106.py: 0.001261s
HumanEval_113.py: 1.943967s
HumanEval_121.py: 0.010909s
Mbpp_123.py: 0.360566s
Mbpp_128.py: 0.070495s
Mbpp_129.py: 0.224174s
Mbpp_137.py: 0.099473s
Mbpp_140.py: 0.009847s
Mbpp_141.py: 0.000715s
Mbpp_166.py: 0.109315s
Mbpp_170.py: 0.036793s
Mbpp_226.py: 0.347217s
Mbpp_230.py: 0.058890s
Mbpp_240.py: 0.001426s
Mbpp_256.py: 2.255027s
Mbpp_265.py: 0.061256s
Mbpp_281.py: 0.000775s
Mbpp_308.py: 0.045761s
Mbpp_392.py: 0.229191s
Mbpp_395.py: 0.002973s
Mbpp_405.py: 0.000934s
Mbpp_414.py: 0.000494s
Mbpp_421.py: 0.033587s
Mbpp_424.py: 0.000832s
Mbpp_425.py: 0.002873s
Mbpp_428.py: 0.006318s
Mbpp_433.py: 0.198072s
Mbpp_446.py: 0.001377s
Mbpp_451.py: 0.001387s
Mbpp_456.py: 0.014997s
Mbpp_460.py: 0.002177s
Mbpp_474.py: 0.029682s
Mbpp_477.py: 0.000769s
Mbpp_572.py: 0.963526s
Mbpp_578.py: 0.018580s
Mbpp_586.py: 0.000397s
Mbpp_587.py: 0.001320s
Mbpp_588.py: 0.035175s
Mbpp_604.py: 0.018832s
Mbpp_610.py: 0.013648s
Mbpp_611.py: 0.003727s
Mbpp_633.py: 0.024225s
Mbpp_644.py: 0.010277s
Mbpp_720.py: 0.013096s
Mbpp_732.py: 0.000191s
Mbpp_740.py: 0.004764s
Mbpp_744.py: 0.141119s
Mbpp_750.py: 0.011534s
Mbpp_753.py: 0.083322s
Mbpp_754.py: 0.002732s
Mbpp_755.py: 0.035618s
Mbpp_757.py: 54.078411s
Mbpp_758.py: 0.006477s
Mbpp_760.py: 0.000193s
Mbpp_764.py: 0.249122s
Mbpp_766.py: 0.218130s
Mbpp_775.py: 0.007494s
Mbpp_800.py: 0.001387s
Mbpp_805.py: 0.021777s
Mbpp_808.py: 0.004702s
