20971576.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
123252.00 Byte, 0.00 Byte
524624.00 Byte, 0.00 Byte
539472.00 Byte, 0.00 Byte
16585.00 Byte, 0.00 Byte
4194407.00 Byte, 0.00 Byte
8503704.00 Byte, 3864.00 Byte
1051449.00 Byte, 0.00 Byte
1114.00 Byte, 0.00 Byte
3146020.00 Byte, 0.00 Byte
262296.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
2425120.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
2027456.00 Byte, 0.00 Byte
7340296.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
620820.00 Byte, 0.00 Byte
92.00 Byte, 0.00 Byte
1064.00 Byte, 0.00 Byte
5088.00 Byte, 0.00 Byte
5898888.00 Byte, 0.00 Byte
84.00 Byte, 0.00 Byte
8388656.00 Byte, 0.00 Byte
1064.00 Byte, 0.00 Byte
65860.00 Byte, 0.00 Byte
8720.00 Byte, 0.00 Byte
8388968.00 Byte, 0.00 Byte
4269304.00 Byte, 4480.00 Byte
3145920.00 Byte, 64.00 Byte
38918585.00 Byte, 0.00 Byte
7340296.00 Byte, 0.00 Byte
65832.00 Byte, 0.00 Byte
262340.00 Byte, 0.00 Byte
336.00 Byte, 0.00 Byte
144248.00 Byte, 2808.00 Byte
2097232.00 Byte, 0.00 Byte
545280.00 Byte, 0.00 Byte
8388865.00 Byte, 0.00 Byte
11364.00 Byte, 0.00 Byte
612.00 Byte, 0.00 Byte
68021222.00 Byte, 0.00 Byte
8450600.00 Byte, 4480.00 Byte
1147128.00 Byte, 0.00 Byte
33554504.00 Byte, 0.00 Byte
8424.00 Byte, 0.00 Byte
6719128.00 Byte, 108640.00 Byte
16680.00 Byte, 0.00 Byte
14483640.00 Byte, 0.00 Byte
38918625.00 Byte, 0.00 Byte
1048624.00 Byte, 0.00 Byte
800.00 Byte, 264.00 Byte
2621424.00 Byte, 0.00 Byte
1665128.00 Byte, 0.00 Byte
655376.00 Byte, 0.00 Byte
2550020.00 Byte, 4424.00 Byte
2883848.00 Byte, 0.00 Byte
402392.00 Byte, 184.00 Byte
19139.00 Byte, 16327.00 Byte
3884.00 Byte, 0.00 Byte
0.00 Byte, 0.00 Byte
524624.00 Byte, 0.00 Byte
6261272.00 Byte, 0.00 Byte
33184.00 Byte, 0.00 Byte
4376704.00 Byte, 4480.00 Byte
65744.00 Byte, 0.00 Byte
8388656.00 Byte, 0.00 Byte
38918625.00 Byte, 0.00 Byte
1266.00 Byte, 0.00 Byte
65872.00 Byte, 0.00 Byte
1146.00 Byte, 0.00 Byte
34073351.00 Byte, 0.00 Byte
4179368.00 Byte, 4480.00 Byte
524337.00 Byte, 0.00 Byte
8388656.00 Byte, 0.00 Byte
4194353.00 Byte, 0.00 Byte
72.00 Byte, 0.00 Byte
573728.00 Byte, 0.00 Byte
3197264.00 Byte, 0.00 Byte
786432.00 Byte, 0.00 Byte
2097192.00 Byte, 0.00 Byte
8388656.00 Byte, 0.00 Byte
8388880.00 Byte, 0.00 Byte
36678880.00 Byte, 0.00 Byte
8450664.00 Byte, 4480.00 Byte
9497297.00 Byte, 0.00 Byte
8632.00 Byte, 0.00 Byte
12582912.00 Byte, 0.00 Byte
7864952.00 Byte, 0.00 Byte
33413616.00 Byte, 0.00 Byte
885052.00 Byte, 0.00 Byte
296.00 Byte, 0.00 Byte
16777272.00 Byte, 56.00 Byte
16735448.00 Byte, 0.00 Byte
7340296.00 Byte, 0.00 Byte
188680.00 Byte, 0.00 Byte
8540112.00 Byte, 4544.00 Byte
262408.00 Byte, 0.00 Byte
296.00 Byte, 0.00 Byte
75445740.00 Byte, 112000.00 Byte
33554768.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
0.00 Byte, 0.00 Byte
8450452.00 Byte, 4480.00 Byte
0.00 Byte, 0.00 Byte
