HumanEval_0.py: 0.181127s
Mbpp_3.py: 0.000218s
Mbpp_4.py: 0.001042s
HumanEval_4.py: 0.008939s
HumanEval_9.py: 0.003335s
Mbpp_9.py: 0.002342s
Mbpp_11.py: 0.000126s
Mbpp_12.py: 0.005523s
HumanEval_16.py: 0.004781s
Mbpp_16.py: 0.000019s
Mbpp_19.py: 0.001469s
HumanEval_20.py: 0.001931s
HumanEval_24.py: 0.512637s
HumanEval_26.py: 0.004577s
HumanEval_31.py: 0.000079s
HumanEval_33.py: 0.005278s
HumanEval_34.py: 0.004747s
HumanEval_36.py: 0.065860s
HumanEval_37.py: 0.002007s
HumanEval_49.py: 0.000004s
HumanEval_51.py: 0.049484s
HumanEval_54.py: 0.009608s
HumanEval_58.py: 0.005050s
HumanEval_59.py: 0.000028s
Mbpp_62.py: 0.018463s
HumanEval_64.py: 0.309521s
HumanEval_74.py: 0.001421s
Mbpp_75.py: 0.000441s
HumanEval_85.py: 0.053762s
HumanEval_87.py: 0.011617s
Mbpp_88.py: 0.002301s
HumanEval_89.py: 1.400602s
HumanEval_90.py: 0.002745s
Mbpp_90.py: 0.001834s
Mbpp_94.py: 0.002728s
Mbpp_96.py: 0.151950s
Mbpp_97.py: 0.001350s
Mbpp_106.py: 0.000863s
HumanEval_113.py: 1.451143s
HumanEval_119.py: 0.000610s
HumanEval_120.py: 0.000036s
Mbpp_123.py: 0.148742s
Mbpp_128.py: 0.068873s
Mbpp_129.py: 0.014446s
Mbpp_130.py: 0.001461s
Mbpp_137.py: 0.026129s
Mbpp_141.py: 0.002825s
HumanEval_149.py: 0.075299s
Mbpp_166.py: 0.000121s
Mbpp_170.py: 0.020521s
Mbpp_226.py: 0.480988s
Mbpp_230.py: 0.000301s
Mbpp_239.py: 0.049360s
Mbpp_240.py: 0.001507s
Mbpp_251.py: 0.005523s
Mbpp_256.py: 0.000580s
Mbpp_265.py: 0.038683s
Mbpp_281.py: 0.000731s
Mbpp_296.py: 0.081183s
Mbpp_392.py: 0.000167s
Mbpp_395.py: 0.003270s
Mbpp_405.py: 0.000192s
Mbpp_414.py: 0.000493s
Mbpp_421.py: 0.048332s
Mbpp_424.py: 0.000186s
Mbpp_425.py: 0.002953s
Mbpp_428.py: 0.005577s
Mbpp_433.py: 0.015164s
Mbpp_437.py: 0.477854s
Mbpp_440.py: 0.000015s
Mbpp_446.py: 0.338845s
Mbpp_451.py: 0.005371s
Mbpp_456.py: 0.012533s
Mbpp_460.py: 0.001814s
Mbpp_474.py: 0.000190s
Mbpp_476.py: 0.025119s
Mbpp_477.py: 0.000730s
Mbpp_563.py: 0.006693s
Mbpp_572.py: 0.001007s
Mbpp_578.py: 0.005977s
Mbpp_586.py: 0.000362s
Mbpp_587.py: 0.001289s
Mbpp_588.py: 0.029057s
Mbpp_597.py: 0.008313s
Mbpp_604.py: 0.014784s
Mbpp_611.py: 0.003897s
Mbpp_631.py: 0.038891s
Mbpp_633.py: 0.048065s
Mbpp_644.py: 0.008064s
Mbpp_720.py: 0.010018s
Mbpp_725.py: 0.047644s
Mbpp_740.py: 0.001889s
Mbpp_744.py: 0.138073s
Mbpp_750.py: 0.014561s
Mbpp_753.py: 0.080082s
Mbpp_755.py: 0.005880s
Mbpp_757.py: 0.004222s
Mbpp_758.py: 0.003917s
Mbpp_760.py: 0.000133s
Mbpp_764.py: 0.552789s
Mbpp_766.py: 0.132031s
Mbpp_775.py: 0.188445s
Mbpp_781.py: 5.393705s
Mbpp_800.py: 0.001221s
Mbpp_805.py: 0.005937s
Mbpp_808.py: 0.001618s
