12582896.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
123252.00 Byte, 0.00 Byte
524624.00 Byte, 0.00 Byte
801608.00 Byte, 0.00 Byte
8503848.00 Byte, 3864.00 Byte
1051449.00 Byte, 0.00 Byte
3146020.00 Byte, 0.00 Byte
131224.00 Byte, 0.00 Byte
196.00 Byte, 0.00 Byte
84.00 Byte, 0.00 Byte
7340296.00 Byte, 0.00 Byte
622444.00 Byte, 0.00 Byte
92.00 Byte, 0.00 Byte
1064.00 Byte, 0.00 Byte
5898888.00 Byte, 0.00 Byte
8388656.00 Byte, 0.00 Byte
65860.00 Byte, 0.00 Byte
8720.00 Byte, 0.00 Byte
8388968.00 Byte, 0.00 Byte
35465055.00 Byte, 0.00 Byte
4290072.00 Byte, 4480.00 Byte
4522504.00 Byte, 0.00 Byte
7340296.00 Byte, 0.00 Byte
65832.00 Byte, 0.00 Byte
262340.00 Byte, 0.00 Byte
144248.00 Byte, 2808.00 Byte
2097232.00 Byte, 0.00 Byte
612992.00 Byte, 0.00 Byte
545280.00 Byte, 0.00 Byte
11364.00 Byte, 0.00 Byte
2097488.00 Byte, 0.00 Byte
408.00 Byte, 0.00 Byte
68021222.00 Byte, 0.00 Byte
8450804.00 Byte, 4480.00 Byte
1147128.00 Byte, 0.00 Byte
6336.00 Byte, 0.00 Byte
6719128.00 Byte, 108640.00 Byte
16680.00 Byte, 0.00 Byte
14483640.00 Byte, 0.00 Byte
4194353.00 Byte, 0.00 Byte
1048624.00 Byte, 0.00 Byte
1572864.00 Byte, 0.00 Byte
1665128.00 Byte, 0.00 Byte
327908.00 Byte, 0.00 Byte
2550020.00 Byte, 4424.00 Byte
303368.00 Byte, 0.00 Byte
263784.00 Byte, 368.00 Byte
10671520.00 Byte, 0.00 Byte
19139.00 Byte, 16327.00 Byte
3740.00 Byte, 0.00 Byte
0.00 Byte, 0.00 Byte
5374600.00 Byte, 0.00 Byte
6261264.00 Byte, 0.00 Byte
33184.00 Byte, 0.00 Byte
4376704.00 Byte, 4480.00 Byte
65744.00 Byte, 0.00 Byte
8388944.00 Byte, 0.00 Byte
4194353.00 Byte, 0.00 Byte
65872.00 Byte, 0.00 Byte
1146.00 Byte, 0.00 Byte
34073351.00 Byte, 0.00 Byte
4179368.00 Byte, 4480.00 Byte
524337.00 Byte, 0.00 Byte
8388656.00 Byte, 0.00 Byte
4194353.00 Byte, 0.00 Byte
573728.00 Byte, 0.00 Byte
3197264.00 Byte, 0.00 Byte
786432.00 Byte, 0.00 Byte
2097192.00 Byte, 0.00 Byte
8388656.00 Byte, 0.00 Byte
36282280.00 Byte, 0.00 Byte
39300416.00 Byte, 0.00 Byte
25165808.00 Byte, 0.00 Byte
8450664.00 Byte, 4480.00 Byte
9497297.00 Byte, 0.00 Byte
1596828.00 Byte, 0.00 Byte
12582912.00 Byte, 0.00 Byte
7864952.00 Byte, 0.00 Byte
33413616.00 Byte, 0.00 Byte
885052.00 Byte, 0.00 Byte
0.00 Byte, 0.00 Byte
16777272.00 Byte, 56.00 Byte
16735448.00 Byte, 0.00 Byte
923376.00 Byte, 0.00 Byte
7340296.00 Byte, 0.00 Byte
189471.00 Byte, 0.00 Byte
8540112.00 Byte, 4544.00 Byte
262408.00 Byte, 0.00 Byte
296.00 Byte, 0.00 Byte
75445740.00 Byte, 112000.00 Byte
33554584.00 Byte, 0.00 Byte
7340480.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
8450536.00 Byte, 4480.00 Byte
0.00 Byte, 0.00 Byte
