HumanEval_0.py: 12582896.00 Byte, 0.00 Byte
Mbpp_3.py: 152.00 Byte, 0.00 Byte
Mbpp_4.py: 123252.00 Byte, 0.00 Byte
HumanEval_4.py: 524624.00 Byte, 0.00 Byte
HumanEval_9.py: 801608.00 Byte, 0.00 Byte
Mbpp_12.py: 8503848.00 Byte, 3864.00 Byte
HumanEval_16.py: 1051449.00 Byte, 0.00 Byte
Mbpp_19.py: 3146020.00 Byte, 0.00 Byte
HumanEval_20.py: 131224.00 Byte, 0.00 Byte
HumanEval_24.py: 196.00 Byte, 0.00 Byte
HumanEval_31.py: 84.00 Byte, 0.00 Byte
HumanEval_34.py: 7340296.00 Byte, 0.00 Byte
HumanEval_37.py: 622444.00 Byte, 0.00 Byte
HumanEval_49.py: 92.00 Byte, 0.00 Byte
HumanEval_51.py: 1064.00 Byte, 0.00 Byte
HumanEval_58.py: 5898888.00 Byte, 0.00 Byte
Mbpp_62.py: 8388656.00 Byte, 0.00 Byte
HumanEval_74.py: 65860.00 Byte, 0.00 Byte
Mbpp_75.py: 8720.00 Byte, 0.00 Byte
HumanEval_85.py: 8388968.00 Byte, 0.00 Byte
HumanEval_86.py: 35465055.00 Byte, 0.00 Byte
HumanEval_87.py: 4290072.00 Byte, 4480.00 Byte
Mbpp_88.py: 4522504.00 Byte, 0.00 Byte
HumanEval_90.py: 7340296.00 Byte, 0.00 Byte
Mbpp_90.py: 65832.00 Byte, 0.00 Byte
Mbpp_94.py: 262340.00 Byte, 0.00 Byte
Mbpp_97.py: 144248.00 Byte, 2808.00 Byte
Mbpp_106.py: 2097232.00 Byte, 0.00 Byte
Mbpp_108.py: 612992.00 Byte, 0.00 Byte
HumanEval_113.py: 545280.00 Byte, 0.00 Byte
HumanEval_120.py: 11364.00 Byte, 0.00 Byte
HumanEval_121.py: 2097488.00 Byte, 0.00 Byte
Mbpp_123.py: 408.00 Byte, 0.00 Byte
Mbpp_128.py: 68021222.00 Byte, 0.00 Byte
Mbpp_129.py: 8450804.00 Byte, 4480.00 Byte
Mbpp_130.py: 1147128.00 Byte, 0.00 Byte
Mbpp_141.py: 6336.00 Byte, 0.00 Byte
HumanEval_149.py: 6719128.00 Byte, 108640.00 Byte
