HumanEval_0.py: 0.188548s
Mbpp_3.py: 0.000376s
Mbpp_4.py: 0.000939s
HumanEval_4.py: 0.008199s
HumanEval_9.py: 0.002854s
Mbpp_12.py: 0.005206s
HumanEval_16.py: 0.004989s
Mbpp_19.py: 0.001401s
HumanEval_20.py: 0.001723s
HumanEval_24.py: 0.970690s
HumanEval_31.py: 0.000069s
HumanEval_34.py: 0.004298s
HumanEval_37.py: 0.001914s
HumanEval_49.py: 0.000004s
HumanEval_51.py: 0.046444s
HumanEval_58.py: 0.004576s
Mbpp_62.py: 0.019301s
HumanEval_74.py: 0.001292s
Mbpp_75.py: 0.000402s
HumanEval_85.py: 0.051139s
HumanEval_86.py: 0.416899s
HumanEval_87.py: 0.011563s
Mbpp_88.py: 9.657286s
HumanEval_90.py: 0.002900s
Mbpp_90.py: 0.001558s
Mbpp_94.py: 0.002621s
Mbpp_97.py: 0.001255s
Mbpp_106.py: 0.000763s
Mbpp_108.py: 0.005664s
HumanEval_113.py: 1.398116s
HumanEval_120.py: 0.000034s
HumanEval_121.py: 0.008289s
Mbpp_123.py: 0.008634s
Mbpp_128.py: 0.065287s
Mbpp_129.py: 0.015375s
Mbpp_130.py: 0.001338s
Mbpp_141.py: 0.000557s
HumanEval_149.py: 0.058457s
Mbpp_166.py: 0.000118s
Mbpp_170.py: 0.021323s
Mbpp_226.py: 0.001233s
Mbpp_230.py: 0.000297s
Mbpp_240.py: 0.000867s
Mbpp_251.py: 0.005507s
Mbpp_256.py: 0.001406s
Mbpp_265.py: 0.037975s
Mbpp_281.py: 0.000128s
Mbpp_296.py: 0.031889s
Mbpp_308.py: 0.037690s
Mbpp_392.py: 0.000156s
Mbpp_395.py: 0.007929s
Mbpp_405.py: 0.000185s
Mbpp_414.py: 0.001885s
Mbpp_421.py: 0.010255s
Mbpp_424.py: 0.000172s
Mbpp_425.py: 0.002762s
Mbpp_428.py: 0.005402s
Mbpp_433.py: 0.093846s
Mbpp_437.py: 0.001217s
Mbpp_446.py: 0.322110s
Mbpp_451.py: 0.005144s
Mbpp_456.py: 0.012253s
Mbpp_460.py: 0.001577s
Mbpp_474.py: 0.000394s
Mbpp_476.py: 0.024307s
Mbpp_477.py: 0.000690s
Mbpp_572.py: 0.000798s
Mbpp_578.py: 0.005754s
Mbpp_586.py: 0.000366s
Mbpp_587.py: 0.001245s
Mbpp_588.py: 0.037433s
Mbpp_597.py: 0.025757s
Mbpp_604.py: 0.016954s
Mbpp_610.py: 0.030252s
Mbpp_611.py: 0.003339s
Mbpp_631.py: 0.030984s
Mbpp_632.py: 0.001908s
Mbpp_644.py: 0.008125s
Mbpp_720.py: 0.010488s
Mbpp_725.py: 0.042694s
Mbpp_740.py: 0.001840s
Mbpp_744.py: 0.007450s
Mbpp_750.py: 0.015528s
Mbpp_753.py: 0.078367s
Mbpp_754.py: 0.001635s
Mbpp_755.py: 0.005774s
Mbpp_757.py: 0.004277s
Mbpp_758.py: 0.003784s
Mbpp_760.py: 0.000136s
Mbpp_764.py: 0.535134s
Mbpp_766.py: 0.139725s
Mbpp_775.py: 0.058110s
Mbpp_777.py: 40.268181s
Mbpp_781.py: 0.000352s
Mbpp_800.py: 0.001217s
Mbpp_805.py: 0.005488s
Mbpp_808.py: 0.001509s
