Mbpp_3.py: 152.00 Byte, 0.00 Byte
Mbpp_4.py: 123252.00 Byte, 0.00 Byte
HumanEval_9.py: 539548.00 Byte, 0.00 Byte
Mbpp_19.py: 3145992.00 Byte, 0.00 Byte
HumanEval_24.py: 152.00 Byte, 0.00 Byte
HumanEval_31.py: 152.00 Byte, 0.00 Byte
HumanEval_34.py: 7340296.00 Byte, 56.00 Byte
HumanEval_51.py: 242.00 Byte, 0.00 Byte
HumanEval_58.py: 5898888.00 Byte, 0.00 Byte
Mbpp_62.py: 8388656.00 Byte, 0.00 Byte
Mbpp_75.py: 8720.00 Byte, 0.00 Byte
Mbpp_88.py: 2424936.00 Byte, 0.00 Byte
Mbpp_90.py: 65640.00 Byte, 0.00 Byte
Mbpp_94.py: 262340.00 Byte, 0.00 Byte
Mbpp_96.py: 436.00 Byte, 0.00 Byte
Mbpp_97.py: 278360.00 Byte, 2800.00 Byte
Mbpp_106.py: 2621536.00 Byte, 56.00 Byte
Mbpp_108.py: 612992.00 Byte, 0.00 Byte
HumanEval_121.py: 2659896.00 Byte, 0.00 Byte
Mbpp_123.py: 2524.00 Byte, 0.00 Byte
Mbpp_128.py: 68021222.00 Byte, 0.00 Byte
Mbpp_130.py: 1146984.00 Byte, 0.00 Byte
Mbpp_137.py: 33554564.00 Byte, 0.00 Byte
Mbpp_140.py: 4310808.00 Byte, 4480.00 Byte
Mbpp_141.py: 8192.00 Byte, 0.00 Byte
HumanEval_149.py: 3124544.00 Byte, 0.00 Byte
Mbpp_166.py: 16696.00 Byte, 0.00 Byte
Mbpp_170.py: 8388760.00 Byte, 0.00 Byte
Mbpp_226.py: 4194457.00 Byte, 0.00 Byte
Mbpp_230.py: 1048624.00 Byte, 0.00 Byte
Mbpp_240.py: 1572864.00 Byte, 0.00 Byte
Mbpp_256.py: 256.00 Byte, 0.00 Byte
Mbpp_265.py: 2550020.00 Byte, 4424.00 Byte
Mbpp_296.py: 131384.00 Byte, 0.00 Byte
Mbpp_392.py: 440.00 Byte, 0.00 Byte
Mbpp_405.py: 0.00 Byte, 0.00 Byte
Mbpp_424.py: 33256.00 Byte, 0.00 Byte
Mbpp_425.py: 4376520.00 Byte, 4480.00 Byte
Mbpp_433.py: 12582912.00 Byte, 0.00 Byte
Mbpp_446.py: 65640.00 Byte, 0.00 Byte
Mbpp_451.py: 1146.00 Byte, 0.00 Byte
Mbpp_456.py: 34073351.00 Byte, 0.00 Byte
Mbpp_460.py: 4179368.00 Byte, 4480.00 Byte
Mbpp_474.py: 524337.00 Byte, 0.00 Byte
Mbpp_477.py: 4194353.00 Byte, 0.00 Byte
Mbpp_563.py: 48.00 Byte, 0.00 Byte
Mbpp_572.py: 184328.00 Byte, 0.00 Byte
Mbpp_578.py: 3196968.00 Byte, 0.00 Byte
Mbpp_587.py: 2097192.00 Byte, 0.00 Byte
Mbpp_597.py: 8388720.00 Byte, 0.00 Byte
Mbpp_604.py: 35106064.00 Byte, 0.00 Byte
Mbpp_610.py: 25165808.00 Byte, 0.00 Byte
Mbpp_611.py: 8459416.00 Byte, 4480.00 Byte
Mbpp_633.py: 8476.00 Byte, 0.00 Byte
Mbpp_644.py: 12582912.00 Byte, 0.00 Byte
Mbpp_720.py: 7864952.00 Byte, 0.00 Byte
Mbpp_725.py: 33413616.00 Byte, 0.00 Byte
Mbpp_740.py: 885076.00 Byte, 64.00 Byte
Mbpp_744.py: 240.00 Byte, 0.00 Byte
Mbpp_750.py: 8388608.00 Byte, 0.00 Byte
Mbpp_753.py: 16735448.00 Byte, 0.00 Byte
Mbpp_754.py: 923216.00 Byte, 0.00 Byte
Mbpp_757.py: 62025.00 Byte, 112.00 Byte
Mbpp_758.py: 8593304.00 Byte, 4480.00 Byte
Mbpp_760.py: 262192.00 Byte, 0.00 Byte
Mbpp_764.py: 296.00 Byte, 0.00 Byte
Mbpp_766.py: 75445740.00 Byte, 112000.00 Byte
Mbpp_775.py: 33554768.00 Byte, 0.00 Byte
Mbpp_777.py: 7340332.00 Byte, 0.00 Byte
Mbpp_781.py: 152.00 Byte, 0.00 Byte
Mbpp_800.py: 96.00 Byte, 0.00 Byte
Mbpp_805.py: 8450480.00 Byte, 4480.00 Byte
Mbpp_808.py: 48.00 Byte, 0.00 Byte
