Mbpp_3.py: 0.000438s
Mbpp_4.py: 0.001115s
HumanEval_9.py: 0.007707s
Mbpp_19.py: 0.001750s
HumanEval_24.py: 1.165477s
HumanEval_31.py: 1.014789s
HumanEval_34.py: 0.010570s
HumanEval_51.py: 0.394458s
HumanEval_58.py: 0.006806s
Mbpp_62.py: 0.039482s
Mbpp_75.py: 0.000532s
Mbpp_88.py: 0.004194s
Mbpp_90.py: 0.001523s
Mbpp_94.py: 0.003219s
Mbpp_96.py: 0.039289s
Mbpp_97.py: 0.002401s
Mbpp_106.py: 0.001412s
Mbpp_108.py: 0.006589s
HumanEval_121.py: 0.011007s
Mbpp_123.py: 0.354408s
Mbpp_128.py: 0.084766s
Mbpp_130.py: 0.003769s
Mbpp_137.py: 0.102462s
Mbpp_140.py: 0.010562s
Mbpp_141.py: 0.000761s
HumanEval_149.py: 0.049886s
Mbpp_166.py: 0.124417s
Mbpp_170.py: 0.033990s
Mbpp_226.py: 0.327725s
Mbpp_230.py: 0.000356s
Mbpp_240.py: 0.001156s
Mbpp_256.py: 2.222077s
Mbpp_265.py: 0.056385s
Mbpp_296.py: 5.351030s
Mbpp_392.py: 2.255419s
Mbpp_405.py: 0.000237s
Mbpp_424.py: 0.000857s
Mbpp_425.py: 0.004005s
Mbpp_433.py: 0.228337s
Mbpp_446.py: 0.001330s
Mbpp_451.py: 0.006234s
Mbpp_456.py: 0.015521s
Mbpp_460.py: 0.002162s
Mbpp_474.py: 0.000200s
Mbpp_477.py: 0.000813s
Mbpp_563.py: 0.685055s
Mbpp_572.py: 1.037727s
Mbpp_578.py: 0.021519s
Mbpp_587.py: 0.001460s
Mbpp_597.py: 0.183197s
Mbpp_604.py: 0.016704s
Mbpp_610.py: 0.045036s
Mbpp_611.py: 0.004295s
Mbpp_633.py: 0.043025s
Mbpp_644.py: 0.013602s
Mbpp_720.py: 0.016790s
Mbpp_725.py: 0.054097s
Mbpp_740.py: 0.005587s
Mbpp_744.py: 0.161907s
Mbpp_750.py: 0.013640s
Mbpp_753.py: 0.102350s
Mbpp_754.py: 0.002879s
Mbpp_757.py: 70.844923s
Mbpp_758.py: 0.011853s
Mbpp_760.py: 0.001036s
Mbpp_764.py: 1.048372s
Mbpp_766.py: 0.198593s
Mbpp_775.py: 0.009915s
Mbpp_777.py: 0.015329s
Mbpp_781.py: 6.216991s
Mbpp_800.py: 0.001471s
Mbpp_805.py: 0.006974s
Mbpp_808.py: 0.004707s
