HumanEval_0.py: 0.000446s
HumanEval_1.py: 0.000430s
HumanEval_2.py: 0.000020s
HumanEval_3.py: 0.000045s
HumanEval_4.py: 0.000162s
HumanEval_5.py: 0.000053s
HumanEval_7.py: 0.000048s
HumanEval_8.py: 0.000031s
HumanEval_9.py: 0.000106s
HumanEval_10.py: 0.000076s
HumanEval_11.py: 0.000123s
HumanEval_12.py: 0.000091s
HumanEval_13.py: 0.000021s
HumanEval_14.py: 0.000056s
HumanEval_15.py: 0.000071s
HumanEval_20.py: 0.000652s
HumanEval_21.py: 0.000130s
HumanEval_22.py: 0.000068s
HumanEval_23.py: 0.000018s
HumanEval_27.py: 0.000027s
HumanEval_28.py: 0.000021s
HumanEval_29.py: 0.000046s
HumanEval_30.py: 0.000045s
HumanEval_31.py: 0.010132s
HumanEval_33.py: 0.000129s
HumanEval_34.py: 0.000017s
HumanEval_35.py: 0.000018s
HumanEval_37.py: 0.000133s
HumanEval_39.py: 0.000044s
HumanEval_41.py: 0.000031s
HumanEval_42.py: 0.000033s
HumanEval_44.py: 0.000136s
HumanEval_45.py: 0.000011s
HumanEval_46.py: 0.000186s
HumanEval_47.py: 0.000080s
HumanEval_49.py: 0.000871s
HumanEval_50.py: 0.071528s
HumanEval_51.py: 0.000234s
HumanEval_52.py: 0.000032s
HumanEval_53.py: 0.005937s
HumanEval_54.py: 0.000060s
HumanEval_55.py: 0.002866s
HumanEval_56.py: 0.000144s
HumanEval_58.py: 0.000128s
HumanEval_60.py: 0.000047s
HumanEval_61.py: 0.000143s
HumanEval_62.py: 0.000069s
HumanEval_63.py: 0.014694s
HumanEval_64.py: 0.000160s
HumanEval_66.py: 0.000408s
HumanEval_71.py: 0.000104s
HumanEval_72.py: 0.000066s
HumanEval_74.py: 0.000133s
HumanEval_78.py: 0.000145s
HumanEval_79.py: 0.000033s
HumanEval_80.py: 0.000119s
HumanEval_81.py: 0.000126s
HumanEval_84.py: 0.000144s
HumanEval_85.py: 0.000087s
HumanEval_86.py: 0.000325s
HumanEval_87.py: 0.000530s
HumanEval_89.py: 0.000465s
HumanEval_92.py: 0.000086s
HumanEval_93.py: 0.000507s
HumanEval_95.py: 0.000230s
HumanEval_96.py: 0.001628s
HumanEval_97.py: 0.000060s
HumanEval_98.py: 0.000065s
HumanEval_103.py: 0.001035s
HumanEval_104.py: 0.000365s
HumanEval_105.py: 0.000139s
HumanEval_111.py: 0.000320s
HumanEval_112.py: 0.000176s
HumanEval_113.py: 0.000258s
HumanEval_114.py: 0.000366s
HumanEval_116.py: 0.000578s
HumanEval_121.py: 0.000127s
HumanEval_123.py: 0.000177s
HumanEval_125.py: 0.000202s
HumanEval_126.py: 0.000873s
HumanEval_128.py: 0.000351s
HumanEval_132.py: 0.000590s
HumanEval_133.py: 0.000323s
HumanEval_134.py: 0.000156s
HumanEval_136.py: 0.000543s
HumanEval_138.py: 0.000027s
HumanEval_142.py: 0.000647s
HumanEval_144.py: 0.000227s
HumanEval_146.py: 0.000125s
HumanEval_147.py: 0.380572s
HumanEval_148.py: 0.000081s
HumanEval_150.py: 0.006605s
HumanEval_152.py: 0.000107s
HumanEval_153.py: 0.002761s
HumanEval_155.py: 0.000125s
HumanEval_157.py: 0.000067s
HumanEval_160.py: 0.000306s
