HumanEval_0.py: 0.000177s
HumanEval_1.py: 0.000223s
HumanEval_2.py: 0.000018s
HumanEval_3.py: 0.000044s
HumanEval_4.py: 0.000146s
HumanEval_5.py: 0.000076s
HumanEval_6.py: 0.000330s
HumanEval_7.py: 0.000047s
HumanEval_8.py: 0.000043s
HumanEval_9.py: 0.000062s
HumanEval_10.py: 0.000060s
HumanEval_11.py: 0.000122s
HumanEval_12.py: 0.000068s
HumanEval_13.py: 0.000027s
HumanEval_14.py: 0.000056s
HumanEval_15.py: 0.000099s
HumanEval_16.py: 0.000059s
HumanEval_17.py: 0.000108s
HumanEval_18.py: 0.000107s
HumanEval_19.py: 0.000205s
HumanEval_20.py: 0.000184s
HumanEval_21.py: 0.000129s
HumanEval_22.py: 0.000040s
HumanEval_23.py: 0.000016s
HumanEval_24.py: 0.000041s
HumanEval_25.py: 0.000225s
HumanEval_26.py: 0.000213s
HumanEval_27.py: 0.000026s
HumanEval_28.py: 0.000020s
HumanEval_29.py: 0.000045s
HumanEval_30.py: 0.000043s
HumanEval_31.py: 0.000145s
HumanEval_33.py: 0.000406s
HumanEval_34.py: 0.000015s
HumanEval_35.py: 0.000018s
HumanEval_36.py: 0.216691s
HumanEval_37.py: 0.000143s
HumanEval_38.py: 0.053453s
HumanEval_39.py: 0.012936s
HumanEval_40.py: 0.000235s
HumanEval_41.py: 0.000013s
HumanEval_42.py: 0.000032s
HumanEval_43.py: 0.000088s
HumanEval_44.py: 0.000267s
HumanEval_45.py: 0.000010s
HumanEval_46.py: 0.000116s
HumanEval_47.py: 0.000066s
HumanEval_48.py: 0.000027s
HumanEval_49.py: 0.000093s
HumanEval_50.py: 0.069077s
HumanEval_51.py: 0.000183s
HumanEval_52.py: 0.000118s
HumanEval_53.py: 0.005787s
HumanEval_54.py: 0.000057s
HumanEval_55.py: 0.000050s
HumanEval_56.py: 0.000151s
HumanEval_57.py: 0.000385s
HumanEval_58.py: 0.000061s
HumanEval_59.py: 0.000082s
HumanEval_60.py: 0.000018s
HumanEval_61.py: 0.000149s
HumanEval_62.py: 0.000077s
HumanEval_63.py: 0.000170s
HumanEval_64.py: 0.000180s
HumanEval_66.py: 0.000299s
HumanEval_67.py: 0.000077s
HumanEval_68.py: 0.000158s
HumanEval_69.py: 0.002051s
HumanEval_70.py: 0.000723s
HumanEval_71.py: 0.000092s
HumanEval_72.py: 0.000046s
HumanEval_73.py: 0.000086s
HumanEval_74.py: 0.000350s
HumanEval_76.py: 0.000053s
HumanEval_77.py: 0.000120s
HumanEval_78.py: 0.000179s
HumanEval_79.py: 0.000032s
HumanEval_80.py: 0.000159s
HumanEval_81.py: 0.000123s
HumanEval_82.py: 0.000141s
HumanEval_84.py: 0.000143s
HumanEval_85.py: 0.000078s
HumanEval_87.py: 0.000474s
HumanEval_88.py: 0.000086s
HumanEval_89.py: 0.001008s
HumanEval_90.py: 0.000095s
HumanEval_92.py: 0.000225s
HumanEval_94.py: 0.000988s
HumanEval_95.py: 0.000414s
HumanEval_96.py: 0.001285s
HumanEval_97.py: 0.000057s
HumanEval_98.py: 0.000152s
HumanEval_99.py: 0.000045s
HumanEval_100.py: 0.000093s
HumanEval_101.py: 0.000247s
HumanEval_102.py: 0.000044s
HumanEval_103.py: 0.000371s
HumanEval_104.py: 0.000347s
HumanEval_105.py: 0.000155s
HumanEval_106.py: 0.000159s
HumanEval_107.py: 0.000971s
HumanEval_109.py: 0.000064s
HumanEval_110.py: 0.000250s
HumanEval_111.py: 0.000658s
HumanEval_112.py: 0.000237s
HumanEval_113.py: 0.000217s
HumanEval_114.py: 0.000443s
HumanEval_115.py: 0.000135s
HumanEval_116.py: 0.000476s
HumanEval_117.py: 0.000690s
HumanEval_118.py: 0.000174s
HumanEval_119.py: 0.000275s
HumanEval_120.py: 0.000145s
HumanEval_122.py: 0.000098s
HumanEval_123.py: 0.000191s
HumanEval_124.py: 0.000212s
HumanEval_125.py: 0.000273s
HumanEval_126.py: 0.000707s
HumanEval_127.py: 0.000150s
HumanEval_128.py: 0.000370s
HumanEval_130.py: 0.000358s
HumanEval_131.py: 0.000145s
HumanEval_133.py: 0.000484s
HumanEval_136.py: 0.000301s
HumanEval_137.py: 0.000160s
HumanEval_138.py: 0.000024s
HumanEval_139.py: 0.000076s
HumanEval_142.py: 0.000342s
HumanEval_143.py: 0.000395s
HumanEval_144.py: 0.000246s
HumanEval_147.py: 0.290119s
HumanEval_148.py: 0.000088s
HumanEval_149.py: 0.000261s
HumanEval_150.py: 0.000154s
HumanEval_151.py: 0.000983s
HumanEval_152.py: 0.000085s
HumanEval_153.py: 0.002005s
HumanEval_154.py: 0.000086s
HumanEval_155.py: 0.000373s
HumanEval_156.py: 0.000321s
HumanEval_157.py: 0.000197s
HumanEval_158.py: 0.001511s
HumanEval_159.py: 0.000049s
HumanEval_161.py: 0.000471s
HumanEval_162.py: 0.000081s
HumanEval_163.py: 0.000163s
