HumanEval_0.py: 192.00 Byte, 0.00 Byte
HumanEval_1.py: 476.00 Byte, 0.00 Byte
HumanEval_2.py: 96.00 Byte, 0.00 Byte
HumanEval_3.py: 160.00 Byte, 0.00 Byte
HumanEval_4.py: 432.00 Byte, 0.00 Byte
HumanEval_7.py: 360.00 Byte, 0.00 Byte
HumanEval_8.py: 128.00 Byte, 0.00 Byte
HumanEval_9.py: 240.00 Byte, 0.00 Byte
HumanEval_10.py: 207.00 Byte, 0.00 Byte
HumanEval_11.py: 640.00 Byte, 0.00 Byte
HumanEval_12.py: 184.00 Byte, 0.00 Byte
HumanEval_13.py: 96.00 Byte, 0.00 Byte
HumanEval_14.py: 554.00 Byte, 0.00 Byte
HumanEval_15.py: 955.00 Byte, 44.00 Byte
HumanEval_16.py: 891.00 Byte, 0.00 Byte
HumanEval_18.py: 149.00 Byte, 0.00 Byte
HumanEval_19.py: 1129.00 Byte, 0.00 Byte
HumanEval_20.py: 192.00 Byte, 0.00 Byte
HumanEval_21.py: 432.00 Byte, 0.00 Byte
HumanEval_22.py: 320.00 Byte, 0.00 Byte
HumanEval_23.py: 96.00 Byte, 0.00 Byte
HumanEval_24.py: 216.00 Byte, 0.00 Byte
HumanEval_25.py: 160.00 Byte, 0.00 Byte
HumanEval_27.py: 2561.00 Byte, 0.00 Byte
HumanEval_28.py: 150.00 Byte, 0.00 Byte
HumanEval_29.py: 360.00 Byte, 0.00 Byte
HumanEval_30.py: 400.00 Byte, 0.00 Byte
HumanEval_31.py: 96.00 Byte, 0.00 Byte
HumanEval_34.py: 976.00 Byte, 0.00 Byte
HumanEval_35.py: 192.00 Byte, 0.00 Byte
HumanEval_37.py: 560.00 Byte, 0.00 Byte
HumanEval_38.py: 1400.00 Byte, 0.00 Byte
HumanEval_40.py: 484.00 Byte, 0.00 Byte
HumanEval_41.py: 96.00 Byte, 0.00 Byte
HumanEval_42.py: 448.00 Byte, 0.00 Byte
HumanEval_43.py: 900.00 Byte, 0.00 Byte
HumanEval_44.py: 681.00 Byte, 0.00 Byte
HumanEval_45.py: 96.00 Byte, 0.00 Byte
HumanEval_46.py: 280.00 Byte, 0.00 Byte
HumanEval_47.py: 112.00 Byte, 0.00 Byte
HumanEval_49.py: 96.00 Byte, 0.00 Byte
HumanEval_50.py: 730.00 Byte, 0.00 Byte
HumanEval_51.py: 1112.00 Byte, 0.00 Byte
HumanEval_52.py: 416.00 Byte, 0.00 Byte
HumanEval_53.py: 364.00 Byte, 0.00 Byte
HumanEval_55.py: 144.00 Byte, 0.00 Byte
HumanEval_56.py: 96.00 Byte, 0.00 Byte
HumanEval_57.py: 432.00 Byte, 0.00 Byte
HumanEval_58.py: 1848.00 Byte, 0.00 Byte
HumanEval_60.py: 104.00 Byte, 0.00 Byte
HumanEval_61.py: 96.00 Byte, 0.00 Byte
HumanEval_62.py: 384.00 Byte, 0.00 Byte
HumanEval_63.py: 336.00 Byte, 0.00 Byte
HumanEval_66.py: 392.00 Byte, 48.00 Byte
HumanEval_67.py: 387.00 Byte, 0.00 Byte
HumanEval_68.py: 208.00 Byte, 0.00 Byte
HumanEval_70.py: 248.00 Byte, 0.00 Byte
HumanEval_71.py: 120.00 Byte, 0.00 Byte
HumanEval_73.py: 208.00 Byte, 0.00 Byte
HumanEval_74.py: 488.00 Byte, 88.00 Byte
HumanEval_76.py: 104.00 Byte, 0.00 Byte
HumanEval_78.py: 856.00 Byte, 0.00 Byte
HumanEval_80.py: 144.00 Byte, 0.00 Byte
HumanEval_81.py: 208.00 Byte, 0.00 Byte
HumanEval_82.py: 288.00 Byte, 0.00 Byte
HumanEval_85.py: 456.00 Byte, 0.00 Byte
HumanEval_86.py: 1412.00 Byte, 0.00 Byte
HumanEval_87.py: 976.00 Byte, 0.00 Byte
HumanEval_88.py: 248.00 Byte, 0.00 Byte
HumanEval_90.py: 944.00 Byte, 0.00 Byte
HumanEval_92.py: 96.00 Byte, 0.00 Byte
HumanEval_95.py: 432.00 Byte, 0.00 Byte
HumanEval_96.py: 512.00 Byte, 0.00 Byte
HumanEval_97.py: 96.00 Byte, 0.00 Byte
HumanEval_98.py: 144.00 Byte, 0.00 Byte
HumanEval_101.py: 716.00 Byte, 0.00 Byte
HumanEval_102.py: 96.00 Byte, 0.00 Byte
HumanEval_103.py: 148.00 Byte, 0.00 Byte
HumanEval_104.py: 653.00 Byte, 0.00 Byte
HumanEval_105.py: 768.00 Byte, 0.00 Byte
HumanEval_107.py: 252.00 Byte, 0.00 Byte
HumanEval_109.py: 192.00 Byte, 0.00 Byte
HumanEval_111.py: 424.00 Byte, 0.00 Byte
HumanEval_112.py: 408.00 Byte, 0.00 Byte
HumanEval_113.py: 725.00 Byte, 50.00 Byte
HumanEval_116.py: 514.00 Byte, 0.00 Byte
HumanEval_117.py: 1501.00 Byte, 0.00 Byte
HumanEval_120.py: 260.00 Byte, 0.00 Byte
HumanEval_121.py: 432.00 Byte, 0.00 Byte
HumanEval_122.py: 456.00 Byte, 0.00 Byte
HumanEval_124.py: 129.00 Byte, 0.00 Byte
HumanEval_125.py: 344.00 Byte, 0.00 Byte
HumanEval_128.py: 160.00 Byte, 0.00 Byte
HumanEval_131.py: 104.00 Byte, 0.00 Byte
HumanEval_135.py: 224.00 Byte, 0.00 Byte
HumanEval_136.py: 160.00 Byte, 0.00 Byte
HumanEval_138.py: 96.00 Byte, 0.00 Byte
HumanEval_139.py: 372.00 Byte, 0.00 Byte
HumanEval_141.py: 539.00 Byte, 81.00 Byte
HumanEval_142.py: 340.00 Byte, 0.00 Byte
HumanEval_143.py: 1104.00 Byte, 143.00 Byte
HumanEval_144.py: 370.00 Byte, 0.00 Byte
HumanEval_146.py: 576.00 Byte, 0.00 Byte
HumanEval_147.py: 1160.00 Byte, 0.00 Byte
HumanEval_148.py: 152.00 Byte, 0.00 Byte
HumanEval_149.py: 360.00 Byte, 0.00 Byte
HumanEval_150.py: 144.00 Byte, 0.00 Byte
HumanEval_151.py: 4516.00 Byte, 0.00 Byte
HumanEval_152.py: 512.00 Byte, 0.00 Byte
HumanEval_153.py: 468.00 Byte, 0.00 Byte
HumanEval_155.py: 179.00 Byte, 0.00 Byte
HumanEval_156.py: 279.00 Byte, 0.00 Byte
HumanEval_157.py: 160.00 Byte, 0.00 Byte
HumanEval_158.py: 1136.00 Byte, 0.00 Byte
HumanEval_161.py: 484.00 Byte, 0.00 Byte
HumanEval_162.py: 161.00 Byte, 0.00 Byte
