HumanEval_0.py: 0.000168s
HumanEval_1.py: 0.000636s
HumanEval_2.py: 0.000019s
HumanEval_3.py: 0.000045s
HumanEval_4.py: 0.000142s
HumanEval_7.py: 0.000045s
HumanEval_8.py: 0.000043s
HumanEval_9.py: 0.000058s
HumanEval_10.py: 0.000097s
HumanEval_11.py: 0.000113s
HumanEval_12.py: 0.000046s
HumanEval_13.py: 0.000020s
HumanEval_14.py: 0.000055s
HumanEval_15.py: 0.000100s
HumanEval_16.py: 0.000059s
HumanEval_18.py: 0.000107s
HumanEval_19.py: 0.000160s
HumanEval_20.py: 0.000187s
HumanEval_21.py: 0.000129s
HumanEval_22.py: 0.000061s
HumanEval_23.py: 0.000016s
HumanEval_24.py: 0.000102s
HumanEval_25.py: 0.000206s
HumanEval_27.py: 0.000365s
HumanEval_28.py: 0.000019s
HumanEval_29.py: 0.000040s
HumanEval_30.py: 0.000041s
HumanEval_31.py: 0.000110s
HumanEval_34.py: 0.000016s
HumanEval_35.py: 0.000017s
HumanEval_37.py: 0.000167s
HumanEval_38.py: 0.052501s
HumanEval_40.py: 0.000370s
HumanEval_41.py: 0.000030s
HumanEval_42.py: 0.000032s
HumanEval_43.py: 0.000223s
HumanEval_44.py: 0.000281s
HumanEval_45.py: 0.000010s
HumanEval_46.py: 0.000136s
HumanEval_47.py: 0.000069s
HumanEval_49.py: 0.000096s
HumanEval_50.py: 0.067270s
HumanEval_51.py: 0.000170s
HumanEval_52.py: 0.000117s
HumanEval_53.py: 0.005677s
HumanEval_55.py: 0.000050s
HumanEval_56.py: 0.000148s
HumanEval_57.py: 0.000389s
HumanEval_58.py: 0.000058s
HumanEval_60.py: 0.000018s
HumanEval_61.py: 0.000141s
HumanEval_62.py: 0.000068s
HumanEval_63.py: 0.000196s
HumanEval_66.py: 0.000301s
HumanEval_67.py: 0.000076s
HumanEval_68.py: 0.000109s
HumanEval_70.py: 0.000335s
HumanEval_71.py: 0.000091s
HumanEval_73.py: 0.000088s
HumanEval_74.py: 0.000332s
HumanEval_76.py: 0.000058s
HumanEval_78.py: 0.000178s
HumanEval_80.py: 0.000119s
HumanEval_81.py: 0.000123s
HumanEval_82.py: 0.000205s
HumanEval_85.py: 0.000083s
HumanEval_86.py: 0.000268s
HumanEval_87.py: 0.000335s
HumanEval_88.py: 0.000072s
HumanEval_90.py: 0.000098s
HumanEval_92.py: 0.000083s
HumanEval_95.py: 0.000310s
HumanEval_96.py: 0.000762s
HumanEval_97.py: 0.000056s
HumanEval_98.py: 0.000065s
HumanEval_101.py: 0.000172s
HumanEval_102.py: 0.000033s
HumanEval_103.py: 0.000113s
HumanEval_104.py: 0.000330s
HumanEval_105.py: 0.000158s
HumanEval_107.py: 0.000936s
HumanEval_109.py: 0.000105s
HumanEval_111.py: 0.000674s
HumanEval_112.py: 0.000175s
HumanEval_113.py: 0.000207s
HumanEval_116.py: 0.000476s
HumanEval_117.py: 0.000675s
HumanEval_120.py: 0.000117s
HumanEval_121.py: 0.000149s
HumanEval_122.py: 0.000093s
HumanEval_124.py: 0.000175s
HumanEval_125.py: 0.000228s
HumanEval_128.py: 0.000071s
HumanEval_131.py: 0.000072s
HumanEval_135.py: 0.000053s
HumanEval_136.py: 0.000117s
HumanEval_138.py: 0.000027s
HumanEval_139.py: 0.000138s
HumanEval_141.py: 0.000951s
HumanEval_142.py: 0.000372s
HumanEval_143.py: 0.000430s
HumanEval_144.py: 0.000235s
HumanEval_146.py: 0.000285s
HumanEval_147.py: 0.258820s
HumanEval_148.py: 0.000094s
HumanEval_149.py: 0.000280s
HumanEval_150.py: 0.000111s
HumanEval_151.py: 0.000995s
HumanEval_152.py: 0.000133s
HumanEval_153.py: 0.001852s
HumanEval_155.py: 0.000204s
HumanEval_156.py: 0.000346s
HumanEval_157.py: 0.000063s
HumanEval_158.py: 0.000232s
HumanEval_161.py: 0.000617s
HumanEval_162.py: 0.000083s
