HumanEval_2.py: 96.00 Byte, 0.00 Byte
HumanEval_3.py: 160.00 Byte, 0.00 Byte
HumanEval_5.py: 216.00 Byte, 0.00 Byte
HumanEval_7.py: 360.00 Byte, 0.00 Byte
HumanEval_9.py: 256.00 Byte, 0.00 Byte
HumanEval_10.py: 159.00 Byte, 0.00 Byte
HumanEval_11.py: 704.00 Byte, 0.00 Byte
HumanEval_12.py: 392.00 Byte, 0.00 Byte
HumanEval_13.py: 96.00 Byte, 0.00 Byte
HumanEval_14.py: 554.00 Byte, 0.00 Byte
HumanEval_15.py: 951.00 Byte, 0.00 Byte
HumanEval_22.py: 320.00 Byte, 0.00 Byte
HumanEval_23.py: 96.00 Byte, 0.00 Byte
HumanEval_24.py: 144.00 Byte, 0.00 Byte
HumanEval_27.py: 2561.00 Byte, 0.00 Byte
HumanEval_28.py: 198.00 Byte, 0.00 Byte
HumanEval_30.py: 400.00 Byte, 0.00 Byte
HumanEval_31.py: 200.00 Byte, 0.00 Byte
HumanEval_34.py: 1136.00 Byte, 112.00 Byte
HumanEval_35.py: 192.00 Byte, 0.00 Byte
HumanEval_38.py: 1400.00 Byte, 0.00 Byte
HumanEval_42.py: 448.00 Byte, 0.00 Byte
HumanEval_45.py: 96.00 Byte, 0.00 Byte
HumanEval_48.py: 102.00 Byte, 0.00 Byte
HumanEval_50.py: 730.00 Byte, 0.00 Byte
HumanEval_51.py: 418.00 Byte, 0.00 Byte
HumanEval_52.py: 416.00 Byte, 0.00 Byte
HumanEval_53.py: 364.00 Byte, 0.00 Byte
HumanEval_55.py: 96.00 Byte, 0.00 Byte
HumanEval_58.py: 1848.00 Byte, 0.00 Byte
HumanEval_60.py: 144.00 Byte, 0.00 Byte
HumanEval_62.py: 416.00 Byte, 0.00 Byte
HumanEval_63.py: 132.00 Byte, 0.00 Byte
HumanEval_67.py: 523.00 Byte, 0.00 Byte
HumanEval_76.py: 113.00 Byte, 65.00 Byte
HumanEval_77.py: 120.00 Byte, 0.00 Byte
HumanEval_79.py: 162.00 Byte, 0.00 Byte
HumanEval_80.py: 144.00 Byte, 0.00 Byte
HumanEval_92.py: 96.00 Byte, 0.00 Byte
HumanEval_95.py: 160.00 Byte, 0.00 Byte
HumanEval_102.py: 96.00 Byte, 0.00 Byte
HumanEval_103.py: 204.00 Byte, 0.00 Byte
HumanEval_109.py: 280.00 Byte, 0.00 Byte
HumanEval_111.py: 192.00 Byte, 0.00 Byte
HumanEval_121.py: 384.00 Byte, 0.00 Byte
HumanEval_131.py: 208.00 Byte, 0.00 Byte
HumanEval_138.py: 96.00 Byte, 0.00 Byte
HumanEval_142.py: 732.00 Byte, 0.00 Byte
HumanEval_144.py: 297.00 Byte, 0.00 Byte
HumanEval_148.py: 96.00 Byte, 0.00 Byte
HumanEval_149.py: 216.00 Byte, 0.00 Byte
HumanEval_150.py: 172.00 Byte, 0.00 Byte
HumanEval_157.py: 160.00 Byte, 0.00 Byte
