HumanEval_2.py: 0.000025s
HumanEval_3.py: 0.000048s
HumanEval_5.py: 0.000056s
HumanEval_7.py: 0.000049s
HumanEval_9.py: 0.000126s
HumanEval_10.py: 0.000080s
HumanEval_11.py: 0.000136s
HumanEval_12.py: 0.000096s
HumanEval_13.py: 0.000021s
HumanEval_14.py: 0.000060s
HumanEval_15.py: 0.000079s
HumanEval_22.py: 0.000067s
HumanEval_23.py: 0.000018s
HumanEval_24.py: 0.000097s
HumanEval_27.py: 0.000450s
HumanEval_28.py: 0.000021s
HumanEval_30.py: 0.000049s
HumanEval_31.py: 0.010937s
HumanEval_34.py: 0.000022s
HumanEval_35.py: 0.000020s
HumanEval_38.py: 0.059422s
HumanEval_42.py: 0.000036s
HumanEval_45.py: 0.000013s
HumanEval_48.py: 0.000030s
HumanEval_50.py: 0.074303s
HumanEval_51.py: 0.000236s
HumanEval_52.py: 0.000126s
HumanEval_53.py: 0.006040s
HumanEval_55.py: 0.002972s
HumanEval_58.py: 0.000066s
HumanEval_60.py: 0.000049s
HumanEval_62.py: 0.000074s
HumanEval_63.py: 0.015440s
HumanEval_67.py: 0.000285s
HumanEval_76.py: 0.000110s
HumanEval_77.py: 0.000133s
HumanEval_79.py: 0.000034s
HumanEval_80.py: 0.000123s
HumanEval_92.py: 0.000093s
HumanEval_95.py: 0.000250s
HumanEval_102.py: 0.000030s
HumanEval_103.py: 0.001046s
HumanEval_109.py: 0.000163s
HumanEval_111.py: 0.000331s
HumanEval_121.py: 0.000130s
HumanEval_131.py: 0.000116s
HumanEval_138.py: 0.000027s
HumanEval_142.py: 0.000520s
HumanEval_144.py: 0.000239s
HumanEval_148.py: 0.000086s
HumanEval_149.py: 0.000272s
HumanEval_150.py: 0.007067s
HumanEval_157.py: 0.000068s
