Mbpp_1.py: 0.000368s
Mbpp_2.py: 0.000040s
Mbpp_3.py: 0.000018s
Mbpp_4.py: 0.000239s
Mbpp_5.py: 0.000037s
Mbpp_6.py: 0.000014s
Mbpp_7.py: 0.000099s
Mbpp_8.py: 0.000062s
Mbpp_9.py: 0.000037s
Mbpp_10.py: 0.000033s
Mbpp_11.py: 0.000072s
Mbpp_12.py: 0.000045s
Mbpp_13.py: 0.000318s
Mbpp_14.py: 0.000014s
Mbpp_16.py: 0.000087s
Mbpp_17.py: 0.000010s
Mbpp_18.py: 0.000194s
Mbpp_19.py: 0.000033s
Mbpp_20.py: 0.000419s
Mbpp_21.py: 0.000041s
Mbpp_22.py: 0.000046s
Mbpp_23.py: 0.000056s
Mbpp_24.py: 0.000017s
Mbpp_26.py: 0.000248s
Mbpp_27.py: 0.000218s
Mbpp_28.py: 0.000028s
Mbpp_29.py: 0.000031s
Mbpp_30.py: 0.000240s
Mbpp_32.py: 0.000027s
Mbpp_33.py: 0.000025s
Mbpp_34.py: 0.000024s
Mbpp_36.py: 0.000043s
Mbpp_37.py: 0.000224s
Mbpp_38.py: 0.000095s
Mbpp_39.py: 0.000407s
Mbpp_40.py: 0.000268s
Mbpp_41.py: 0.000086s
Mbpp_43.py: 0.000086s
Mbpp_44.py: 0.000089s
Mbpp_45.py: 0.000057s
Mbpp_46.py: 0.000034s
Mbpp_47.py: 0.000042s
Mbpp_48.py: 0.000041s
Mbpp_49.py: 0.000038s
Mbpp_50.py: 0.000122s
Mbpp_51.py: 0.000011s
Mbpp_52.py: 0.000010s
Mbpp_53.py: 0.000012s
Mbpp_54.py: 0.000418s
Mbpp_56.py: 0.000023s
Mbpp_57.py: 0.000064s
Mbpp_58.py: 0.000011s
Mbpp_59.py: 0.000011s
Mbpp_61.py: 0.001020s
Mbpp_62.py: 0.000023s
Mbpp_63.py: 0.000099s
Mbpp_64.py: 0.000054s
Mbpp_65.py: 0.000150s
Mbpp_66.py: 0.000058s
Mbpp_67.py: 0.015934s
Mbpp_68.py: 0.000108s
Mbpp_69.py: 0.000049s
Mbpp_70.py: 0.000069s
Mbpp_73.py: 0.000098s
Mbpp_74.py: 0.000061s
Mbpp_75.py: 0.000178s
Mbpp_76.py: 0.000072s
Mbpp_78.py: 0.000391s
Mbpp_79.py: 0.000017s
Mbpp_80.py: 0.000012s
Mbpp_81.py: 0.000076s
Mbpp_82.py: 0.000026s
Mbpp_84.py: 0.004701s
Mbpp_85.py: 0.000024s
Mbpp_86.py: 0.000012s
Mbpp_88.py: 0.000211s
Mbpp_89.py: 0.000010s
Mbpp_90.py: 0.000077s
Mbpp_91.py: 0.000074s
Mbpp_92.py: 0.000047s
