Mbpp_1.py: Kernel usage: 6.61%, CPU usage: 211.60%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_3.py: Kernel usage: 5.32%, CPU usage: 170.12%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_4.py: Kernel usage: 9.73%, CPU usage: 311.45%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_5.py: Kernel usage: 5.57%, CPU usage: 178.09%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_6.py: Kernel usage: 4.72%, CPU usage: 150.97%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_7.py: Kernel usage: 10.04%, CPU usage: 321.21%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_8.py: Kernel usage: 6.44%, CPU usage: 206.17%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_10.py: Kernel usage: 6.00%, CPU usage: 191.90%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_12.py: Kernel usage: 9.11%, CPU usage: 291.46%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_14.py: Kernel usage: 4.20%, CPU usage: 134.29%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_17.py: Kernel usage: 4.09%, CPU usage: 130.94%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_18.py: Kernel usage: 6.49%, CPU usage: 207.52%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_19.py: Kernel usage: 5.60%, CPU usage: 179.14%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_20.py: Kernel usage: 6.15%, CPU usage: 196.91%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_21.py: Kernel usage: 6.39%, CPU usage: 204.32%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_22.py: Kernel usage: 5.96%, CPU usage: 190.61%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_24.py: Kernel usage: 4.98%, CPU usage: 159.28%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_27.py: Kernel usage: 10.17%, CPU usage: 325.58%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_28.py: Kernel usage: 6.31%, CPU usage: 201.79%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_29.py: Kernel usage: 10.77%, CPU usage: 344.76%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_30.py: Kernel usage: 6.30%, CPU usage: 201.58%, CPU Runtime: 0.00s, Total Runtime: 0.00s
