216.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
620.00 Byte, 0.00 Byte
284.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
1410.00 Byte, 0.00 Byte
608.00 Byte, 56.00 Byte
312.00 Byte, 0.00 Byte
464.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
2216.00 Byte, 0.00 Byte
904.00 Byte, 0.00 Byte
148.00 Byte, 0.00 Byte
408.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
136.00 Byte, 0.00 Byte
766.00 Byte, 0.00 Byte
288.00 Byte, 0.00 Byte
368.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
158.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
276.00 Byte, 0.00 Byte
495.00 Byte, 71.00 Byte
424.00 Byte, 0.00 Byte
1384.00 Byte, 0.00 Byte
544.00 Byte, 56.00 Byte
1282.00 Byte, 0.00 Byte
336.00 Byte, 0.00 Byte
872.00 Byte, 0.00 Byte
432.00 Byte, 0.00 Byte
520.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
784.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
150.00 Byte, 0.00 Byte
512.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
782.00 Byte, 103.00 Byte
144.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
328.00 Byte, 0.00 Byte
675.00 Byte, 115.00 Byte
376.00 Byte, 0.00 Byte
100864.00 Byte, 0.00 Byte
416.00 Byte, 0.00 Byte
488.00 Byte, 0.00 Byte
400.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
1331.00 Byte, 0.00 Byte
640.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
397.00 Byte, 53.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
456.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
1416.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
432.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
276.00 Byte, 0.00 Byte
448.00 Byte, 0.00 Byte
1528.00 Byte, 64.00 Byte
296.00 Byte, 0.00 Byte
158.00 Byte, 0.00 Byte
690.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
128.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
1448.00 Byte, 56.00 Byte
384.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
410.00 Byte, 0.00 Byte
357.00 Byte, 0.00 Byte
341.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
256.00 Byte, 0.00 Byte
456.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
336.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
631.00 Byte, 0.00 Byte
816.00 Byte, 0.00 Byte
1256.00 Byte, 0.00 Byte
935.00 Byte, 0.00 Byte
106.00 Byte, 0.00 Byte
396.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
504.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
320.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
280.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
432.00 Byte, 0.00 Byte
776.00 Byte, 44.00 Byte
2112.00 Byte, 1400.00 Byte
96.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
456.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
288.00 Byte, 0.00 Byte
210.00 Byte, 0.00 Byte
256.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
112.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
224.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
484.00 Byte, 0.00 Byte
280.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
352.00 Byte, 0.00 Byte
261.00 Byte, 0.00 Byte
1322.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
352.00 Byte, 0.00 Byte
800.00 Byte, 0.00 Byte
920.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
131.00 Byte, 0.00 Byte
128.00 Byte, 0.00 Byte
360.00 Byte, 0.00 Byte
572.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
488.00 Byte, 0.00 Byte
416.00 Byte, 0.00 Byte
103.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
8348.00 Byte, 7920.00 Byte
7764.00 Byte, 7200.00 Byte
1056.00 Byte, 0.00 Byte
1282.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
618.00 Byte, 0.00 Byte
360.00 Byte, 0.00 Byte
824.00 Byte, 0.00 Byte
487.00 Byte, 0.00 Byte
160.00 Byte, 0.00 Byte
384.00 Byte, 0.00 Byte
208.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
100.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
120.00 Byte, 0.00 Byte
296.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
632.00 Byte, 232.00 Byte
96.00 Byte, 0.00 Byte
256.00 Byte, 0.00 Byte
1680.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
880.00 Byte, 168.00 Byte
96.00 Byte, 0.00 Byte
416.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
6376.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
616.00 Byte, 56.00 Byte
96.00 Byte, 0.00 Byte
416.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
992.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
408.00 Byte, 0.00 Byte
456.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
680.00 Byte, 168.00 Byte
576.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
464.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
304.00 Byte, 0.00 Byte
516.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
872.00 Byte, 0.00 Byte
576.00 Byte, 56.00 Byte
1122.00 Byte, 0.00 Byte
416.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
228.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
320.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
440.00 Byte, 0.00 Byte
736.00 Byte, 0.00 Byte
352.00 Byte, 0.00 Byte
940.00 Byte, 44.00 Byte
96.00 Byte, 0.00 Byte
168.00 Byte, 0.00 Byte
560.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
256.00 Byte, 0.00 Byte
532.00 Byte, 0.00 Byte
128.00 Byte, 0.00 Byte
312.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
1248.00 Byte, 0.00 Byte
160.00 Byte, 0.00 Byte
1011.00 Byte, 88.00 Byte
488.00 Byte, 0.00 Byte
280.00 Byte, 0.00 Byte
1463.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
392.00 Byte, 0.00 Byte
1489.00 Byte, 0.00 Byte
102.00 Byte, 0.00 Byte
640.00 Byte, 0.00 Byte
392.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
105.00 Byte, 0.00 Byte
160.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
408.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
704.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
160.00 Byte, 0.00 Byte
312.00 Byte, 0.00 Byte
568.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
436.00 Byte, 44.00 Byte
576.00 Byte, 56.00 Byte
96.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
272.00 Byte, 0.00 Byte
768.00 Byte, 0.00 Byte
137.00 Byte, 0.00 Byte
544.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
328.00 Byte, 0.00 Byte
112.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
520.00 Byte, 0.00 Byte
101.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
2816.00 Byte, 0.00 Byte
368.00 Byte, 0.00 Byte
128.00 Byte, 0.00 Byte
160.00 Byte, 0.00 Byte
142.00 Byte, 94.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
702.00 Byte, 0.00 Byte
528.00 Byte, 0.00 Byte
44544.00 Byte, 44496.00 Byte
420.00 Byte, 0.00 Byte
824.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
176.00 Byte, 0.00 Byte
693.00 Byte, 48.00 Byte
460.00 Byte, 0.00 Byte
1008.00 Byte, 0.00 Byte
2836.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
103.00 Byte, 0.00 Byte
416.00 Byte, 168.00 Byte
376.00 Byte, 0.00 Byte
392.00 Byte, 0.00 Byte
304.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
1288.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
752.00 Byte, 112.00 Byte
204.00 Byte, 0.00 Byte
468.00 Byte, 44.00 Byte
344.00 Byte, 0.00 Byte
319.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
744.00 Byte, 0.00 Byte
272.00 Byte, 0.00 Byte
512.00 Byte, 0.00 Byte
544.00 Byte, 56.00 Byte
2658.00 Byte, 810.00 Byte
224.00 Byte, 0.00 Byte
460.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
432.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
101.00 Byte, 0.00 Byte
613.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
416.00 Byte, 0.00 Byte
720.00 Byte, 56.00 Byte
224.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
1337.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
1282.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
619.00 Byte, 0.00 Byte
204.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
284.00 Byte, 0.00 Byte
408.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
412.00 Byte, 0.00 Byte
712.00 Byte, 0.00 Byte
384.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
872.00 Byte, 0.00 Byte
1272.00 Byte, 0.00 Byte
106.00 Byte, 0.00 Byte
336.00 Byte, 0.00 Byte
128.00 Byte, 0.00 Byte
105.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
488.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
1282.00 Byte, 0.00 Byte
576.00 Byte, 0.00 Byte
505.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
328.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
1136.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
665.00 Byte, 0.00 Byte
1562.00 Byte, 0.00 Byte
536.00 Byte, 0.00 Byte
132.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
252.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
488.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
384.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
464.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
14776.00 Byte, 14264.00 Byte
256.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
320.00 Byte, 0.00 Byte
392.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
120.00 Byte, 0.00 Byte
172.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
576.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
312.00 Byte, 0.00 Byte
140.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
224.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
456.00 Byte, 0.00 Byte
320.00 Byte, 0.00 Byte
2144.00 Byte, 0.00 Byte
312.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
168.00 Byte, 0.00 Byte
714.00 Byte, 0.00 Byte
1056.00 Byte, 56.00 Byte
616.00 Byte, 0.00 Byte
384.00 Byte, 0.00 Byte
1391.00 Byte, 0.00 Byte
180.00 Byte, 0.00 Byte
408.00 Byte, 0.00 Byte
320.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
504.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
204.00 Byte, 0.00 Byte
320.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
256.00 Byte, 0.00 Byte
188.00 Byte, 0.00 Byte
236.00 Byte, 0.00 Byte
1208.00 Byte, 0.00 Byte
480.00 Byte, 0.00 Byte
496.00 Byte, 0.00 Byte
288.00 Byte, 56.00 Byte
396.00 Byte, 0.00 Byte
464.00 Byte, 0.00 Byte
304.00 Byte, 0.00 Byte
504.00 Byte, 0.00 Byte
1200.00 Byte, 53.00 Byte
312.00 Byte, 0.00 Byte
496.00 Byte, 0.00 Byte
960.00 Byte, 0.00 Byte
208.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
832.00 Byte, 0.00 Byte
455.00 Byte, 167.00 Byte
264.00 Byte, 0.00 Byte
400.00 Byte, 0.00 Byte
1999.00 Byte, 110.00 Byte
608.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
128.00 Byte, 0.00 Byte
128.00 Byte, 0.00 Byte
160.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
813.00 Byte, 0.00 Byte
424.00 Byte, 0.00 Byte
208.00 Byte, 0.00 Byte
573.00 Byte, 285.00 Byte
437.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
312.00 Byte, 0.00 Byte
382.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
222.00 Byte, 0.00 Byte
824.00 Byte, 0.00 Byte
416.00 Byte, 0.00 Byte
416.00 Byte, 0.00 Byte
440.00 Byte, 0.00 Byte
424.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
528.00 Byte, 0.00 Byte
456.00 Byte, 0.00 Byte
576.00 Byte, 56.00 Byte
478.00 Byte, 0.00 Byte
288.00 Byte, 0.00 Byte
647.00 Byte, 0.00 Byte
272.00 Byte, 0.00 Byte
648.00 Byte, 56.00 Byte
103.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
120.00 Byte, 0.00 Byte
336.00 Byte, 0.00 Byte
600.00 Byte, 0.00 Byte
1302.00 Byte, 0.00 Byte
384.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
392.00 Byte, 0.00 Byte
1258.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
480.00 Byte, 0.00 Byte
1282.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
156.00 Byte, 0.00 Byte
1362.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
216.00 Byte, 0.00 Byte
528.00 Byte, 0.00 Byte
1064.00 Byte, 400.00 Byte
96.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
488.00 Byte, 0.00 Byte
384.00 Byte, 0.00 Byte
696.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
384.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
2782.00 Byte, 0.00 Byte
