736.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
620.00 Byte, 0.00 Byte
1410.00 Byte, 0.00 Byte
608.00 Byte, 56.00 Byte
184.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
904.00 Byte, 0.00 Byte
116.00 Byte, 0.00 Byte
376.00 Byte, 56.00 Byte
200.00 Byte, 0.00 Byte
188.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
424.00 Byte, 0.00 Byte
1472.00 Byte, 56.00 Byte
544.00 Byte, 56.00 Byte
96.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
872.00 Byte, 0.00 Byte
200.00 Byte, 0.00 Byte
432.00 Byte, 0.00 Byte
520.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
800.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
212.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
296.00 Byte, 0.00 Byte
208.00 Byte, 0.00 Byte
304.00 Byte, 0.00 Byte
416.00 Byte, 0.00 Byte
208.00 Byte, 0.00 Byte
400.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
640.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
224.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
640.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
128.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
276.00 Byte, 0.00 Byte
448.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
1216.00 Byte, 0.00 Byte
158.00 Byte, 0.00 Byte
152.00 Byte, 104.00 Byte
616.00 Byte, 0.00 Byte
128.00 Byte, 0.00 Byte
304.00 Byte, 112.00 Byte
144.00 Byte, 0.00 Byte
1448.00 Byte, 56.00 Byte
144.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
384.00 Byte, 0.00 Byte
584.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
389.00 Byte, 0.00 Byte
293.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
332.00 Byte, 0.00 Byte
140.00 Byte, 0.00 Byte
68644.00 Byte, 0.00 Byte
3092.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
631.00 Byte, 0.00 Byte
1112.00 Byte, 0.00 Byte
151.00 Byte, 0.00 Byte
106.00 Byte, 0.00 Byte
544.00 Byte, 56.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
232.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
968.00 Byte, 0.00 Byte
216.00 Byte, 0.00 Byte
696.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
320.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
432.00 Byte, 0.00 Byte
684.00 Byte, 280.00 Byte
192.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
456.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
256.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
160.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
280.00 Byte, 0.00 Byte
128.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
352.00 Byte, 0.00 Byte
237.00 Byte, 0.00 Byte
1322.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
224.00 Byte, 0.00 Byte
200.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
128.00 Byte, 0.00 Byte
360.00 Byte, 0.00 Byte
572.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
488.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
149.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
680.00 Byte, 0.00 Byte
717.00 Byte, 0.00 Byte
1688.00 Byte, 0.00 Byte
1314.00 Byte, 0.00 Byte
1282.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
618.00 Byte, 0.00 Byte
934.00 Byte, 118.00 Byte
376.00 Byte, 0.00 Byte
520.00 Byte, 112.00 Byte
160.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
148.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
224.00 Byte, 0.00 Byte
120.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
256.00 Byte, 0.00 Byte
1680.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 48.00 Byte
616.00 Byte, 56.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
128.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
528.00 Byte, 56.00 Byte
1032.00 Byte, 0.00 Byte
136.00 Byte, 88.00 Byte
456.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
680.00 Byte, 168.00 Byte
96.00 Byte, 0.00 Byte
576.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
180.00 Byte, 0.00 Byte
304.00 Byte, 0.00 Byte
540.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
160.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
128.00 Byte, 0.00 Byte
576.00 Byte, 56.00 Byte
178.00 Byte, 0.00 Byte
416.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
472.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
392.00 Byte, 0.00 Byte
160.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
1256.00 Byte, 504.00 Byte
552.00 Byte, 0.00 Byte
448.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
216.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
1048.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
3704.00 Byte, 3360.00 Byte
256.00 Byte, 0.00 Byte
220.00 Byte, 0.00 Byte
1248.00 Byte, 0.00 Byte
488.00 Byte, 0.00 Byte
160.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
304.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
1489.00 Byte, 0.00 Byte
640.00 Byte, 0.00 Byte
360.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
368.00 Byte, 0.00 Byte
640.00 Byte, 0.00 Byte
336.00 Byte, 0.00 Byte
304.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
304.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
1208.00 Byte, 0.00 Byte
352.00 Byte, 0.00 Byte
520.00 Byte, 0.00 Byte
312.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
441.00 Byte, 49.00 Byte
576.00 Byte, 56.00 Byte
96.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
768.00 Byte, 0.00 Byte
137.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
328.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
1984.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
4928.00 Byte, 3960.00 Byte
144.00 Byte, 0.00 Byte
132.00 Byte, 0.00 Byte
2816.00 Byte, 0.00 Byte
208.00 Byte, 0.00 Byte
142.00 Byte, 94.00 Byte
144.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
702.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
520.00 Byte, 0.00 Byte
824.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
544.00 Byte, 87.00 Byte
460.00 Byte, 0.00 Byte
592.00 Byte, 56.00 Byte
1008.00 Byte, 0.00 Byte
1378.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
536.00 Byte, 56.00 Byte
332.00 Byte, 0.00 Byte
392.00 Byte, 0.00 Byte
128.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
256.00 Byte, 0.00 Byte
448.00 Byte, 0.00 Byte
1156.00 Byte, 112.00 Byte
400.00 Byte, 56.00 Byte
272.00 Byte, 0.00 Byte
544.00 Byte, 56.00 Byte
1378.00 Byte, 0.00 Byte
460.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
613.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
232.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
653.00 Byte, 168.00 Byte
1008.00 Byte, 0.00 Byte
128.00 Byte, 0.00 Byte
720.00 Byte, 56.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
360.00 Byte, 0.00 Byte
1337.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
619.00 Byte, 0.00 Byte
448.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
1653.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
11608.00 Byte, 4424.00 Byte
408.00 Byte, 0.00 Byte
304.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
824.00 Byte, 0.00 Byte
456.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
760.00 Byte, 0.00 Byte
106.00 Byte, 0.00 Byte
105.00 Byte, 0.00 Byte
149.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
1282.00 Byte, 0.00 Byte
360.00 Byte, 0.00 Byte
212.00 Byte, 0.00 Byte
328.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
740.00 Byte, 44.00 Byte
1562.00 Byte, 0.00 Byte
536.00 Byte, 0.00 Byte
132.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
224.00 Byte, 0.00 Byte
320.00 Byte, 56.00 Byte
1328.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
352.00 Byte, 0.00 Byte
456.00 Byte, 0.00 Byte
200.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
120.00 Byte, 0.00 Byte
576.00 Byte, 0.00 Byte
1360.00 Byte, 0.00 Byte
112.00 Byte, 0.00 Byte
354.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
472.00 Byte, 0.00 Byte
138.00 Byte, 90.00 Byte
232.00 Byte, 0.00 Byte
656.00 Byte, 0.00 Byte
320.00 Byte, 0.00 Byte
128.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
168.00 Byte, 0.00 Byte
9600.00 Byte, 9360.00 Byte
912.00 Byte, 56.00 Byte
126.00 Byte, 0.00 Byte
116.00 Byte, 0.00 Byte
448.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
320.00 Byte, 0.00 Byte
464.00 Byte, 0.00 Byte
398.00 Byte, 0.00 Byte
320.00 Byte, 0.00 Byte
256.00 Byte, 0.00 Byte
188.00 Byte, 0.00 Byte
224.00 Byte, 0.00 Byte
840.00 Byte, 0.00 Byte
480.00 Byte, 0.00 Byte
342.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
304.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
464.00 Byte, 0.00 Byte
304.00 Byte, 0.00 Byte
360.00 Byte, 0.00 Byte
939.00 Byte, 0.00 Byte
392.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
112.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
480.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
264.00 Byte, 0.00 Byte
640.00 Byte, 0.00 Byte
208.00 Byte, 0.00 Byte
128.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
813.00 Byte, 0.00 Byte
424.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
160.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
512.00 Byte, 0.00 Byte
318.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
416.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
424.00 Byte, 0.00 Byte
176.00 Byte, 0.00 Byte
456.00 Byte, 0.00 Byte
576.00 Byte, 56.00 Byte
237.00 Byte, 0.00 Byte
288.00 Byte, 0.00 Byte
647.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
648.00 Byte, 56.00 Byte
103.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
392.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
224.00 Byte, 0.00 Byte
180.00 Byte, 0.00 Byte
304.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
566.00 Byte, 56.00 Byte
104.00 Byte, 0.00 Byte
648.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
156.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
208.00 Byte, 0.00 Byte
528.00 Byte, 0.00 Byte
712.00 Byte, 56.00 Byte
688.00 Byte, 168.00 Byte
96.00 Byte, 0.00 Byte
180.00 Byte, 0.00 Byte
208.00 Byte, 0.00 Byte
336.00 Byte, 0.00 Byte
372.00 Byte, 0.00 Byte
528.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
424.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
312.00 Byte, 0.00 Byte
149.00 Byte, 0.00 Byte
184.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
1390.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
100.00 Byte, 0.00 Byte
208.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
600.00 Byte, 56.00 Byte
96.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
287.00 Byte, 95.00 Byte
549.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
304.00 Byte, 0.00 Byte
408.00 Byte, 64.00 Byte
1310.00 Byte, 0.00 Byte
1312.00 Byte, 112.00 Byte
456.00 Byte, 0.00 Byte
392.00 Byte, 0.00 Byte
534.00 Byte, 56.00 Byte
520.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
176.00 Byte, 0.00 Byte
224.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
96.00 Byte, 48.00 Byte
336.00 Byte, 0.00 Byte
384.00 Byte, 56.00 Byte
2096.00 Byte, 448.00 Byte
96.00 Byte, 0.00 Byte
288.00 Byte, 0.00 Byte
3093.00 Byte, 2640.00 Byte
96.00 Byte, 0.00 Byte
160.00 Byte, 0.00 Byte
168.00 Byte, 0.00 Byte
136.00 Byte, 0.00 Byte
552.00 Byte, 0.00 Byte
384.00 Byte, 0.00 Byte
560.00 Byte, 0.00 Byte
604.00 Byte, 0.00 Byte
1374.00 Byte, 0.00 Byte
456.00 Byte, 0.00 Byte
1340.00 Byte, 0.00 Byte
208.00 Byte, 0.00 Byte
576.00 Byte, 56.00 Byte
132.00 Byte, 0.00 Byte
