8388904.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
524824.00 Byte, 0.00 Byte
539472.00 Byte, 0.00 Byte
8503704.00 Byte, 3864.00 Byte
1051441.00 Byte, 0.00 Byte
3145992.00 Byte, 0.00 Byte
131472.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
1048632.00 Byte, 56.00 Byte
7340296.00 Byte, 56.00 Byte
398832.00 Byte, 0.00 Byte
64.00 Byte, 0.00 Byte
90.00 Byte, 0.00 Byte
5088.00 Byte, 0.00 Byte
1704248.00 Byte, 56.00 Byte
256.00 Byte, 0.00 Byte
65708.00 Byte, 0.00 Byte
8728.00 Byte, 0.00 Byte
10701128.00 Byte, 0.00 Byte
25630810.00 Byte, 168.00 Byte
4286520.00 Byte, 4480.00 Byte
2424920.00 Byte, 0.00 Byte
4194393.00 Byte, 0.00 Byte
7340296.00 Byte, 0.00 Byte
65640.00 Byte, 0.00 Byte
262352.00 Byte, 0.00 Byte
264.00 Byte, 0.00 Byte
271568.00 Byte, 2688.00 Byte
2621536.00 Byte, 56.00 Byte
512635.00 Byte, 0.00 Byte
2659760.00 Byte, 0.00 Byte
2404.00 Byte, 0.00 Byte
63151414.00 Byte, 0.00 Byte
8688948.00 Byte, 4480.00 Byte
1146968.00 Byte, 0.00 Byte
33554572.00 Byte, 0.00 Byte
4310808.00 Byte, 4480.00 Byte
6144.00 Byte, 0.00 Byte
3125456.00 Byte, 0.00 Byte
16700.00 Byte, 0.00 Byte
8388760.00 Byte, 0.00 Byte
4194449.00 Byte, 0.00 Byte
1048719.00 Byte, 0.00 Byte
1572864.00 Byte, 0.00 Byte
256.00 Byte, 0.00 Byte
2549792.00 Byte, 4424.00 Byte
2883876.00 Byte, 0.00 Byte
13811864.00 Byte, 0.00 Byte
20750296.00 Byte, 56.00 Byte
3680.00 Byte, 0.00 Byte
0.00 Byte, 0.00 Byte
524544.00 Byte, 0.00 Byte
29329833.00 Byte, 0.00 Byte
33532.00 Byte, 56.00 Byte
4376516.00 Byte, 4480.00 Byte
65748.00 Byte, 0.00 Byte
12582912.00 Byte, 0.00 Byte
65648.00 Byte, 0.00 Byte
0.00 Byte, 0.00 Byte
34007695.00 Byte, 0.00 Byte
4179224.00 Byte, 4480.00 Byte
524432.00 Byte, 0.00 Byte
4194345.00 Byte, 0.00 Byte
184144.00 Byte, 0.00 Byte
3196968.00 Byte, 0.00 Byte
622488.00 Byte, 0.00 Byte
2097192.00 Byte, 0.00 Byte
8388656.00 Byte, 0.00 Byte
35106104.00 Byte, 0.00 Byte
25165808.00 Byte, 0.00 Byte
8459232.00 Byte, 4480.00 Byte
1048617.00 Byte, 0.00 Byte
1167168.00 Byte, 0.00 Byte
8480.00 Byte, 0.00 Byte
12582912.00 Byte, 0.00 Byte
6073160.00 Byte, 56.00 Byte
524329.00 Byte, 0.00 Byte
884848.00 Byte, 0.00 Byte
256.00 Byte, 0.00 Byte
8388608.00 Byte, 0.00 Byte
923216.00 Byte, 0.00 Byte
7973064.00 Byte, 0.00 Byte
61825.00 Byte, 112.00 Byte
8593296.00 Byte, 4480.00 Byte
262408.00 Byte, 0.00 Byte
148.00 Byte, 0.00 Byte
75445552.00 Byte, 112000.00 Byte
33554888.00 Byte, 0.00 Byte
7340296.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
8450452.00 Byte, 4480.00 Byte
48.00 Byte, 0.00 Byte
