HumanEval_0.py: Kernel usage: 8.93%, CPU usage: 285.83%, CPU Runtime: 0.40s, Total Runtime: 0.14s
Mbpp_3.py: Kernel usage: 6.22%, CPU usage: 199.14%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_4.py: Kernel usage: 11.34%, CPU usage: 362.89%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_4.py: Kernel usage: 11.96%, CPU usage: 382.87%, CPU Runtime: 0.03s, Total Runtime: 0.01s
HumanEval_9.py: Kernel usage: 6.93%, CPU usage: 221.74%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_9.py: Kernel usage: 6.25%, CPU usage: 199.88%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_11.py: Kernel usage: 6.15%, CPU usage: 196.93%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_12.py: Kernel usage: 5.95%, CPU usage: 190.50%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_16.py: Kernel usage: 6.39%, CPU usage: 204.44%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_16.py: Kernel usage: 12.48%, CPU usage: 399.44%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_19.py: Kernel usage: 5.97%, CPU usage: 191.01%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_20.py: Kernel usage: 6.89%, CPU usage: 220.37%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_24.py: Kernel usage: 6.25%, CPU usage: 200.00%, CPU Runtime: 1.17s, Total Runtime: 0.59s
HumanEval_26.py: Kernel usage: 11.74%, CPU usage: 375.62%, CPU Runtime: 0.02s, Total Runtime: 0.01s
HumanEval_31.py: Kernel usage: 6.18%, CPU usage: 197.64%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_36.py: Kernel usage: 12.63%, CPU usage: 404.07%, CPU Runtime: 0.29s, Total Runtime: 0.07s
HumanEval_37.py: Kernel usage: 8.57%, CPU usage: 274.29%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_49.py: Kernel usage: 5.65%, CPU usage: 180.87%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_51.py: Kernel usage: 9.37%, CPU usage: 299.95%, CPU Runtime: 0.14s, Total Runtime: 0.05s
HumanEval_54.py: Kernel usage: 6.25%, CPU usage: 199.95%, CPU Runtime: 0.02s, Total Runtime: 0.01s
HumanEval_58.py: Kernel usage: 6.33%, CPU usage: 202.66%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_59.py: Kernel usage: 5.44%, CPU usage: 173.94%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_62.py: Kernel usage: 6.43%, CPU usage: 205.68%, CPU Runtime: 0.02s, Total Runtime: 0.01s
HumanEval_64.py: Kernel usage: 11.01%, CPU usage: 352.22%, CPU Runtime: 1.03s, Total Runtime: 0.29s
HumanEval_74.py: Kernel usage: 11.86%, CPU usage: 379.56%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_75.py: Kernel usage: 11.15%, CPU usage: 356.87%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_85.py: Kernel usage: 11.67%, CPU usage: 373.30%, CPU Runtime: 0.19s, Total Runtime: 0.05s
HumanEval_87.py: Kernel usage: 8.58%, CPU usage: 274.68%, CPU Runtime: 0.03s, Total Runtime: 0.01s
Mbpp_88.py: Kernel usage: 7.16%, CPU usage: 229.04%, CPU Runtime: 0.02s, Total Runtime: 0.01s
HumanEval_89.py: Kernel usage: 7.18%, CPU usage: 229.69%, CPU Runtime: 3.70s, Total Runtime: 1.61s
HumanEval_90.py: Kernel usage: 6.74%, CPU usage: 215.66%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_90.py: Kernel usage: 11.91%, CPU usage: 381.07%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_94.py: Kernel usage: 10.35%, CPU usage: 331.33%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_96.py: Kernel usage: 11.13%, CPU usage: 356.15%, CPU Runtime: 0.51s, Total Runtime: 0.14s
Mbpp_97.py: Kernel usage: 7.01%, CPU usage: 224.30%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_106.py: Kernel usage: 4.81%, CPU usage: 153.79%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_113.py: Kernel usage: 11.34%, CPU usage: 362.86%, CPU Runtime: 3.11s, Total Runtime: 0.86s
HumanEval_119.py: Kernel usage: 6.23%, CPU usage: 199.27%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_120.py: Kernel usage: 8.68%, CPU usage: 277.74%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_121.py: Kernel usage: 11.74%, CPU usage: 375.84%, CPU Runtime: 0.05s, Total Runtime: 0.01s
