HumanEval_0.py: 20971576.00 Byte, 0.00 Byte
Mbpp_3.py: 152.00 Byte, 0.00 Byte
Mbpp_4.py: 123252.00 Byte, 0.00 Byte
HumanEval_4.py: 524624.00 Byte, 0.00 Byte
HumanEval_9.py: 539472.00 Byte, 0.00 Byte
Mbpp_9.py: 16557.00 Byte, 0.00 Byte
Mbpp_11.py: 4194407.00 Byte, 0.00 Byte
Mbpp_12.py: 8503704.00 Byte, 3864.00 Byte
HumanEval_16.py: 1051449.00 Byte, 0.00 Byte
Mbpp_16.py: 1114.00 Byte, 0.00 Byte
Mbpp_19.py: 3146020.00 Byte, 0.00 Byte
HumanEval_20.py: 262296.00 Byte, 0.00 Byte
HumanEval_24.py: 152.00 Byte, 0.00 Byte
HumanEval_26.py: 2425120.00 Byte, 0.00 Byte
HumanEval_31.py: 152.00 Byte, 0.00 Byte
HumanEval_36.py: 296.00 Byte, 0.00 Byte
HumanEval_37.py: 620812.00 Byte, 0.00 Byte
HumanEval_49.py: 92.00 Byte, 0.00 Byte
HumanEval_51.py: 960.00 Byte, 0.00 Byte
HumanEval_54.py: 5088.00 Byte, 0.00 Byte
HumanEval_58.py: 5898888.00 Byte, 0.00 Byte
HumanEval_59.py: 76.00 Byte, 0.00 Byte
Mbpp_62.py: 8388656.00 Byte, 0.00 Byte
HumanEval_64.py: 1064.00 Byte, 0.00 Byte
HumanEval_74.py: 65860.00 Byte, 0.00 Byte
Mbpp_75.py: 8720.00 Byte, 0.00 Byte
HumanEval_85.py: 8388968.00 Byte, 0.00 Byte
HumanEval_87.py: 4269304.00 Byte, 4480.00 Byte
Mbpp_88.py: 2424936.00 Byte, 0.00 Byte
HumanEval_89.py: 38918481.00 Byte, 0.00 Byte
HumanEval_90.py: 7340296.00 Byte, 0.00 Byte
Mbpp_90.py: 65832.00 Byte, 0.00 Byte
Mbpp_94.py: 262340.00 Byte, 0.00 Byte
Mbpp_96.py: 336.00 Byte, 0.00 Byte
Mbpp_97.py: 141776.00 Byte, 2744.00 Byte
Mbpp_106.py: 2097232.00 Byte, 0.00 Byte
HumanEval_113.py: 545280.00 Byte, 0.00 Byte
HumanEval_119.py: 8388865.00 Byte, 0.00 Byte
