HumanEval_0.py: Kernel usage: 9.06%, CPU usage: 289.93%, CPU Runtime: 0.42s, Total Runtime: 0.15s
Mbpp_3.py: Kernel usage: 6.25%, CPU usage: 200.00%, CPU Runtime: 10.81s, Total Runtime: 5.40s
HumanEval_4.py: Kernel usage: 7.46%, CPU usage: 238.56%, CPU Runtime: 0.02s, Total Runtime: 0.01s
HumanEval_9.py: Kernel usage: 7.53%, CPU usage: 240.97%, CPU Runtime: 0.02s, Total Runtime: 0.01s
Mbpp_12.py: Kernel usage: 9.22%, CPU usage: 295.19%, CPU Runtime: 5.54s, Total Runtime: 1.88s
HumanEval_16.py: Kernel usage: 7.50%, CPU usage: 240.14%, CPU Runtime: 0.36s, Total Runtime: 0.15s
Mbpp_19.py: Kernel usage: 5.37%, CPU usage: 171.69%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_20.py: Kernel usage: 6.32%, CPU usage: 202.18%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_24.py: Kernel usage: 6.25%, CPU usage: 200.00%, CPU Runtime: 1.70s, Total Runtime: 0.85s
HumanEval_31.py: Kernel usage: 6.25%, CPU usage: 200.00%, CPU Runtime: 0.37s, Total Runtime: 0.18s
HumanEval_34.py: Kernel usage: 6.64%, CPU usage: 212.59%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_37.py: Kernel usage: 7.53%, CPU usage: 240.96%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_49.py: Kernel usage: 6.26%, CPU usage: 200.42%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_51.py: Kernel usage: 7.51%, CPU usage: 240.17%, CPU Runtime: 1.33s, Total Runtime: 0.55s
HumanEval_58.py: Kernel usage: 6.28%, CPU usage: 200.87%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_62.py: Kernel usage: 5.56%, CPU usage: 177.96%, CPU Runtime: 0.03s, Total Runtime: 0.02s
HumanEval_74.py: Kernel usage: 7.44%, CPU usage: 238.03%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_75.py: Kernel usage: 8.41%, CPU usage: 269.12%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_85.py: Kernel usage: 6.06%, CPU usage: 193.89%, CPU Runtime: 0.04s, Total Runtime: 0.02s
HumanEval_86.py: Kernel usage: 9.04%, CPU usage: 289.40%, CPU Runtime: 1.30s, Total Runtime: 0.45s
HumanEval_87.py: Kernel usage: 5.79%, CPU usage: 185.25%, CPU Runtime: 0.03s, Total Runtime: 0.01s
Mbpp_88.py: Kernel usage: 6.09%, CPU usage: 194.84%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_89.py: Kernel usage: 7.38%, CPU usage: 236.25%, CPU Runtime: 3.83s, Total Runtime: 1.62s
HumanEval_90.py: Kernel usage: 6.21%, CPU usage: 198.73%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_90.py: Kernel usage: 7.46%, CPU usage: 238.62%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_94.py: Kernel usage: 5.95%, CPU usage: 190.35%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_97.py: Kernel usage: 7.32%, CPU usage: 234.33%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_106.py: Kernel usage: 7.51%, CPU usage: 240.23%, CPU Runtime: 0.04s, Total Runtime: 0.02s
Mbpp_108.py: Kernel usage: 9.49%, CPU usage: 303.83%, CPU Runtime: 0.02s, Total Runtime: 0.01s
HumanEval_113.py: Kernel usage: 11.25%, CPU usage: 360.13%, CPU Runtime: 8.92s, Total Runtime: 2.48s
HumanEval_120.py: Kernel usage: 9.04%, CPU usage: 289.32%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_121.py: Kernel usage: 6.20%, CPU usage: 198.48%, CPU Runtime: 0.02s, Total Runtime: 0.01s
Mbpp_123.py: Kernel usage: 9.37%, CPU usage: 299.97%, CPU Runtime: 0.72s, Total Runtime: 0.24s
Mbpp_128.py: Kernel usage: 7.76%, CPU usage: 248.39%, CPU Runtime: 0.25s, Total Runtime: 0.10s
Mbpp_129.py: Kernel usage: 3.22%, CPU usage: 102.97%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_130.py: Kernel usage: 6.12%, CPU usage: 195.86%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_137.py: Kernel usage: 6.01%, CPU usage: 192.38%, CPU Runtime: 0.15s, Total Runtime: 0.08s
Mbpp_140.py: Kernel usage: 8.70%, CPU usage: 278.33%, CPU Runtime: 5.74s, Total Runtime: 2.06s
Mbpp_141.py: Kernel usage: 7.61%, CPU usage: 243.36%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_149.py: Kernel usage: 9.92%, CPU usage: 317.58%, CPU Runtime: 0.26s, Total Runtime: 0.08s
Mbpp_166.py: Kernel usage: 6.25%, CPU usage: 200.13%, CPU Runtime: 0.19s, Total Runtime: 0.10s
Mbpp_170.py: Kernel usage: 5.39%, CPU usage: 172.60%, CPU Runtime: 0.04s, Total Runtime: 0.02s
Mbpp_226.py: Kernel usage: 6.45%, CPU usage: 206.27%, CPU Runtime: 0.41s, Total Runtime: 0.20s
Mbpp_230.py: Kernel usage: 6.25%, CPU usage: 200.02%, CPU Runtime: 0.05s, Total Runtime: 0.03s
Mbpp_239.py: Kernel usage: 6.22%, CPU usage: 199.08%, CPU Runtime: 0.00s, Total Runtime: 0.00s
