12582896.00 Byte, 0.00 Byte
120.00 Byte, 0.00 Byte
524364.00 Byte, 0.00 Byte
801608.00 Byte, 0.00 Byte
8450612.00 Byte, 3920.00 Byte
52491688.00 Byte, 0.00 Byte
527152.00 Byte, 0.00 Byte
131220.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
7340296.00 Byte, 0.00 Byte
402088.00 Byte, 0.00 Byte
168.00 Byte, 0.00 Byte
138.00 Byte, 0.00 Byte
5898888.00 Byte, 56.00 Byte
8388656.00 Byte, 0.00 Byte
213292.00 Byte, 0.00 Byte
8728.00 Byte, 0.00 Byte
8388756.00 Byte, 0.00 Byte
34014943.00 Byte, 168.00 Byte
4286552.00 Byte, 4480.00 Byte
2424920.00 Byte, 0.00 Byte
4194393.00 Byte, 0.00 Byte
7340296.00 Byte, 56.00 Byte
65640.00 Byte, 0.00 Byte
262292.00 Byte, 0.00 Byte
141760.00 Byte, 2688.00 Byte
2713416.00 Byte, 0.00 Byte
416952.00 Byte, 56.00 Byte
512635.00 Byte, 0.00 Byte
7272.00 Byte, 0.00 Byte
2659760.00 Byte, 0.00 Byte
2552.00 Byte, 0.00 Byte
63151414.00 Byte, 0.00 Byte
8450556.00 Byte, 4480.00 Byte
1146968.00 Byte, 0.00 Byte
33554572.00 Byte, 0.00 Byte
4275968.00 Byte, 4480.00 Byte
6144.00 Byte, 0.00 Byte
10371840.00 Byte, 110264.00 Byte
16700.00 Byte, 0.00 Byte
8388760.00 Byte, 0.00 Byte
38918473.00 Byte, 0.00 Byte
1048664.00 Byte, 0.00 Byte
96952.00 Byte, 1736.00 Byte
2621424.00 Byte, 0.00 Byte
1664848.00 Byte, 0.00 Byte
384.00 Byte, 0.00 Byte
2549792.00 Byte, 4424.00 Byte
2883876.00 Byte, 0.00 Byte
131388.00 Byte, 0.00 Byte
11714640.00 Byte, 0.00 Byte
20750280.00 Byte, 0.00 Byte
3264.00 Byte, 0.00 Byte
0.00 Byte, 0.00 Byte
524336.00 Byte, 0.00 Byte
3145809.00 Byte, 0.00 Byte
33100.00 Byte, 0.00 Byte
4385272.00 Byte, 4480.00 Byte
65748.00 Byte, 0.00 Byte
8388656.00 Byte, 0.00 Byte
4194345.00 Byte, 0.00 Byte
65648.00 Byte, 0.00 Byte
1126.00 Byte, 0.00 Byte
34007671.00 Byte, 0.00 Byte
4179224.00 Byte, 4480.00 Byte
524377.00 Byte, 0.00 Byte
8388656.00 Byte, 0.00 Byte
4194345.00 Byte, 0.00 Byte
184144.00 Byte, 0.00 Byte
3196968.00 Byte, 0.00 Byte
786432.00 Byte, 0.00 Byte
2097192.00 Byte, 0.00 Byte
12582904.00 Byte, 0.00 Byte
34583584.00 Byte, 0.00 Byte
35106056.00 Byte, 0.00 Byte
8388640.00 Byte, 0.00 Byte
8450476.00 Byte, 4480.00 Byte
1048617.00 Byte, 0.00 Byte
1601504.00 Byte, 0.00 Byte
8480.00 Byte, 0.00 Byte
12582912.00 Byte, 0.00 Byte
6073104.00 Byte, 0.00 Byte
29218358.00 Byte, 0.00 Byte
884848.00 Byte, 0.00 Byte
48.00 Byte, 0.00 Byte
8503440.00 Byte, 0.00 Byte
12541088.00 Byte, 0.00 Byte
923112.00 Byte, 0.00 Byte
7340296.00 Byte, 56.00 Byte
61737.00 Byte, 56.00 Byte
8593296.00 Byte, 4480.00 Byte
262192.00 Byte, 0.00 Byte
112.00 Byte, 0.00 Byte
75445552.00 Byte, 112000.00 Byte
33554580.00 Byte, 0.00 Byte
7340296.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
8450508.00 Byte, 4480.00 Byte
0.00 Byte, 0.00 Byte
