HumanEval_0.py: 12582896.00 Byte, 0.00 Byte
Mbpp_3.py: 120.00 Byte, 0.00 Byte
HumanEval_4.py: 524364.00 Byte, 0.00 Byte
HumanEval_9.py: 801608.00 Byte, 0.00 Byte
Mbpp_12.py: 8450612.00 Byte, 3920.00 Byte
HumanEval_16.py: 52491688.00 Byte, 0.00 Byte
Mbpp_19.py: 527152.00 Byte, 0.00 Byte
HumanEval_20.py: 131220.00 Byte, 0.00 Byte
HumanEval_24.py: 152.00 Byte, 0.00 Byte
HumanEval_31.py: 152.00 Byte, 0.00 Byte
HumanEval_34.py: 7340296.00 Byte, 0.00 Byte
HumanEval_37.py: 402088.00 Byte, 0.00 Byte
HumanEval_49.py: 168.00 Byte, 0.00 Byte
HumanEval_51.py: 138.00 Byte, 0.00 Byte
HumanEval_58.py: 5898888.00 Byte, 56.00 Byte
Mbpp_62.py: 8388656.00 Byte, 0.00 Byte
HumanEval_74.py: 213292.00 Byte, 0.00 Byte
Mbpp_75.py: 8728.00 Byte, 0.00 Byte
HumanEval_85.py: 8388756.00 Byte, 0.00 Byte
HumanEval_86.py: 34014943.00 Byte, 168.00 Byte
HumanEval_87.py: 4286552.00 Byte, 4480.00 Byte
Mbpp_88.py: 2424920.00 Byte, 0.00 Byte
HumanEval_89.py: 4194393.00 Byte, 0.00 Byte
HumanEval_90.py: 7340296.00 Byte, 56.00 Byte
Mbpp_90.py: 65640.00 Byte, 0.00 Byte
Mbpp_94.py: 262292.00 Byte, 0.00 Byte
Mbpp_97.py: 141760.00 Byte, 2688.00 Byte
Mbpp_106.py: 2713416.00 Byte, 0.00 Byte
Mbpp_108.py: 416952.00 Byte, 56.00 Byte
HumanEval_113.py: 512635.00 Byte, 0.00 Byte
HumanEval_120.py: 7272.00 Byte, 0.00 Byte
HumanEval_121.py: 2659760.00 Byte, 0.00 Byte
Mbpp_123.py: 2552.00 Byte, 0.00 Byte
Mbpp_128.py: 63151414.00 Byte, 0.00 Byte
Mbpp_129.py: 8450556.00 Byte, 4480.00 Byte
Mbpp_130.py: 1146968.00 Byte, 0.00 Byte
Mbpp_137.py: 33554572.00 Byte, 0.00 Byte
Mbpp_140.py: 4275968.00 Byte, 4480.00 Byte
Mbpp_141.py: 6144.00 Byte, 0.00 Byte
HumanEval_149.py: 10371840.00 Byte, 110264.00 Byte
Mbpp_166.py: 16700.00 Byte, 0.00 Byte
Mbpp_170.py: 8388760.00 Byte, 0.00 Byte
Mbpp_226.py: 38918473.00 Byte, 0.00 Byte
Mbpp_230.py: 1048664.00 Byte, 0.00 Byte
Mbpp_239.py: 96952.00 Byte, 1736.00 Byte
Mbpp_240.py: 2621424.00 Byte, 0.00 Byte
Mbpp_251.py: 1664848.00 Byte, 0.00 Byte
Mbpp_256.py: 384.00 Byte, 0.00 Byte
Mbpp_265.py: 2549792.00 Byte, 4424.00 Byte
Mbpp_281.py: 2883876.00 Byte, 0.00 Byte
Mbpp_296.py: 131388.00 Byte, 0.00 Byte
Mbpp_308.py: 11714640.00 Byte, 0.00 Byte
Mbpp_392.py: 20750280.00 Byte, 0.00 Byte
Mbpp_395.py: 3264.00 Byte, 0.00 Byte
Mbpp_405.py: 0.00 Byte, 0.00 Byte
