Mbpp_3.py: Kernel usage: 6.30%, CPU usage: 201.53%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_9.py: Kernel usage: 7.54%, CPU usage: 241.23%, CPU Runtime: 0.02s, Total Runtime: 0.01s
Mbpp_9.py: Kernel usage: 6.27%, CPU usage: 200.72%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_12.py: Kernel usage: 6.82%, CPU usage: 218.16%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_16.py: Kernel usage: 6.48%, CPU usage: 207.44%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_19.py: Kernel usage: 5.48%, CPU usage: 175.26%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_31.py: Kernel usage: 6.25%, CPU usage: 200.00%, CPU Runtime: 1.56s, Total Runtime: 0.78s
HumanEval_33.py: Kernel usage: 8.72%, CPU usage: 278.89%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_34.py: Kernel usage: 6.28%, CPU usage: 200.97%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_58.py: Kernel usage: 6.33%, CPU usage: 202.41%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_62.py: Kernel usage: 6.52%, CPU usage: 208.72%, CPU Runtime: 0.02s, Total Runtime: 0.01s
Mbpp_75.py: Kernel usage: 8.42%, CPU usage: 269.31%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_85.py: Kernel usage: 6.10%, CPU usage: 195.06%, CPU Runtime: 0.04s, Total Runtime: 0.02s
Mbpp_88.py: Kernel usage: 14.60%, CPU usage: 467.06%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_89.py: Kernel usage: 7.30%, CPU usage: 233.63%, CPU Runtime: 1.74s, Total Runtime: 0.74s
Mbpp_90.py: Kernel usage: 7.48%, CPU usage: 239.49%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_94.py: Kernel usage: 7.88%, CPU usage: 252.00%, CPU Runtime: 0.00s, Total Runtime: 0.00s
