Mbpp_3.py: 152.00 Byte, 0.00 Byte
HumanEval_9.py: 539472.00 Byte, 0.00 Byte
Mbpp_9.py: 33023.00 Byte, 0.00 Byte
Mbpp_12.py: 8503704.00 Byte, 3864.00 Byte
HumanEval_16.py: 1051441.00 Byte, 0.00 Byte
Mbpp_19.py: 3145992.00 Byte, 0.00 Byte
HumanEval_31.py: 152.00 Byte, 0.00 Byte
HumanEval_33.py: 1048632.00 Byte, 56.00 Byte
HumanEval_34.py: 7340296.00 Byte, 56.00 Byte
HumanEval_58.py: 5898888.00 Byte, 0.00 Byte
Mbpp_62.py: 8388656.00 Byte, 0.00 Byte
Mbpp_75.py: 8728.00 Byte, 0.00 Byte
HumanEval_85.py: 10701128.00 Byte, 0.00 Byte
Mbpp_88.py: 2425064.00 Byte, 0.00 Byte
HumanEval_89.py: 4194393.00 Byte, 0.00 Byte
Mbpp_90.py: 65640.00 Byte, 0.00 Byte
Mbpp_94.py: 262256.00 Byte, 0.00 Byte
Mbpp_97.py: 271568.00 Byte, 2688.00 Byte
Mbpp_106.py: 2621536.00 Byte, 56.00 Byte
HumanEval_113.py: 512635.00 Byte, 0.00 Byte
HumanEval_121.py: 2659760.00 Byte, 0.00 Byte
Mbpp_123.py: 2404.00 Byte, 0.00 Byte
Mbpp_128.py: 63151414.00 Byte, 0.00 Byte
Mbpp_130.py: 1147112.00 Byte, 0.00 Byte
Mbpp_137.py: 33554572.00 Byte, 0.00 Byte
Mbpp_140.py: 4310808.00 Byte, 4480.00 Byte
Mbpp_141.py: 6144.00 Byte, 0.00 Byte
HumanEval_149.py: 3125456.00 Byte, 0.00 Byte
Mbpp_166.py: 16700.00 Byte, 0.00 Byte
Mbpp_170.py: 8388760.00 Byte, 0.00 Byte
Mbpp_226.py: 4194449.00 Byte, 0.00 Byte
Mbpp_230.py: 1048616.00 Byte, 0.00 Byte
Mbpp_239.py: 96952.00 Byte, 1736.00 Byte
Mbpp_240.py: 1572864.00 Byte, 0.00 Byte
Mbpp_251.py: 1664896.00 Byte, 0.00 Byte
Mbpp_256.py: 256.00 Byte, 0.00 Byte
Mbpp_265.py: 2549792.00 Byte, 4424.00 Byte
Mbpp_281.py: 2883876.00 Byte, 0.00 Byte
Mbpp_296.py: 131388.00 Byte, 0.00 Byte
Mbpp_308.py: 13811864.00 Byte, 0.00 Byte
Mbpp_392.py: 20750296.00 Byte, 56.00 Byte
Mbpp_395.py: 3680.00 Byte, 0.00 Byte
Mbpp_405.py: 0.00 Byte, 0.00 Byte
Mbpp_421.py: 29329833.00 Byte, 0.00 Byte
Mbpp_424.py: 33532.00 Byte, 56.00 Byte
Mbpp_425.py: 4376516.00 Byte, 4480.00 Byte
Mbpp_433.py: 12582912.00 Byte, 0.00 Byte
Mbpp_437.py: 4194448.00 Byte, 0.00 Byte
Mbpp_446.py: 65648.00 Byte, 0.00 Byte
Mbpp_451.py: 1126.00 Byte, 0.00 Byte
Mbpp_456.py: 34007671.00 Byte, 0.00 Byte
Mbpp_460.py: 4179224.00 Byte, 4480.00 Byte
Mbpp_474.py: 524329.00 Byte, 0.00 Byte
Mbpp_477.py: 4194345.00 Byte, 0.00 Byte
Mbpp_563.py: 72.00 Byte, 0.00 Byte
Mbpp_572.py: 184144.00 Byte, 0.00 Byte
Mbpp_578.py: 3197120.00 Byte, 0.00 Byte
Mbpp_586.py: 786432.00 Byte, 0.00 Byte
Mbpp_587.py: 2097192.00 Byte, 0.00 Byte
Mbpp_597.py: 36281216.00 Byte, 0.00 Byte
Mbpp_604.py: 35106104.00 Byte, 0.00 Byte
Mbpp_610.py: 25165808.00 Byte, 0.00 Byte
Mbpp_611.py: 8459232.00 Byte, 4480.00 Byte
Mbpp_632.py: 1167168.00 Byte, 0.00 Byte
Mbpp_633.py: 8480.00 Byte, 0.00 Byte
Mbpp_644.py: 12582912.00 Byte, 0.00 Byte
Mbpp_720.py: 6073160.00 Byte, 56.00 Byte
Mbpp_725.py: 29219372.00 Byte, 0.00 Byte
Mbpp_740.py: 885336.00 Byte, 64.00 Byte
Mbpp_744.py: 256.00 Byte, 0.00 Byte
Mbpp_750.py: 8388608.00 Byte, 0.00 Byte
Mbpp_753.py: 16735464.00 Byte, 0.00 Byte
Mbpp_754.py: 923216.00 Byte, 0.00 Byte
Mbpp_757.py: 61825.00 Byte, 112.00 Byte
Mbpp_758.py: 8593296.00 Byte, 4256.00 Byte
Mbpp_760.py: 262408.00 Byte, 0.00 Byte
Mbpp_764.py: 148.00 Byte, 0.00 Byte
Mbpp_766.py: 75445552.00 Byte, 112000.00 Byte
Mbpp_775.py: 33554888.00 Byte, 0.00 Byte
Mbpp_777.py: 7340296.00 Byte, 0.00 Byte
Mbpp_781.py: 152.00 Byte, 0.00 Byte
Mbpp_800.py: 1126.00 Byte, 0.00 Byte
Mbpp_805.py: 8450612.00 Byte, 4480.00 Byte
Mbpp_808.py: 48.00 Byte, 0.00 Byte
