Mbpp_3.py: 0.000378s
HumanEval_9.py: 0.005977s
Mbpp_9.py: 0.000899s
Mbpp_12.py: 0.007642s
HumanEval_16.py: 0.005641s
Mbpp_19.py: 0.002101s
HumanEval_31.py: 0.912277s
HumanEval_33.py: 0.002613s
HumanEval_34.py: 0.005048s
HumanEval_58.py: 0.004946s
Mbpp_62.py: 0.018764s
Mbpp_75.py: 0.000436s
HumanEval_85.py: 0.022248s
Mbpp_88.py: 0.002036s
HumanEval_89.py: 0.661757s
Mbpp_90.py: 0.001188s
Mbpp_94.py: 0.000537s
Mbpp_97.py: 0.002064s
Mbpp_106.py: 0.001191s
HumanEval_113.py: 1.950881s
HumanEval_121.py: 0.009231s
Mbpp_123.py: 0.298214s
Mbpp_128.py: 0.066481s
Mbpp_130.py: 0.003634s
Mbpp_137.py: 0.084417s
Mbpp_140.py: 0.008885s
Mbpp_141.py: 0.000643s
HumanEval_149.py: 0.046466s
Mbpp_166.py: 0.108805s
Mbpp_170.py: 0.037334s
Mbpp_226.py: 0.277892s
Mbpp_230.py: 0.000302s
Mbpp_239.py: 0.000860s
Mbpp_240.py: 0.000918s
Mbpp_251.py: 0.003650s
Mbpp_256.py: 1.818080s
Mbpp_265.py: 0.041683s
Mbpp_281.py: 0.000701s
Mbpp_296.py: 4.656501s
Mbpp_308.py: 0.023385s
Mbpp_392.py: 0.214724s
Mbpp_395.py: 0.003129s
Mbpp_405.py: 0.000199s
Mbpp_421.py: 0.031556s
Mbpp_424.py: 0.000703s
Mbpp_425.py: 0.002943s
Mbpp_433.py: 0.171028s
Mbpp_437.py: 0.338408s
Mbpp_446.py: 0.001139s
Mbpp_451.py: 0.005349s
Mbpp_456.py: 0.012835s
Mbpp_460.py: 0.001715s
Mbpp_474.py: 0.000190s
Mbpp_477.py: 0.000741s
Mbpp_563.py: 0.006736s
Mbpp_572.py: 0.907881s
Mbpp_578.py: 0.005191s
Mbpp_586.py: 0.000364s
Mbpp_587.py: 0.001278s
Mbpp_597.py: 0.021989s
Mbpp_604.py: 0.015261s
Mbpp_610.py: 0.025198s
Mbpp_611.py: 0.003315s
Mbpp_632.py: 0.001848s
Mbpp_633.py: 0.021097s
Mbpp_644.py: 0.007717s
Mbpp_720.py: 0.010314s
Mbpp_725.py: 0.042385s
Mbpp_740.py: 0.004193s
Mbpp_744.py: 0.145324s
Mbpp_750.py: 0.007742s
Mbpp_753.py: 0.081038s
Mbpp_754.py: 0.002579s
Mbpp_757.py: 59.554894s
Mbpp_758.py: 0.005664s
Mbpp_760.py: 0.000122s
Mbpp_764.py: 0.210868s
Mbpp_766.py: 0.207920s
Mbpp_775.py: 0.006717s
Mbpp_777.py: 0.004045s
Mbpp_781.py: 0.000389s
Mbpp_800.py: 0.005295s
Mbpp_805.py: 0.005696s
Mbpp_808.py: 0.003754s
