HumanEval_0.py: 0.000421s
HumanEval_1.py: 0.000406s
HumanEval_2.py: 0.000018s
HumanEval_3.py: 0.000043s
HumanEval_4.py: 0.000249s
HumanEval_7.py: 0.000048s
HumanEval_8.py: 0.000028s
HumanEval_9.py: 0.000099s
HumanEval_10.py: 0.000074s
HumanEval_11.py: 0.000123s
HumanEval_12.py: 0.000087s
HumanEval_13.py: 0.000020s
HumanEval_14.py: 0.000066s
HumanEval_15.py: 0.000069s
HumanEval_16.py: 0.000064s
HumanEval_20.py: 0.000590s
HumanEval_21.py: 0.000122s
HumanEval_22.py: 0.000063s
HumanEval_23.py: 0.000016s
HumanEval_25.py: 0.000343s
HumanEval_27.py: 0.000026s
HumanEval_28.py: 0.000022s
HumanEval_29.py: 0.000043s
HumanEval_30.py: 0.000044s
HumanEval_31.py: 0.009120s
HumanEval_32.py: 0.283412s
HumanEval_33.py: 0.000120s
HumanEval_34.py: 0.000017s
HumanEval_35.py: 0.000016s
HumanEval_37.py: 0.000125s
HumanEval_41.py: 0.000031s
HumanEval_42.py: 0.000033s
HumanEval_44.py: 0.000120s
HumanEval_45.py: 0.000011s
HumanEval_46.py: 0.000184s
HumanEval_47.py: 0.000079s
HumanEval_48.py: 0.000027s
HumanEval_49.py: 0.000115s
HumanEval_50.py: 0.068651s
HumanEval_51.py: 0.000221s
HumanEval_52.py: 0.000030s
HumanEval_53.py: 0.005924s
HumanEval_54.py: 0.000064s
HumanEval_55.py: 0.002934s
HumanEval_56.py: 0.000131s
HumanEval_57.py: 0.000101s
HumanEval_58.py: 0.000119s
HumanEval_59.py: 0.009451s
HumanEval_60.py: 0.000047s
HumanEval_61.py: 0.000134s
HumanEval_62.py: 0.000065s
HumanEval_63.py: 0.015737s
HumanEval_66.py: 0.000415s
HumanEval_69.py: 0.000813s
HumanEval_71.py: 0.000092s
HumanEval_72.py: 0.000064s
HumanEval_74.py: 0.000129s
HumanEval_78.py: 0.000134s
HumanEval_79.py: 0.000031s
HumanEval_80.py: 0.000110s
HumanEval_81.py: 0.000125s
HumanEval_84.py: 0.000148s
HumanEval_85.py: 0.000081s
HumanEval_86.py: 0.000308s
HumanEval_87.py: 0.000534s
HumanEval_89.py: 0.000426s
HumanEval_90.py: 0.000099s
HumanEval_92.py: 0.000087s
HumanEval_93.py: 0.000486s
HumanEval_95.py: 0.000229s
HumanEval_96.py: 0.001418s
HumanEval_97.py: 0.000059s
HumanEval_98.py: 0.000060s
HumanEval_102.py: 0.000028s
HumanEval_103.py: 0.000934s
HumanEval_104.py: 0.000359s
HumanEval_111.py: 0.000306s
HumanEval_112.py: 0.000162s
HumanEval_113.py: 0.000244s
HumanEval_114.py: 0.000351s
HumanEval_116.py: 0.000566s
HumanEval_118.py: 0.000149s
HumanEval_121.py: 0.000119s
HumanEval_123.py: 0.000166s
HumanEval_125.py: 0.000197s
HumanEval_126.py: 0.000819s
HumanEval_128.py: 0.000337s
HumanEval_132.py: 0.000538s
HumanEval_133.py: 0.000290s
HumanEval_134.py: 0.000151s
HumanEval_136.py: 0.000530s
HumanEval_138.py: 0.000026s
HumanEval_144.py: 0.000214s
HumanEval_146.py: 0.000117s
HumanEval_147.py: 0.260279s
HumanEval_148.py: 0.000076s
HumanEval_149.py: 0.000252s
HumanEval_150.py: 0.006007s
HumanEval_152.py: 0.000101s
HumanEval_153.py: 0.002805s
HumanEval_155.py: 0.000123s
HumanEval_157.py: 0.000061s
HumanEval_160.py: 0.000292s
HumanEval_163.py: 0.000125s
