HumanEval_0.py: 240.00 Byte, 0.00 Byte
HumanEval_1.py: 421.00 Byte, 0.00 Byte
HumanEval_2.py: 96.00 Byte, 0.00 Byte
HumanEval_3.py: 160.00 Byte, 0.00 Byte
HumanEval_4.py: 432.00 Byte, 0.00 Byte
HumanEval_5.py: 216.00 Byte, 0.00 Byte
HumanEval_6.py: 588.00 Byte, 0.00 Byte
HumanEval_7.py: 360.00 Byte, 0.00 Byte
HumanEval_8.py: 128.00 Byte, 0.00 Byte
HumanEval_9.py: 208.00 Byte, 0.00 Byte
HumanEval_10.py: 260.00 Byte, 0.00 Byte
HumanEval_11.py: 704.00 Byte, 0.00 Byte
HumanEval_12.py: 144.00 Byte, 0.00 Byte
HumanEval_13.py: 96.00 Byte, 0.00 Byte
HumanEval_14.py: 554.00 Byte, 0.00 Byte
HumanEval_15.py: 955.00 Byte, 44.00 Byte
HumanEval_16.py: 891.00 Byte, 0.00 Byte
HumanEval_17.py: 746.00 Byte, 0.00 Byte
HumanEval_18.py: 101.00 Byte, 0.00 Byte
HumanEval_19.py: 1105.00 Byte, 0.00 Byte
HumanEval_20.py: 240.00 Byte, 0.00 Byte
HumanEval_21.py: 432.00 Byte, 0.00 Byte
HumanEval_22.py: 320.00 Byte, 0.00 Byte
HumanEval_23.py: 96.00 Byte, 0.00 Byte
HumanEval_24.py: 144.00 Byte, 0.00 Byte
HumanEval_25.py: 160.00 Byte, 0.00 Byte
HumanEval_26.py: 456.00 Byte, 0.00 Byte
HumanEval_27.py: 617.00 Byte, 0.00 Byte
HumanEval_28.py: 150.00 Byte, 0.00 Byte
HumanEval_29.py: 360.00 Byte, 0.00 Byte
HumanEval_30.py: 400.00 Byte, 0.00 Byte
HumanEval_31.py: 172.00 Byte, 0.00 Byte
HumanEval_35.py: 192.00 Byte, 0.00 Byte
HumanEval_36.py: 344.00 Byte, 0.00 Byte
HumanEval_37.py: 544.00 Byte, 0.00 Byte
HumanEval_38.py: 1400.00 Byte, 0.00 Byte
HumanEval_39.py: 1728.00 Byte, 0.00 Byte
HumanEval_40.py: 968.00 Byte, 0.00 Byte
HumanEval_41.py: 96.00 Byte, 0.00 Byte
HumanEval_42.py: 448.00 Byte, 0.00 Byte
HumanEval_43.py: 900.00 Byte, 0.00 Byte
HumanEval_44.py: 681.00 Byte, 0.00 Byte
HumanEval_45.py: 96.00 Byte, 0.00 Byte
HumanEval_46.py: 280.00 Byte, 0.00 Byte
HumanEval_47.py: 248.00 Byte, 0.00 Byte
HumanEval_48.py: 102.00 Byte, 0.00 Byte
HumanEval_49.py: 96.00 Byte, 0.00 Byte
HumanEval_50.py: 730.00 Byte, 0.00 Byte
HumanEval_51.py: 1136.00 Byte, 0.00 Byte
HumanEval_52.py: 416.00 Byte, 0.00 Byte
HumanEval_53.py: 364.00 Byte, 0.00 Byte
HumanEval_54.py: 1552.00 Byte, 0.00 Byte
HumanEval_55.py: 144.00 Byte, 0.00 Byte
HumanEval_56.py: 96.00 Byte, 0.00 Byte
HumanEval_57.py: 432.00 Byte, 0.00 Byte
HumanEval_58.py: 1848.00 Byte, 0.00 Byte
HumanEval_59.py: 104.00 Byte, 0.00 Byte
HumanEval_60.py: 104.00 Byte, 0.00 Byte
HumanEval_61.py: 96.00 Byte, 0.00 Byte
HumanEval_62.py: 376.00 Byte, 0.00 Byte
HumanEval_63.py: 336.00 Byte, 0.00 Byte
HumanEval_64.py: 1112.00 Byte, 0.00 Byte
HumanEval_66.py: 392.00 Byte, 48.00 Byte
HumanEval_67.py: 1262.00 Byte, 0.00 Byte
HumanEval_68.py: 384.00 Byte, 0.00 Byte
HumanEval_69.py: 1011.00 Byte, 59.00 Byte
HumanEval_70.py: 288.00 Byte, 0.00 Byte
HumanEval_71.py: 120.00 Byte, 0.00 Byte
HumanEval_72.py: 128.00 Byte, 0.00 Byte
HumanEval_73.py: 208.00 Byte, 0.00 Byte
HumanEval_74.py: 488.00 Byte, 88.00 Byte
HumanEval_76.py: 104.00 Byte, 0.00 Byte
HumanEval_77.py: 120.00 Byte, 0.00 Byte
HumanEval_78.py: 907.00 Byte, 0.00 Byte
HumanEval_79.py: 162.00 Byte, 0.00 Byte
HumanEval_80.py: 412.00 Byte, 0.00 Byte
HumanEval_81.py: 208.00 Byte, 0.00 Byte
HumanEval_82.py: 288.00 Byte, 0.00 Byte
HumanEval_83.py: 104.00 Byte, 0.00 Byte
HumanEval_84.py: 441.00 Byte, 44.00 Byte
HumanEval_85.py: 456.00 Byte, 0.00 Byte
HumanEval_87.py: 1040.00 Byte, 0.00 Byte
HumanEval_88.py: 248.00 Byte, 0.00 Byte
HumanEval_89.py: 558.00 Byte, 0.00 Byte
HumanEval_90.py: 944.00 Byte, 0.00 Byte
HumanEval_92.py: 421.00 Byte, 77.00 Byte
HumanEval_94.py: 884.00 Byte, 0.00 Byte
HumanEval_95.py: 509.00 Byte, 77.00 Byte
HumanEval_96.py: 776.00 Byte, 0.00 Byte
HumanEval_97.py: 96.00 Byte, 0.00 Byte
HumanEval_98.py: 424.00 Byte, 0.00 Byte
HumanEval_99.py: 104.00 Byte, 0.00 Byte
HumanEval_100.py: 176.00 Byte, 0.00 Byte
HumanEval_101.py: 1542.00 Byte, 0.00 Byte
HumanEval_102.py: 96.00 Byte, 0.00 Byte
HumanEval_103.py: 176.00 Byte, 0.00 Byte
HumanEval_104.py: 837.00 Byte, 0.00 Byte
HumanEval_105.py: 552.00 Byte, 0.00 Byte
HumanEval_106.py: 284.00 Byte, 0.00 Byte
HumanEval_107.py: 232.00 Byte, 0.00 Byte
HumanEval_109.py: 312.00 Byte, 0.00 Byte
HumanEval_110.py: 536.00 Byte, 0.00 Byte
HumanEval_111.py: 520.00 Byte, 0.00 Byte
HumanEval_112.py: 384.00 Byte, 0.00 Byte
HumanEval_113.py: 675.00 Byte, 0.00 Byte
HumanEval_114.py: 248.00 Byte, 0.00 Byte
HumanEval_115.py: 304.00 Byte, 0.00 Byte
HumanEval_116.py: 698.00 Byte, 0.00 Byte
HumanEval_117.py: 1501.00 Byte, 0.00 Byte
HumanEval_118.py: 872.00 Byte, 0.00 Byte
HumanEval_119.py: 319.00 Byte, 0.00 Byte
HumanEval_120.py: 304.00 Byte, 0.00 Byte
HumanEval_121.py: 456.00 Byte, 0.00 Byte
HumanEval_122.py: 456.00 Byte, 0.00 Byte
HumanEval_123.py: 896.00 Byte, 0.00 Byte
HumanEval_124.py: 299.00 Byte, 0.00 Byte
HumanEval_126.py: 808.00 Byte, 0.00 Byte
HumanEval_127.py: 288.00 Byte, 0.00 Byte
HumanEval_128.py: 736.00 Byte, 0.00 Byte
HumanEval_130.py: 50824.00 Byte, 4696.00 Byte
HumanEval_131.py: 360.00 Byte, 0.00 Byte
HumanEval_133.py: 416.00 Byte, 0.00 Byte
HumanEval_136.py: 400.00 Byte, 0.00 Byte
HumanEval_137.py: 244.00 Byte, 0.00 Byte
HumanEval_138.py: 96.00 Byte, 0.00 Byte
HumanEval_139.py: 184.00 Byte, 0.00 Byte
HumanEval_140.py: 1299.00 Byte, 0.00 Byte
HumanEval_142.py: 404.00 Byte, 0.00 Byte
HumanEval_143.py: 1064.00 Byte, 95.00 Byte
HumanEval_144.py: 469.00 Byte, 79.00 Byte
HumanEval_147.py: 1292.00 Byte, 0.00 Byte
HumanEval_148.py: 216.00 Byte, 0.00 Byte
HumanEval_149.py: 360.00 Byte, 0.00 Byte
HumanEval_150.py: 144.00 Byte, 0.00 Byte
HumanEval_151.py: 4516.00 Byte, 0.00 Byte
HumanEval_152.py: 512.00 Byte, 0.00 Byte
HumanEval_153.py: 854.00 Byte, 86.00 Byte
HumanEval_154.py: 254.00 Byte, 0.00 Byte
HumanEval_155.py: 499.00 Byte, 100.00 Byte
HumanEval_156.py: 487.00 Byte, 0.00 Byte
HumanEval_157.py: 176.00 Byte, 0.00 Byte
HumanEval_158.py: 920.00 Byte, 0.00 Byte
HumanEval_159.py: 124.00 Byte, 0.00 Byte
HumanEval_161.py: 588.00 Byte, 0.00 Byte
HumanEval_162.py: 161.00 Byte, 0.00 Byte
