HumanEval_0.py: 0.000178s
HumanEval_1.py: 0.000218s
HumanEval_2.py: 0.000019s
HumanEval_3.py: 0.000044s
HumanEval_4.py: 0.000145s
HumanEval_5.py: 0.000044s
HumanEval_6.py: 0.000197s
HumanEval_7.py: 0.000046s
HumanEval_8.py: 0.000042s
HumanEval_9.py: 0.000061s
HumanEval_10.py: 0.000067s
HumanEval_11.py: 0.000119s
HumanEval_12.py: 0.000046s
HumanEval_13.py: 0.000018s
HumanEval_14.py: 0.000055s
HumanEval_15.py: 0.000100s
HumanEval_16.py: 0.000060s
HumanEval_17.py: 0.000110s
HumanEval_18.py: 0.000189s
HumanEval_19.py: 0.000230s
HumanEval_20.py: 0.000181s
HumanEval_21.py: 0.000128s
HumanEval_22.py: 0.000040s
HumanEval_23.py: 0.000015s
HumanEval_24.py: 0.000041s
HumanEval_25.py: 0.000225s
HumanEval_26.py: 0.000205s
HumanEval_27.py: 0.000025s
HumanEval_28.py: 0.000020s
HumanEval_29.py: 0.000043s
HumanEval_30.py: 0.000044s
HumanEval_31.py: 0.000145s
HumanEval_35.py: 0.000016s
HumanEval_36.py: 0.244355s
HumanEval_37.py: 0.000143s
HumanEval_38.py: 0.053982s
HumanEval_39.py: 0.013421s
HumanEval_40.py: 0.000216s
HumanEval_41.py: 0.000014s
HumanEval_42.py: 0.000032s
HumanEval_43.py: 0.000113s
HumanEval_44.py: 0.000282s
HumanEval_45.py: 0.000011s
HumanEval_46.py: 0.000121s
HumanEval_47.py: 0.000065s
HumanEval_48.py: 0.000027s
HumanEval_49.py: 0.000093s
HumanEval_50.py: 0.069959s
HumanEval_51.py: 0.000134s
HumanEval_52.py: 0.000120s
HumanEval_53.py: 0.005753s
HumanEval_54.py: 0.000056s
HumanEval_55.py: 0.000050s
HumanEval_56.py: 0.000160s
HumanEval_57.py: 0.000298s
HumanEval_58.py: 0.000060s
HumanEval_59.py: 0.000078s
HumanEval_60.py: 0.000018s
HumanEval_61.py: 0.000160s
HumanEval_62.py: 0.000078s
HumanEval_63.py: 0.000172s
HumanEval_64.py: 0.000152s
HumanEval_66.py: 0.000307s
HumanEval_67.py: 0.000286s
HumanEval_68.py: 0.000228s
HumanEval_69.py: 0.001952s
HumanEval_70.py: 0.000713s
HumanEval_71.py: 0.000096s
HumanEval_72.py: 0.000043s
HumanEval_73.py: 0.000088s
HumanEval_74.py: 0.000343s
HumanEval_76.py: 0.000055s
HumanEval_77.py: 0.000107s
HumanEval_78.py: 0.000190s
HumanEval_79.py: 0.000031s
HumanEval_80.py: 0.000159s
HumanEval_81.py: 0.000124s
HumanEval_82.py: 0.000201s
HumanEval_83.py: 0.000028s
HumanEval_84.py: 0.000142s
HumanEval_85.py: 0.000081s
HumanEval_87.py: 0.000485s
HumanEval_88.py: 0.000089s
HumanEval_89.py: 0.001207s
HumanEval_90.py: 0.000109s
HumanEval_92.py: 0.000219s
HumanEval_94.py: 0.000975s
HumanEval_95.py: 0.000399s
HumanEval_96.py: 0.001288s
HumanEval_97.py: 0.000058s
HumanEval_98.py: 0.000135s
HumanEval_99.py: 0.000072s
HumanEval_100.py: 0.000094s
HumanEval_101.py: 0.000249s
HumanEval_102.py: 0.000029s
HumanEval_103.py: 0.000118s
HumanEval_104.py: 0.000342s
HumanEval_105.py: 0.000157s
HumanEval_106.py: 0.000172s
HumanEval_107.py: 0.000760s
HumanEval_109.py: 0.000107s
HumanEval_110.py: 0.000201s
HumanEval_111.py: 0.000653s
HumanEval_112.py: 0.000244s
HumanEval_113.py: 0.000174s
HumanEval_114.py: 0.000379s
HumanEval_115.py: 0.000135s
HumanEval_116.py: 0.000768s
HumanEval_117.py: 0.000693s
HumanEval_118.py: 0.000175s
HumanEval_119.py: 0.000272s
HumanEval_120.py: 0.000156s
HumanEval_121.py: 0.000136s
HumanEval_122.py: 0.000108s
HumanEval_123.py: 0.000121s
HumanEval_124.py: 0.000200s
HumanEval_126.py: 0.000905s
HumanEval_127.py: 0.000154s
HumanEval_128.py: 0.000732s
HumanEval_130.py: 0.001174s
HumanEval_131.py: 0.000141s
HumanEval_133.py: 0.000483s
HumanEval_136.py: 0.000299s
HumanEval_137.py: 0.000160s
HumanEval_138.py: 0.000026s
HumanEval_139.py: 0.000077s
HumanEval_140.py: 0.000163s
HumanEval_142.py: 0.000344s
HumanEval_143.py: 0.000398s
HumanEval_144.py: 0.000307s
HumanEval_147.py: 0.000566s
HumanEval_148.py: 0.000122s
HumanEval_149.py: 0.000257s
HumanEval_150.py: 0.000157s
HumanEval_151.py: 0.001018s
HumanEval_152.py: 0.000090s
HumanEval_153.py: 0.002179s
HumanEval_154.py: 0.000089s
HumanEval_155.py: 0.000369s
HumanEval_156.py: 0.000326s
HumanEval_157.py: 0.000213s
HumanEval_158.py: 0.000210s
HumanEval_159.py: 0.000076s
HumanEval_161.py: 0.000490s
HumanEval_162.py: 0.000082s
