HumanEval_0.py: 240.00 Byte, 0.00 Byte
HumanEval_1.py: 476.00 Byte, 0.00 Byte
HumanEval_2.py: 96.00 Byte, 0.00 Byte
HumanEval_3.py: 160.00 Byte, 0.00 Byte
HumanEval_4.py: 144.00 Byte, 0.00 Byte
HumanEval_7.py: 360.00 Byte, 0.00 Byte
HumanEval_8.py: 128.00 Byte, 0.00 Byte
HumanEval_9.py: 288.00 Byte, 0.00 Byte
HumanEval_10.py: 159.00 Byte, 0.00 Byte
HumanEval_11.py: 456.00 Byte, 0.00 Byte
HumanEval_12.py: 144.00 Byte, 0.00 Byte
HumanEval_13.py: 96.00 Byte, 0.00 Byte
HumanEval_14.py: 370.00 Byte, 0.00 Byte
HumanEval_15.py: 951.00 Byte, 0.00 Byte
HumanEval_16.py: 1916.00 Byte, 0.00 Byte
HumanEval_18.py: 153.00 Byte, 0.00 Byte
HumanEval_19.py: 1105.00 Byte, 0.00 Byte
HumanEval_20.py: 192.00 Byte, 0.00 Byte
HumanEval_21.py: 432.00 Byte, 0.00 Byte
HumanEval_22.py: 176.00 Byte, 0.00 Byte
HumanEval_23.py: 96.00 Byte, 0.00 Byte
HumanEval_24.py: 144.00 Byte, 0.00 Byte
HumanEval_25.py: 216.00 Byte, 0.00 Byte
HumanEval_27.py: 235.00 Byte, 0.00 Byte
HumanEval_28.py: 198.00 Byte, 0.00 Byte
HumanEval_29.py: 360.00 Byte, 0.00 Byte
HumanEval_31.py: 200.00 Byte, 0.00 Byte
HumanEval_32.py: 5468.00 Byte, 0.00 Byte
HumanEval_34.py: 976.00 Byte, 0.00 Byte
HumanEval_35.py: 240.00 Byte, 0.00 Byte
HumanEval_37.py: 504.00 Byte, 0.00 Byte
HumanEval_38.py: 1400.00 Byte, 0.00 Byte
HumanEval_40.py: 192.00 Byte, 0.00 Byte
HumanEval_41.py: 96.00 Byte, 0.00 Byte
HumanEval_42.py: 608.00 Byte, 56.00 Byte
HumanEval_44.py: 569.00 Byte, 0.00 Byte
HumanEval_45.py: 96.00 Byte, 0.00 Byte
HumanEval_46.py: 216.00 Byte, 0.00 Byte
HumanEval_47.py: 112.00 Byte, 0.00 Byte
HumanEval_48.py: 144.00 Byte, 0.00 Byte
HumanEval_49.py: 172.00 Byte, 0.00 Byte
HumanEval_50.py: 730.00 Byte, 0.00 Byte
HumanEval_51.py: 506.00 Byte, 0.00 Byte
HumanEval_52.py: 128.00 Byte, 0.00 Byte
HumanEval_53.py: 364.00 Byte, 0.00 Byte
HumanEval_55.py: 144.00 Byte, 0.00 Byte
HumanEval_56.py: 128.00 Byte, 0.00 Byte
HumanEval_57.py: 216.00 Byte, 0.00 Byte
HumanEval_58.py: 1960.00 Byte, 112.00 Byte
HumanEval_60.py: 104.00 Byte, 0.00 Byte
HumanEval_61.py: 96.00 Byte, 0.00 Byte
HumanEval_62.py: 416.00 Byte, 0.00 Byte
HumanEval_63.py: 132.00 Byte, 0.00 Byte
HumanEval_65.py: 152.00 Byte, 0.00 Byte
HumanEval_66.py: 344.00 Byte, 0.00 Byte
HumanEval_67.py: 611.00 Byte, 0.00 Byte
HumanEval_68.py: 192.00 Byte, 0.00 Byte
HumanEval_70.py: 224.00 Byte, 0.00 Byte
HumanEval_71.py: 120.00 Byte, 0.00 Byte
HumanEval_73.py: 208.00 Byte, 0.00 Byte
HumanEval_74.py: 360.00 Byte, 0.00 Byte
HumanEval_76.py: 107.00 Byte, 59.00 Byte
HumanEval_78.py: 144.00 Byte, 0.00 Byte
HumanEval_80.py: 144.00 Byte, 0.00 Byte
HumanEval_81.py: 208.00 Byte, 0.00 Byte
HumanEval_82.py: 144.00 Byte, 0.00 Byte
HumanEval_84.py: 353.00 Byte, 0.00 Byte
HumanEval_85.py: 192.00 Byte, 0.00 Byte
HumanEval_86.py: 1767.00 Byte, 168.00 Byte
HumanEval_87.py: 980.00 Byte, 0.00 Byte
HumanEval_88.py: 248.00 Byte, 0.00 Byte
HumanEval_89.py: 190.00 Byte, 0.00 Byte
HumanEval_90.py: 1048.00 Byte, 56.00 Byte
HumanEval_92.py: 96.00 Byte, 0.00 Byte
HumanEval_93.py: 1010.00 Byte, 0.00 Byte
HumanEval_95.py: 160.00 Byte, 0.00 Byte
HumanEval_96.py: 512.00 Byte, 0.00 Byte
HumanEval_97.py: 96.00 Byte, 0.00 Byte
HumanEval_98.py: 324.00 Byte, 0.00 Byte
HumanEval_100.py: 176.00 Byte, 0.00 Byte
HumanEval_101.py: 543.00 Byte, 0.00 Byte
HumanEval_102.py: 96.00 Byte, 0.00 Byte
HumanEval_103.py: 204.00 Byte, 0.00 Byte
HumanEval_104.py: 837.00 Byte, 0.00 Byte
HumanEval_105.py: 624.00 Byte, 0.00 Byte
HumanEval_107.py: 252.00 Byte, 0.00 Byte
HumanEval_109.py: 424.00 Byte, 0.00 Byte
HumanEval_110.py: 440.00 Byte, 0.00 Byte
HumanEval_111.py: 440.00 Byte, 0.00 Byte
HumanEval_112.py: 408.00 Byte, 0.00 Byte
HumanEval_113.py: 714.00 Byte, 48.00 Byte
HumanEval_116.py: 514.00 Byte, 0.00 Byte
HumanEval_117.py: 535.00 Byte, 0.00 Byte
HumanEval_118.py: 872.00 Byte, 0.00 Byte
HumanEval_120.py: 196.00 Byte, 0.00 Byte
HumanEval_121.py: 384.00 Byte, 0.00 Byte
HumanEval_122.py: 293.00 Byte, 0.00 Byte
HumanEval_124.py: 299.00 Byte, 0.00 Byte
HumanEval_125.py: 314.00 Byte, 0.00 Byte
HumanEval_126.py: 208.00 Byte, 0.00 Byte
HumanEval_128.py: 532.00 Byte, 56.00 Byte
HumanEval_130.py: 416.00 Byte, 0.00 Byte
HumanEval_131.py: 388.00 Byte, 0.00 Byte
HumanEval_135.py: 224.00 Byte, 0.00 Byte
HumanEval_136.py: 160.00 Byte, 0.00 Byte
HumanEval_138.py: 96.00 Byte, 0.00 Byte
HumanEval_139.py: 276.00 Byte, 0.00 Byte
HumanEval_140.py: 220.00 Byte, 0.00 Byte
HumanEval_141.py: 463.00 Byte, 79.00 Byte
HumanEval_142.py: 340.00 Byte, 0.00 Byte
HumanEval_143.py: 641.00 Byte, 0.00 Byte
HumanEval_144.py: 421.00 Byte, 0.00 Byte
HumanEval_145.py: 825.00 Byte, 0.00 Byte
HumanEval_146.py: 280.00 Byte, 0.00 Byte
HumanEval_147.py: 360.00 Byte, 0.00 Byte
HumanEval_148.py: 744.00 Byte, 0.00 Byte
HumanEval_149.py: 350.00 Byte, 38.00 Byte
HumanEval_150.py: 172.00 Byte, 0.00 Byte
HumanEval_151.py: 4516.00 Byte, 0.00 Byte
HumanEval_152.py: 256.00 Byte, 0.00 Byte
HumanEval_153.py: 400.00 Byte, 0.00 Byte
HumanEval_155.py: 207.00 Byte, 0.00 Byte
HumanEval_156.py: 848.00 Byte, 0.00 Byte
HumanEval_157.py: 132.00 Byte, 0.00 Byte
HumanEval_158.py: 920.00 Byte, 0.00 Byte
HumanEval_159.py: 124.00 Byte, 0.00 Byte
HumanEval_161.py: 540.00 Byte, 0.00 Byte
HumanEval_162.py: 161.00 Byte, 0.00 Byte
