HumanEval_0.py: 0.000408s
HumanEval_1.py: 0.000409s
HumanEval_2.py: 0.000020s
HumanEval_3.py: 0.000045s
HumanEval_4.py: 0.000085s
HumanEval_7.py: 0.000048s
HumanEval_8.py: 0.000030s
HumanEval_9.py: 0.000099s
HumanEval_10.py: 0.000075s
HumanEval_11.py: 0.000076s
HumanEval_12.py: 0.000045s
HumanEval_13.py: 0.000027s
HumanEval_14.py: 0.000065s
HumanEval_15.py: 0.000071s
HumanEval_16.py: 0.000213s
HumanEval_18.py: 0.000139s
HumanEval_19.py: 0.000215s
HumanEval_20.py: 0.000113s
HumanEval_21.py: 0.000124s
HumanEval_22.py: 0.000070s
HumanEval_23.py: 0.000015s
HumanEval_24.py: 0.000093s
HumanEval_25.py: 0.140457s
HumanEval_27.py: 0.000284s
HumanEval_28.py: 0.000019s
HumanEval_29.py: 0.000044s
HumanEval_31.py: 0.002539s
HumanEval_32.py: 0.301461s
HumanEval_34.py: 0.000016s
HumanEval_35.py: 0.000029s
HumanEval_37.py: 0.000261s
HumanEval_38.py: 0.054090s
HumanEval_40.py: 0.000269s
HumanEval_41.py: 0.000013s
HumanEval_42.py: 0.000053s
HumanEval_44.py: 0.000260s
HumanEval_45.py: 0.000011s
HumanEval_46.py: 0.000186s
HumanEval_47.py: 0.000061s
HumanEval_48.py: 0.000063s
HumanEval_49.py: 0.000872s
HumanEval_50.py: 0.069460s
HumanEval_51.py: 0.000225s
HumanEval_52.py: 0.000043s
HumanEval_53.py: 0.005793s
HumanEval_55.py: 0.000050s
HumanEval_56.py: 0.000395s
HumanEval_57.py: 0.000084s
HumanEval_58.py: 0.000072s
HumanEval_60.py: 0.000018s
HumanEval_61.py: 0.000139s
HumanEval_62.py: 0.000069s
HumanEval_63.py: 0.014108s
HumanEval_65.py: 0.000059s
HumanEval_66.py: 0.000389s
HumanEval_67.py: 0.000234s
HumanEval_68.py: 0.000257s
HumanEval_70.py: 0.000696s
HumanEval_71.py: 0.000091s
HumanEval_73.py: 0.000115s
HumanEval_74.py: 0.000281s
HumanEval_76.py: 0.000095s
HumanEval_78.py: 0.000147s
HumanEval_80.py: 0.000116s
HumanEval_81.py: 0.000124s
HumanEval_82.py: 0.000226s
HumanEval_84.py: 0.000117s
HumanEval_85.py: 0.000045s
HumanEval_86.py: 0.000295s
HumanEval_87.py: 0.000570s
HumanEval_88.py: 0.000089s
HumanEval_89.py: 0.000788s
HumanEval_90.py: 0.000101s
HumanEval_92.py: 0.000085s
HumanEval_93.py: 0.000481s
HumanEval_95.py: 0.000228s
HumanEval_96.py: 0.000752s
HumanEval_97.py: 0.000057s
HumanEval_98.py: 0.000090s
HumanEval_100.py: 0.000071s
HumanEval_101.py: 0.000076s
HumanEval_102.py: 0.000027s
HumanEval_103.py: 0.001023s
HumanEval_104.py: 0.000401s
HumanEval_105.py: 0.000134s
HumanEval_107.py: 0.001168s
HumanEval_109.py: 0.000235s
HumanEval_110.py: 0.000248s
HumanEval_111.py: 0.000430s
HumanEval_112.py: 0.000165s
HumanEval_113.py: 0.000250s
HumanEval_116.py: 0.000480s
HumanEval_117.py: 0.000368s
HumanEval_118.py: 0.000173s
HumanEval_120.py: 0.000101s
HumanEval_121.py: 0.000123s
HumanEval_122.py: 0.000091s
HumanEval_124.py: 0.000210s
HumanEval_125.py: 0.000192s
HumanEval_126.py: 0.000287s
HumanEval_128.py: 0.000325s
HumanEval_130.py: 0.000299s
HumanEval_131.py: 0.000144s
HumanEval_135.py: 0.000055s
HumanEval_136.py: 0.000117s
HumanEval_138.py: 0.000025s
HumanEval_139.py: 0.000098s
HumanEval_140.py: 0.000209s
HumanEval_141.py: 0.000691s
HumanEval_142.py: 0.000376s
HumanEval_143.py: 0.000372s
HumanEval_144.py: 0.000224s
HumanEval_145.py: 0.000823s
HumanEval_146.py: 0.000120s
HumanEval_147.py: 0.366459s
HumanEval_148.py: 0.000147s
HumanEval_149.py: 0.000326s
HumanEval_150.py: 0.006644s
HumanEval_151.py: 0.000714s
HumanEval_152.py: 0.000151s
HumanEval_153.py: 0.002694s
HumanEval_155.py: 0.000125s
HumanEval_156.py: 0.000498s
HumanEval_157.py: 0.000052s
HumanEval_158.py: 0.000217s
HumanEval_159.py: 0.000074s
HumanEval_161.py: 0.000275s
HumanEval_162.py: 0.000096s
