HumanEval_1.py: 0.000403s
HumanEval_3.py: 0.000041s
HumanEval_5.py: 0.000049s
HumanEval_7.py: 0.000046s
HumanEval_9.py: 0.000099s
HumanEval_10.py: 0.000074s
HumanEval_11.py: 0.000120s
HumanEval_13.py: 0.000026s
HumanEval_14.py: 0.000054s
HumanEval_16.py: 0.000063s
HumanEval_21.py: 0.000280s
HumanEval_22.py: 0.000062s
HumanEval_27.py: 0.000025s
HumanEval_28.py: 0.000018s
HumanEval_29.py: 0.000042s
HumanEval_30.py: 0.000043s
HumanEval_31.py: 0.009075s
HumanEval_32.py: 0.283650s
HumanEval_33.py: 0.000118s
HumanEval_34.py: 0.000017s
HumanEval_35.py: 0.000016s
HumanEval_38.py: 0.052550s
HumanEval_42.py: 0.000031s
HumanEval_45.py: 0.000011s
HumanEval_47.py: 0.000077s
HumanEval_48.py: 0.000027s
HumanEval_52.py: 0.000031s
HumanEval_53.py: 0.005861s
HumanEval_55.py: 0.002800s
HumanEval_57.py: 0.000082s
HumanEval_58.py: 0.000058s
HumanEval_62.py: 0.000066s
HumanEval_65.py: 0.000058s
HumanEval_67.py: 0.000276s
HumanEval_71.py: 0.000089s
HumanEval_76.py: 0.000051s
HumanEval_77.py: 0.000117s
HumanEval_78.py: 0.000138s
HumanEval_79.py: 0.000031s
HumanEval_80.py: 0.000113s
HumanEval_85.py: 0.000087s
HumanEval_89.py: 0.000437s
HumanEval_93.py: 0.000486s
HumanEval_95.py: 0.000222s
HumanEval_98.py: 0.000060s
HumanEval_102.py: 0.000028s
HumanEval_103.py: 0.000948s
HumanEval_111.py: 0.000297s
HumanEval_112.py: 0.000164s
HumanEval_113.py: 0.000239s
HumanEval_121.py: 0.000121s
HumanEval_128.py: 0.000322s
HumanEval_131.py: 0.000101s
HumanEval_138.py: 0.000025s
HumanEval_142.py: 0.000604s
HumanEval_144.py: 0.000211s
HumanEval_148.py: 0.000073s
HumanEval_149.py: 0.000246s
HumanEval_150.py: 0.006056s
HumanEval_155.py: 0.000118s
HumanEval_157.py: 0.000062s
