Mbpp_1.py: 0.000420s
Mbpp_3.py: 0.000032s
Mbpp_6.py: 0.000062s
Mbpp_7.py: 0.000187s
Mbpp_8.py: 0.000155s
Mbpp_10.py: 0.000054s
Mbpp_12.py: 0.000225s
Mbpp_13.py: 0.000308s
Mbpp_14.py: 0.000023s
Mbpp_17.py: 0.000017s
Mbpp_18.py: 0.000070s
Mbpp_19.py: 0.000083s
Mbpp_20.py: 0.000199s
Mbpp_21.py: 0.000074s
Mbpp_22.py: 0.000113s
Mbpp_24.py: 0.000188s
Mbpp_25.py: 0.000133s
Mbpp_26.py: 0.000064s
Mbpp_27.py: 0.000473s
Mbpp_28.py: 0.033068s
Mbpp_29.py: 0.000054s
Mbpp_30.py: 0.000102s
Mbpp_32.py: 0.000045s
Mbpp_33.py: 0.000103s
Mbpp_34.py: 0.000035s
Mbpp_36.py: 0.000029s
Mbpp_37.py: 0.000083s
Mbpp_38.py: 0.000037s
Mbpp_40.py: 0.000459s
Mbpp_41.py: 0.000058s
Mbpp_43.py: 0.000130s
Mbpp_45.py: 0.000050s
Mbpp_46.py: 0.000045s
Mbpp_47.py: 0.000070s
Mbpp_49.py: 0.000058s
Mbpp_50.py: 0.000150s
Mbpp_51.py: 0.000014s
Mbpp_52.py: 0.000013s
Mbpp_53.py: 0.000015s
Mbpp_54.py: 0.000298s
Mbpp_55.py: 0.000028s
Mbpp_57.py: 0.000051s
Mbpp_58.py: 0.000015s
Mbpp_59.py: 0.000014s
Mbpp_60.py: 0.000329s
Mbpp_61.py: 0.000241s
Mbpp_62.py: 0.000024s
Mbpp_63.py: 0.000092s
Mbpp_64.py: 0.000070s
Mbpp_65.py: 0.000089s
Mbpp_66.py: 0.000049s
Mbpp_67.py: 0.006155s
Mbpp_68.py: 0.000047s
Mbpp_69.py: 0.000074s
Mbpp_70.py: 0.000085s
Mbpp_71.py: 0.000175s
Mbpp_72.py: 0.000012s
Mbpp_75.py: 0.000209s
Mbpp_76.py: 0.000022s
Mbpp_79.py: 0.000021s
Mbpp_80.py: 0.000014s
Mbpp_81.py: 0.000157s
Mbpp_83.py: 0.000095s
Mbpp_84.py: 0.005202s
Mbpp_86.py: 0.000013s
Mbpp_88.py: 0.000080s
Mbpp_89.py: 0.000011s
Mbpp_90.py: 0.000051s
Mbpp_91.py: 0.000020s
Mbpp_93.py: 0.000023s
Mbpp_94.py: 0.000036s
Mbpp_95.py: 0.000067s
Mbpp_97.py: 0.000198s
Mbpp_98.py: 0.000028s
Mbpp_99.py: 0.000045s
Mbpp_102.py: 0.000107s
Mbpp_103.py: 0.000129s
Mbpp_105.py: 0.000041s
Mbpp_106.py: 0.000063s
Mbpp_107.py: 0.000032s
Mbpp_108.py: 0.000766s
Mbpp_109.py: 0.000031s
Mbpp_112.py: 0.000011s
Mbpp_113.py: 0.000022s
