Mbpp_3.py: Kernel usage: 5.76%, CPU usage: 184.47%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_7.py: Kernel usage: 10.02%, CPU usage: 320.65%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_8.py: Kernel usage: 7.68%, CPU usage: 245.81%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_9.py: Kernel usage: 5.74%, CPU usage: 183.70%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_12.py: Kernel usage: 5.86%, CPU usage: 187.63%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_14.py: Kernel usage: 4.10%, CPU usage: 131.32%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_17.py: Kernel usage: 4.04%, CPU usage: 129.43%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_19.py: Kernel usage: 5.74%, CPU usage: 183.55%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_20.py: Kernel usage: 5.76%, CPU usage: 184.32%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_21.py: Kernel usage: 4.90%, CPU usage: 156.77%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_23.py: Kernel usage: 6.46%, CPU usage: 206.79%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_25.py: Kernel usage: 5.99%, CPU usage: 191.79%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_26.py: Kernel usage: 5.45%, CPU usage: 174.52%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_27.py: Kernel usage: 12.54%, CPU usage: 401.27%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_28.py: Kernel usage: 6.25%, CPU usage: 199.95%, CPU Runtime: 0.04s, Total Runtime: 0.02s
Mbpp_29.py: Kernel usage: 5.90%, CPU usage: 188.65%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_30.py: Kernel usage: 8.54%, CPU usage: 273.36%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_32.py: Kernel usage: 5.89%, CPU usage: 188.57%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_33.py: Kernel usage: 7.23%, CPU usage: 231.50%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_34.py: Kernel usage: 5.36%, CPU usage: 171.52%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_36.py: Kernel usage: 5.17%, CPU usage: 165.39%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_37.py: Kernel usage: 7.78%, CPU usage: 249.09%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_38.py: Kernel usage: 7.74%, CPU usage: 247.67%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_40.py: Kernel usage: 9.94%, CPU usage: 318.19%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_41.py: Kernel usage: 6.85%, CPU usage: 219.33%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_44.py: Kernel usage: 9.60%, CPU usage: 307.09%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_45.py: Kernel usage: 6.83%, CPU usage: 218.58%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_46.py: Kernel usage: 5.85%, CPU usage: 187.23%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_47.py: Kernel usage: 5.46%, CPU usage: 174.57%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_48.py: Kernel usage: 5.65%, CPU usage: 180.66%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_49.py: Kernel usage: 5.68%, CPU usage: 181.67%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_50.py: Kernel usage: 10.04%, CPU usage: 321.26%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_51.py: Kernel usage: 4.35%, CPU usage: 139.27%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_52.py: Kernel usage: 4.22%, CPU usage: 135.18%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_53.py: Kernel usage: 4.44%, CPU usage: 141.95%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_54.py: Kernel usage: 6.07%, CPU usage: 194.33%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_55.py: Kernel usage: 5.19%, CPU usage: 166.08%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_57.py: Kernel usage: 5.90%, CPU usage: 188.94%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_58.py: Kernel usage: 4.49%, CPU usage: 143.61%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_59.py: Kernel usage: 4.37%, CPU usage: 139.71%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_60.py: Kernel usage: 6.69%, CPU usage: 214.16%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_62.py: Kernel usage: 5.96%, CPU usage: 190.67%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_63.py: Kernel usage: 8.13%, CPU usage: 260.07%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_64.py: Kernel usage: 7.97%, CPU usage: 254.91%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_65.py: Kernel usage: 5.73%, CPU usage: 183.50%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_66.py: Kernel usage: 4.93%, CPU usage: 157.85%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_67.py: Kernel usage: 7.78%, CPU usage: 248.83%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_68.py: Kernel usage: 8.17%, CPU usage: 261.46%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_69.py: Kernel usage: 6.24%, CPU usage: 199.82%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_70.py: Kernel usage: 7.55%, CPU usage: 241.53%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_71.py: Kernel usage: 6.56%, CPU usage: 209.85%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_72.py: Kernel usage: 4.31%, CPU usage: 138.00%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_75.py: Kernel usage: 10.19%, CPU usage: 326.20%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_76.py: Kernel usage: 4.85%, CPU usage: 155.35%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_78.py: Kernel usage: 5.58%, CPU usage: 178.72%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_79.py: Kernel usage: 6.11%, CPU usage: 195.62%, CPU Runtime: 0.00s, Total Runtime: 0.00s
