HumanEval_0.py: Kernel usage: 3.38%, CPU usage: 108.24%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_3.py: Kernel usage: 7.04%, CPU usage: 225.33%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_4.py: Kernel usage: 10.59%, CPU usage: 338.89%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_4.py: Kernel usage: 7.12%, CPU usage: 227.77%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_9.py: Kernel usage: 6.99%, CPU usage: 223.61%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_9.py: Kernel usage: 5.03%, CPU usage: 160.96%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_11.py: Kernel usage: 6.17%, CPU usage: 197.38%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_12.py: Kernel usage: 7.15%, CPU usage: 228.82%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_16.py: Kernel usage: 6.44%, CPU usage: 206.05%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_16.py: Kernel usage: 11.81%, CPU usage: 378.00%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_19.py: Kernel usage: 4.50%, CPU usage: 144.04%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_20.py: Kernel usage: 6.85%, CPU usage: 219.14%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_24.py: Kernel usage: 6.19%, CPU usage: 198.23%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_26.py: Kernel usage: 7.09%, CPU usage: 226.84%, CPU Runtime: 0.02s, Total Runtime: 0.01s
HumanEval_31.py: Kernel usage: 6.18%, CPU usage: 197.90%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_33.py: Kernel usage: 8.63%, CPU usage: 276.27%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_34.py: Kernel usage: 6.21%, CPU usage: 198.74%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_36.py: Kernel usage: 6.78%, CPU usage: 217.08%, CPU Runtime: 0.05s, Total Runtime: 0.02s
HumanEval_37.py: Kernel usage: 8.64%, CPU usage: 276.49%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_49.py: Kernel usage: 5.44%, CPU usage: 173.97%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_51.py: Kernel usage: 9.35%, CPU usage: 299.23%, CPU Runtime: 0.00s, Total Runtime: 0.00s
