8389100.00 Byte, 128.00 Byte
84.00 Byte, 0.00 Byte
86864.00 Byte, 0.00 Byte
524336.00 Byte, 0.00 Byte
801608.00 Byte, 0.00 Byte
8241.00 Byte, 0.00 Byte
4194407.00 Byte, 0.00 Byte
8530036.00 Byte, 6720.00 Byte
1051449.00 Byte, 0.00 Byte
16232.00 Byte, 0.00 Byte
565512.00 Byte, 0.00 Byte
262296.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
2425080.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
1484888.00 Byte, 0.00 Byte
7340296.00 Byte, 56.00 Byte
192.00 Byte, 0.00 Byte
524288.00 Byte, 0.00 Byte
320.00 Byte, 0.00 Byte
128.00 Byte, 0.00 Byte
3224.00 Byte, 0.00 Byte
3801568.00 Byte, 56.00 Byte
296.00 Byte, 0.00 Byte
8388760.00 Byte, 0.00 Byte
4194457.00 Byte, 0.00 Byte
16842857.00 Byte, 0.00 Byte
8316.00 Byte, 0.00 Byte
14895520.00 Byte, 0.00 Byte
108128439.00 Byte, 4424.00 Byte
4286368.00 Byte, 4480.00 Byte
3145920.00 Byte, 64.00 Byte
4195540.00 Byte, 0.00 Byte
1048728.00 Byte, 0.00 Byte
65688.00 Byte, 0.00 Byte
262192.00 Byte, 0.00 Byte
944.00 Byte, 0.00 Byte
280880.00 Byte, 2864.00 Byte
2097232.00 Byte, 0.00 Byte
852040.00 Byte, 0.00 Byte
8532824.00 Byte, 4480.00 Byte
545344.00 Byte, 0.00 Byte
8389081.00 Byte, 0.00 Byte
11336.00 Byte, 0.00 Byte
3708352.00 Byte, 0.00 Byte
117980.00 Byte, 0.00 Byte
138.00 Byte, 0.00 Byte
8450716.00 Byte, 4480.00 Byte
1147128.00 Byte, 0.00 Byte
33554516.00 Byte, 0.00 Byte
4308288.00 Byte, 4480.00 Byte
4168.00 Byte, 0.00 Byte
3646752.00 Byte, 0.00 Byte
16524.00 Byte, 0.00 Byte
14483640.00 Byte, 0.00 Byte
4194353.00 Byte, 0.00 Byte
1048624.00 Byte, 0.00 Byte
93236.00 Byte, 728.00 Byte
1572864.00 Byte, 0.00 Byte
2097152.00 Byte, 0.00 Byte
655376.00 Byte, 0.00 Byte
2550020.00 Byte, 4424.00 Byte
303368.00 Byte, 0.00 Byte
262480.00 Byte, 0.00 Byte
4370904.00 Byte, 0.00 Byte
19189.00 Byte, 353.00 Byte
3884.00 Byte, 0.00 Byte
0.00 Byte, 0.00 Byte
524664.00 Byte, 0.00 Byte
6261264.00 Byte, 0.00 Byte
33184.00 Byte, 0.00 Byte
4385504.00 Byte, 4480.00 Byte
65716.00 Byte, 0.00 Byte
8388656.00 Byte, 0.00 Byte
4194353.00 Byte, 0.00 Byte
1266.00 Byte, 0.00 Byte
67712.00 Byte, 0.00 Byte
0.00 Byte, 0.00 Byte
34073779.00 Byte, 480.00 Byte
4179368.00 Byte, 4480.00 Byte
524337.00 Byte, 0.00 Byte
8388656.00 Byte, 0.00 Byte
4194353.00 Byte, 0.00 Byte
204.00 Byte, 0.00 Byte
573728.00 Byte, 0.00 Byte
3670016.00 Byte, 0.00 Byte
458544.00 Byte, 0.00 Byte
2097192.00 Byte, 0.00 Byte
8388656.00 Byte, 0.00 Byte
449296.00 Byte, 0.00 Byte
29360192.00 Byte, 0.00 Byte
39300416.00 Byte, 0.00 Byte
8388636.00 Byte, 0.00 Byte
8450480.00 Byte, 4480.00 Byte
1048625.00 Byte, 0.00 Byte
524372.00 Byte, 0.00 Byte
8456.00 Byte, 0.00 Byte
5565328.00 Byte, 0.00 Byte
7864952.00 Byte, 0.00 Byte
41383606.00 Byte, 0.00 Byte
524449.00 Byte, 0.00 Byte
1409384.00 Byte, 64.00 Byte
0.00 Byte, 0.00 Byte
8388608.00 Byte, 0.00 Byte
16735360.00 Byte, 0.00 Byte
923216.00 Byte, 0.00 Byte
7340296.00 Byte, 56.00 Byte
6688184.00 Byte, 0.00 Byte
8548968.00 Byte, 4544.00 Byte
262200.00 Byte, 0.00 Byte
158.00 Byte, 0.00 Byte
92223008.00 Byte, 111944.00 Byte
50331696.00 Byte, 0.00 Byte
7340296.00 Byte, 56.00 Byte
3208.00 Byte, 0.00 Byte
0.00 Byte, 0.00 Byte
8500256.00 Byte, 4480.00 Byte
0.00 Byte, 0.00 Byte
