HumanEval_0.py: 8389100.00 Byte, 128.00 Byte
Mbpp_3.py: 84.00 Byte, 0.00 Byte
Mbpp_4.py: 86864.00 Byte, 0.00 Byte
HumanEval_4.py: 524336.00 Byte, 0.00 Byte
HumanEval_9.py: 801608.00 Byte, 0.00 Byte
Mbpp_9.py: 8241.00 Byte, 0.00 Byte
Mbpp_11.py: 4194407.00 Byte, 0.00 Byte
Mbpp_12.py: 8530036.00 Byte, 6720.00 Byte
HumanEval_16.py: 1051449.00 Byte, 0.00 Byte
Mbpp_16.py: 16232.00 Byte, 0.00 Byte
Mbpp_19.py: 565512.00 Byte, 0.00 Byte
HumanEval_20.py: 262296.00 Byte, 0.00 Byte
HumanEval_24.py: 152.00 Byte, 0.00 Byte
HumanEval_26.py: 2425080.00 Byte, 0.00 Byte
HumanEval_31.py: 152.00 Byte, 0.00 Byte
HumanEval_33.py: 1484888.00 Byte, 0.00 Byte
HumanEval_34.py: 7340296.00 Byte, 56.00 Byte
HumanEval_36.py: 192.00 Byte, 0.00 Byte
HumanEval_37.py: 524288.00 Byte, 0.00 Byte
HumanEval_49.py: 320.00 Byte, 0.00 Byte
HumanEval_51.py: 128.00 Byte, 0.00 Byte
HumanEval_54.py: 3224.00 Byte, 0.00 Byte
HumanEval_58.py: 3801568.00 Byte, 56.00 Byte
HumanEval_59.py: 296.00 Byte, 0.00 Byte
Mbpp_62.py: 8388760.00 Byte, 0.00 Byte
HumanEval_64.py: 4194457.00 Byte, 0.00 Byte
HumanEval_74.py: 16842857.00 Byte, 0.00 Byte
Mbpp_75.py: 8316.00 Byte, 0.00 Byte
HumanEval_85.py: 14895520.00 Byte, 0.00 Byte
HumanEval_86.py: 108128439.00 Byte, 4424.00 Byte
HumanEval_87.py: 4286368.00 Byte, 4480.00 Byte
Mbpp_88.py: 3145920.00 Byte, 64.00 Byte
HumanEval_89.py: 4195540.00 Byte, 0.00 Byte
HumanEval_90.py: 1048728.00 Byte, 0.00 Byte
Mbpp_90.py: 65688.00 Byte, 0.00 Byte
Mbpp_94.py: 262192.00 Byte, 0.00 Byte
Mbpp_96.py: 944.00 Byte, 0.00 Byte
Mbpp_97.py: 280880.00 Byte, 2864.00 Byte
Mbpp_106.py: 2097232.00 Byte, 0.00 Byte
Mbpp_108.py: 852040.00 Byte, 0.00 Byte
Mbpp_111.py: 8532824.00 Byte, 4480.00 Byte
HumanEval_113.py: 545344.00 Byte, 0.00 Byte
HumanEval_119.py: 8389081.00 Byte, 0.00 Byte
HumanEval_120.py: 11336.00 Byte, 0.00 Byte
HumanEval_121.py: 3708352.00 Byte, 0.00 Byte
Mbpp_123.py: 117980.00 Byte, 0.00 Byte
Mbpp_128.py: 138.00 Byte, 0.00 Byte
Mbpp_129.py: 8450716.00 Byte, 4480.00 Byte
Mbpp_130.py: 1147128.00 Byte, 0.00 Byte
Mbpp_137.py: 33554516.00 Byte, 0.00 Byte
Mbpp_140.py: 4308288.00 Byte, 4480.00 Byte
Mbpp_141.py: 4168.00 Byte, 0.00 Byte
HumanEval_149.py: 3646752.00 Byte, 0.00 Byte
Mbpp_166.py: 16524.00 Byte, 0.00 Byte
Mbpp_170.py: 14483640.00 Byte, 0.00 Byte
Mbpp_226.py: 4194353.00 Byte, 0.00 Byte
Mbpp_230.py: 1048624.00 Byte, 0.00 Byte
Mbpp_239.py: 93236.00 Byte, 728.00 Byte
Mbpp_240.py: 1572864.00 Byte, 0.00 Byte
Mbpp_251.py: 2097152.00 Byte, 0.00 Byte
Mbpp_256.py: 655376.00 Byte, 0.00 Byte
Mbpp_265.py: 2550020.00 Byte, 4424.00 Byte
Mbpp_281.py: 303368.00 Byte, 0.00 Byte
Mbpp_296.py: 262480.00 Byte, 0.00 Byte
