HumanEval_0.py: Kernel usage: 3.18%, CPU usage: 101.66%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_3.py: Kernel usage: 6.23%, CPU usage: 199.47%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_4.py: Kernel usage: 15.62%, CPU usage: 499.70%, CPU Runtime: 32.96s, Total Runtime: 6.60s
HumanEval_9.py: Kernel usage: 7.52%, CPU usage: 240.69%, CPU Runtime: 0.01s, Total Runtime: 0.01s
Mbpp_12.py: Kernel usage: 9.23%, CPU usage: 295.22%, CPU Runtime: 4.55s, Total Runtime: 1.54s
HumanEval_16.py: Kernel usage: 6.40%, CPU usage: 204.84%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_19.py: Kernel usage: 5.21%, CPU usage: 166.79%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_20.py: Kernel usage: 6.90%, CPU usage: 220.82%, CPU Runtime: 63.37s, Total Runtime: 28.70s
HumanEval_31.py: Kernel usage: 6.25%, CPU usage: 200.00%, CPU Runtime: 2.00s, Total Runtime: 1.00s
HumanEval_33.py: Kernel usage: 8.67%, CPU usage: 277.42%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_34.py: Kernel usage: 6.29%, CPU usage: 201.13%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_37.py: Kernel usage: 7.78%, CPU usage: 249.06%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_49.py: Kernel usage: 6.25%, CPU usage: 199.88%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_51.py: Kernel usage: 10.32%, CPU usage: 330.22%, CPU Runtime: 1.15s, Total Runtime: 0.35s
HumanEval_54.py: Kernel usage: 6.25%, CPU usage: 199.90%, CPU Runtime: 0.01s, Total Runtime: 0.01s
HumanEval_58.py: Kernel usage: 6.25%, CPU usage: 200.00%, CPU Runtime: 117.25s, Total Runtime: 58.62s
HumanEval_59.py: Kernel usage: 4.82%, CPU usage: 154.33%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_62.py: Kernel usage: 6.37%, CPU usage: 203.73%, CPU Runtime: 0.02s, Total Runtime: 0.01s
HumanEval_64.py: Kernel usage: 11.02%, CPU usage: 352.71%, CPU Runtime: 0.97s, Total Runtime: 0.28s
HumanEval_74.py: Kernel usage: 7.03%, CPU usage: 225.08%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_75.py: Kernel usage: 8.02%, CPU usage: 256.78%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_85.py: Kernel usage: 8.93%, CPU usage: 285.64%, CPU Runtime: 0.06s, Total Runtime: 0.02s
HumanEval_86.py: Kernel usage: 12.07%, CPU usage: 386.23%, CPU Runtime: 1.58s, Total Runtime: 0.41s
HumanEval_87.py: Kernel usage: 8.86%, CPU usage: 283.37%, CPU Runtime: 0.04s, Total Runtime: 0.01s
Mbpp_88.py: Kernel usage: 6.13%, CPU usage: 196.05%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_89.py: Kernel usage: 7.22%, CPU usage: 231.10%, CPU Runtime: 1.69s, Total Runtime: 0.73s
HumanEval_90.py: Kernel usage: 6.56%, CPU usage: 209.84%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_90.py: Kernel usage: 7.13%, CPU usage: 228.15%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_94.py: Kernel usage: 10.36%, CPU usage: 331.39%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_96.py: Kernel usage: 9.37%, CPU usage: 299.98%, CPU Runtime: 0.13s, Total Runtime: 0.04s
Mbpp_97.py: Kernel usage: 7.01%, CPU usage: 224.37%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_106.py: Kernel usage: 5.25%, CPU usage: 168.08%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_113.py: Kernel usage: 11.55%, CPU usage: 369.52%, CPU Runtime: 6.77s, Total Runtime: 1.83s
HumanEval_121.py: Kernel usage: 9.21%, CPU usage: 294.67%, CPU Runtime: 0.03s, Total Runtime: 0.01s
Mbpp_123.py: Kernel usage: 9.35%, CPU usage: 299.24%, CPU Runtime: 0.97s, Total Runtime: 0.33s
Mbpp_128.py: Kernel usage: 7.73%, CPU usage: 247.25%, CPU Runtime: 0.18s, Total Runtime: 0.07s
Mbpp_129.py: Kernel usage: 10.70%, CPU usage: 342.28%, CPU Runtime: 0.31s, Total Runtime: 0.09s
Mbpp_130.py: Kernel usage: 8.41%, CPU usage: 268.97%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_137.py: Kernel usage: 6.04%, CPU usage: 193.21%, CPU Runtime: 0.17s, Total Runtime: 0.09s
Mbpp_140.py: Kernel usage: 4.52%, CPU usage: 144.53%, CPU Runtime: 0.02s, Total Runtime: 0.02s
Mbpp_141.py: Kernel usage: 7.26%, CPU usage: 232.47%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_149.py: Kernel usage: 8.33%, CPU usage: 266.55%, CPU Runtime: 0.09s, Total Runtime: 0.04s
Mbpp_166.py: Kernel usage: 6.25%, CPU usage: 200.05%, CPU Runtime: 0.20s, Total Runtime: 0.10s
Mbpp_170.py: Kernel usage: 5.66%, CPU usage: 181.21%, CPU Runtime: 0.02s, Total Runtime: 0.01s
Mbpp_226.py: Kernel usage: 9.35%, CPU usage: 299.09%, CPU Runtime: 0.70s, Total Runtime: 0.23s
Mbpp_230.py: Kernel usage: 6.25%, CPU usage: 199.98%, CPU Runtime: 0.08s, Total Runtime: 0.04s
Mbpp_240.py: Kernel usage: 3.87%, CPU usage: 123.88%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_256.py: Kernel usage: 6.25%, CPU usage: 200.00%, CPU Runtime: 4.15s, Total Runtime: 2.08s
Mbpp_265.py: Kernel usage: 8.63%, CPU usage: 276.19%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_281.py: Kernel usage: 5.99%, CPU usage: 191.77%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_308.py: Kernel usage: 8.11%, CPU usage: 259.63%, CPU Runtime: 0.10s, Total Runtime: 0.04s
Mbpp_392.py: Kernel usage: 6.85%, CPU usage: 219.22%, CPU Runtime: 0.45s, Total Runtime: 0.20s
Mbpp_395.py: Kernel usage: 6.25%, CPU usage: 199.88%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_405.py: Kernel usage: 6.24%, CPU usage: 199.55%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_414.py: Kernel usage: 5.77%, CPU usage: 184.58%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_421.py: Kernel usage: 9.08%, CPU usage: 290.55%, CPU Runtime: 0.11s, Total Runtime: 0.04s
Mbpp_424.py: Kernel usage: 9.06%, CPU usage: 289.83%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_425.py: Kernel usage: 4.43%, CPU usage: 141.66%, CPU Runtime: 0.00s, Total Runtime: 0.00s
