HumanEval_0.py: 0.010616s
Mbpp_3.py: 0.000418s
HumanEval_4.py: 10.559925s
HumanEval_9.py: 0.005791s
Mbpp_12.py: 1.538171s
HumanEval_16.py: 0.004684s
Mbpp_19.py: 0.001394s
HumanEval_20.py: 28.546124s
HumanEval_31.py: 0.981616s
HumanEval_33.py: 0.002493s
HumanEval_34.py: 0.005115s
HumanEval_37.py: 0.001491s
HumanEval_49.py: 0.001915s
HumanEval_51.py: 0.339541s
HumanEval_54.py: 0.008061s
HumanEval_58.py: 61.375911s
HumanEval_59.py: 0.000034s
Mbpp_62.py: 0.021973s
HumanEval_64.py: 0.271382s
HumanEval_74.py: 0.000973s
Mbpp_75.py: 0.000420s
HumanEval_85.py: 0.021903s
HumanEval_86.py: 0.403058s
HumanEval_87.py: 0.014893s
Mbpp_88.py: 0.003633s
HumanEval_89.py: 0.681088s
HumanEval_90.py: 0.003611s
Mbpp_90.py: 0.001320s
Mbpp_94.py: 0.002646s
Mbpp_96.py: 0.038517s
Mbpp_97.py: 0.002327s
Mbpp_106.py: 0.001198s
HumanEval_113.py: 1.789373s
HumanEval_121.py: 0.010349s
Mbpp_123.py: 0.333438s
Mbpp_128.py: 0.066823s
Mbpp_129.py: 0.207579s
Mbpp_130.py: 0.003434s
Mbpp_137.py: 0.091278s
Mbpp_140.py: 0.027758s
Mbpp_141.py: 0.000653s
HumanEval_149.py: 0.038684s
Mbpp_166.py: 0.099662s
Mbpp_170.py: 0.021316s
Mbpp_226.py: 0.243801s
Mbpp_230.py: 0.038394s
Mbpp_240.py: 0.000920s
Mbpp_256.py: 2.035226s
Mbpp_265.py: 0.042088s
Mbpp_281.py: 0.000729s
Mbpp_308.py: 0.039745s
Mbpp_392.py: 0.205255s
Mbpp_395.py: 0.002674s
Mbpp_405.py: 0.000950s
Mbpp_414.py: 0.000304s
Mbpp_421.py: 0.030293s
Mbpp_424.py: 0.000760s
Mbpp_425.py: 0.004890s
Mbpp_428.py: 0.005896s
Mbpp_433.py: 0.160277s
Mbpp_446.py: 0.001206s
Mbpp_451.py: 0.001301s
Mbpp_456.py: 0.013517s
Mbpp_460.py: 0.001826s
Mbpp_474.py: 0.029198s
Mbpp_476.py: 0.049448s
Mbpp_477.py: 0.000721s
Mbpp_572.py: 0.896870s
Mbpp_578.py: 0.017864s
Mbpp_586.py: 0.000402s
Mbpp_587.py: 0.001309s
Mbpp_588.py: 0.031610s
Mbpp_592.py: 0.418391s
Mbpp_604.py: 0.013959s
Mbpp_610.py: 0.031994s
Mbpp_611.py: 0.004094s
Mbpp_631.py: 0.000343s
Mbpp_632.py: 0.002180s
Mbpp_633.py: 0.022159s
Mbpp_644.py: 0.009612s
Mbpp_720.py: 0.011857s
Mbpp_732.py: 0.000180s
Mbpp_740.py: 0.004521s
Mbpp_744.py: 0.132440s
Mbpp_750.py: 0.008996s
Mbpp_754.py: 0.003329s
Mbpp_755.py: 0.035937s
Mbpp_757.py: 50.301805s
Mbpp_758.py: 0.006159s
Mbpp_760.py: 0.000232s
Mbpp_764.py: 0.556797s
Mbpp_766.py: 0.200298s
Mbpp_775.py: 0.006415s
Mbpp_777.py: 14.399251s
Mbpp_800.py: 0.001307s
Mbpp_805.py: 0.020554s
Mbpp_808.py: 0.001873s
