HumanEval_0.py: Kernel usage: 3.19%, CPU usage: 102.03%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_3.py: Kernel usage: 6.24%, CPU usage: 199.57%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_4.py: Kernel usage: 11.32%, CPU usage: 362.11%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_4.py: Kernel usage: 12.00%, CPU usage: 383.97%, CPU Runtime: 0.03s, Total Runtime: 0.01s
HumanEval_9.py: Kernel usage: 6.94%, CPU usage: 222.08%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_9.py: Kernel usage: 6.25%, CPU usage: 199.90%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_11.py: Kernel usage: 6.16%, CPU usage: 197.12%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_12.py: Kernel usage: 6.21%, CPU usage: 198.62%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_16.py: Kernel usage: 6.36%, CPU usage: 203.46%, CPU Runtime: 0.01s, Total Runtime: 0.01s
Mbpp_16.py: Kernel usage: 8.76%, CPU usage: 280.46%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_19.py: Kernel usage: 5.93%, CPU usage: 189.77%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_20.py: Kernel usage: 6.89%, CPU usage: 220.37%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_24.py: Kernel usage: 6.25%, CPU usage: 200.00%, CPU Runtime: 1.07s, Total Runtime: 0.53s
HumanEval_26.py: Kernel usage: 11.61%, CPU usage: 371.61%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_31.py: Kernel usage: 6.22%, CPU usage: 199.06%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_33.py: Kernel usage: 8.57%, CPU usage: 274.14%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_34.py: Kernel usage: 6.76%, CPU usage: 216.22%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_36.py: Kernel usage: 6.69%, CPU usage: 214.03%, CPU Runtime: 0.14s, Total Runtime: 0.07s
HumanEval_37.py: Kernel usage: 8.52%, CPU usage: 272.65%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_49.py: Kernel usage: 5.09%, CPU usage: 162.90%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_51.py: Kernel usage: 10.34%, CPU usage: 330.78%, CPU Runtime: 1.13s, Total Runtime: 0.34s
HumanEval_54.py: Kernel usage: 6.25%, CPU usage: 199.94%, CPU Runtime: 0.02s, Total Runtime: 0.01s
HumanEval_58.py: Kernel usage: 6.34%, CPU usage: 202.84%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_59.py: Kernel usage: 5.25%, CPU usage: 167.99%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_62.py: Kernel usage: 6.55%, CPU usage: 209.47%, CPU Runtime: 0.02s, Total Runtime: 0.01s
HumanEval_64.py: Kernel usage: 11.01%, CPU usage: 352.45%, CPU Runtime: 1.13s, Total Runtime: 0.32s
HumanEval_74.py: Kernel usage: 11.87%, CPU usage: 379.73%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_75.py: Kernel usage: 11.16%, CPU usage: 357.26%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_85.py: Kernel usage: 11.72%, CPU usage: 375.03%, CPU Runtime: 0.20s, Total Runtime: 0.05s
