HumanEval_0.py: 0.009562s
Mbpp_3.py: 0.000412s
Mbpp_4.py: 0.001002s
HumanEval_4.py: 0.009007s
HumanEval_9.py: 0.003226s
Mbpp_9.py: 0.001924s
Mbpp_11.py: 0.000132s
Mbpp_12.py: 0.005712s
HumanEval_16.py: 0.003665s
Mbpp_16.py: 0.000014s
Mbpp_19.py: 0.001568s
HumanEval_20.py: 0.001986s
HumanEval_24.py: 0.537216s
HumanEval_26.py: 0.004678s
HumanEval_31.py: 0.000167s
HumanEval_33.py: 0.005354s
HumanEval_34.py: 0.005223s
HumanEval_36.py: 0.068611s
HumanEval_37.py: 0.001796s
HumanEval_49.py: 0.000003s
HumanEval_51.py: 0.364259s
HumanEval_54.py: 0.006987s
HumanEval_58.py: 0.005015s
HumanEval_59.py: 0.000008s
Mbpp_62.py: 0.020378s
HumanEval_64.py: 0.326323s
HumanEval_74.py: 0.001438s
Mbpp_75.py: 0.000504s
HumanEval_85.py: 0.055049s
HumanEval_86.py: 0.500630s
HumanEval_87.py: 0.012424s
Mbpp_88.py: 0.007983s
HumanEval_89.py: 1.445077s
HumanEval_90.py: 0.003445s
Mbpp_90.py: 0.001720s
Mbpp_94.py: 0.002914s
Mbpp_96.py: 0.042616s
Mbpp_97.py: 0.001660s
Mbpp_106.py: 0.000845s
HumanEval_113.py: 1.507735s
HumanEval_119.py: 0.000781s
HumanEval_120.py: 0.000040s
HumanEval_121.py: 0.013953s
Mbpp_123.py: 0.243013s
Mbpp_128.py: 0.073706s
Mbpp_129.py: 0.017270s
Mbpp_130.py: 0.001473s
Mbpp_137.py: 0.027762s
Mbpp_141.py: 0.000615s
HumanEval_149.py: 0.078638s
Mbpp_166.py: 0.114872s
Mbpp_170.py: 0.019982s
Mbpp_226.py: 0.001282s
Mbpp_230.py: 0.000330s
Mbpp_239.py: 0.050872s
Mbpp_240.py: 0.001549s
Mbpp_251.py: 0.010578s
Mbpp_256.py: 0.001523s
Mbpp_265.py: 0.039014s
Mbpp_281.py: 0.000754s
Mbpp_296.py: 4.786828s
Mbpp_392.py: 0.000175s
Mbpp_395.py: 0.003437s
Mbpp_405.py: 0.000205s
Mbpp_414.py: 0.000487s
Mbpp_421.py: 0.048627s
Mbpp_424.py: 0.000199s
Mbpp_425.py: 0.003040s
Mbpp_428.py: 0.005751s
Mbpp_433.py: 0.015435s
Mbpp_437.py: 0.001278s
Mbpp_440.py: 0.000022s
Mbpp_446.py: 0.365769s
Mbpp_451.py: 0.005793s
Mbpp_456.py: 0.013540s
Mbpp_460.py: 0.006836s
Mbpp_474.py: 0.000193s
Mbpp_476.py: 0.023101s
Mbpp_477.py: 0.000756s
Mbpp_563.py: 0.006911s
Mbpp_572.py: 0.001038s
Mbpp_578.py: 0.005828s
Mbpp_586.py: 0.000407s
Mbpp_587.py: 0.001353s
Mbpp_588.py: 0.030777s
Mbpp_597.py: 0.025110s
Mbpp_604.py: 0.015563s
Mbpp_611.py: 0.004015s
Mbpp_631.py: 0.001376s
Mbpp_632.py: 0.002705s
Mbpp_633.py: 0.023538s
Mbpp_644.py: 0.008879s
Mbpp_720.py: 0.010465s
Mbpp_725.py: 0.026526s
Mbpp_740.py: 0.001969s
Mbpp_744.py: 0.008256s
Mbpp_750.py: 0.014970s
Mbpp_753.py: 0.081965s
Mbpp_755.py: 0.006035s
Mbpp_757.py: 0.004443s
Mbpp_758.py: 0.004488s
Mbpp_760.py: 0.000132s
Mbpp_764.py: 0.581738s
Mbpp_766.py: 0.128421s
Mbpp_775.py: 0.195098s
Mbpp_781.py: 5.626433s
Mbpp_800.py: 0.001243s
Mbpp_805.py: 0.005751s
Mbpp_808.py: 0.001634s
