8388808.00 Byte, 0.00 Byte
124.00 Byte, 0.00 Byte
76892.00 Byte, 0.00 Byte
524624.00 Byte, 0.00 Byte
539520.00 Byte, 0.00 Byte
8450612.00 Byte, 3920.00 Byte
1051449.00 Byte, 0.00 Byte
524488.00 Byte, 0.00 Byte
131456.00 Byte, 0.00 Byte
196.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
7340296.00 Byte, 56.00 Byte
402124.00 Byte, 0.00 Byte
160.00 Byte, 0.00 Byte
330.00 Byte, 0.00 Byte
48.00 Byte, 0.00 Byte
1757224.00 Byte, 56.00 Byte
8388760.00 Byte, 0.00 Byte
65696.00 Byte, 0.00 Byte
8576.00 Byte, 0.00 Byte
8388760.00 Byte, 0.00 Byte
27081026.00 Byte, 168.00 Byte
4284364.00 Byte, 4480.00 Byte
2424936.00 Byte, 0.00 Byte
4194401.00 Byte, 0.00 Byte
7340296.00 Byte, 0.00 Byte
65640.00 Byte, 0.00 Byte
262340.00 Byte, 0.00 Byte
278360.00 Byte, 2800.00 Byte
2097232.00 Byte, 0.00 Byte
481152.00 Byte, 0.00 Byte
545247.00 Byte, 0.00 Byte
7268.00 Byte, 0.00 Byte
2097304.00 Byte, 0.00 Byte
2628.00 Byte, 0.00 Byte
68021038.00 Byte, 0.00 Byte
8690160.00 Byte, 4480.00 Byte
262192.00 Byte, 0.00 Byte
33554564.00 Byte, 0.00 Byte
4275968.00 Byte, 4480.00 Byte
8192.00 Byte, 0.00 Byte
3124544.00 Byte, 0.00 Byte
16696.00 Byte, 0.00 Byte
8388760.00 Byte, 0.00 Byte
4194457.00 Byte, 0.00 Byte
1048672.00 Byte, 0.00 Byte
95364.00 Byte, 1736.00 Byte
1572864.00 Byte, 0.00 Byte
1665080.00 Byte, 0.00 Byte
256.00 Byte, 0.00 Byte
2550020.00 Byte, 4424.00 Byte
2883876.00 Byte, 0.00 Byte
131384.00 Byte, 0.00 Byte
10671520.00 Byte, 0.00 Byte
18677448.00 Byte, 0.00 Byte
256.00 Byte, 0.00 Byte
0.00 Byte, 0.00 Byte
524384.00 Byte, 0.00 Byte
33524185.00 Byte, 0.00 Byte
33256.00 Byte, 0.00 Byte
4376520.00 Byte, 4480.00 Byte
65744.00 Byte, 0.00 Byte
8388656.00 Byte, 0.00 Byte
4194456.00 Byte, 0.00 Byte
65640.00 Byte, 0.00 Byte
1146.00 Byte, 0.00 Byte
34073207.00 Byte, 0.00 Byte
4179368.00 Byte, 4480.00 Byte
524385.00 Byte, 0.00 Byte
8388656.00 Byte, 0.00 Byte
4194353.00 Byte, 0.00 Byte
184144.00 Byte, 0.00 Byte
3196968.00 Byte, 0.00 Byte
786432.00 Byte, 0.00 Byte
2097192.00 Byte, 0.00 Byte
8388704.00 Byte, 0.00 Byte
36282280.00 Byte, 0.00 Byte
36678928.00 Byte, 0.00 Byte
8388636.00 Byte, 0.00 Byte
8450376.00 Byte, 4480.00 Byte
1048625.00 Byte, 0.00 Byte
1167168.00 Byte, 0.00 Byte
8476.00 Byte, 0.00 Byte
5565328.00 Byte, 0.00 Byte
7864952.00 Byte, 0.00 Byte
33413616.00 Byte, 0.00 Byte
885076.00 Byte, 64.00 Byte
240.00 Byte, 0.00 Byte
8503440.00 Byte, 0.00 Byte
16735448.00 Byte, 0.00 Byte
923112.00 Byte, 0.00 Byte
7340296.00 Byte, 56.00 Byte
61753.00 Byte, 56.00 Byte
8593304.00 Byte, 4480.00 Byte
524328.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
75445556.00 Byte, 112000.00 Byte
33554584.00 Byte, 0.00 Byte
7340332.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
0.00 Byte, 0.00 Byte
8450508.00 Byte, 4480.00 Byte
48.00 Byte, 0.00 Byte
