Mbpp_3.py: Kernel usage: 6.25%, CPU usage: 200.00%, CPU Runtime: 15.93s, Total Runtime: 7.97s
Mbpp_4.py: Kernel usage: 9.36%, CPU usage: 299.51%, CPU Runtime: 0.25s, Total Runtime: 0.08s
HumanEval_9.py: Kernel usage: 7.52%, CPU usage: 240.56%, CPU Runtime: 0.01s, Total Runtime: 0.01s
Mbpp_9.py: Kernel usage: 6.24%, CPU usage: 199.72%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_12.py: Kernel usage: 5.79%, CPU usage: 185.42%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_16.py: Kernel usage: 6.37%, CPU usage: 203.77%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_19.py: Kernel usage: 5.49%, CPU usage: 175.76%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_24.py: Kernel usage: 6.25%, CPU usage: 200.00%, CPU Runtime: 2.43s, Total Runtime: 1.22s
HumanEval_26.py: Kernel usage: 12.50%, CPU usage: 399.95%, CPU Runtime: 59.20s, Total Runtime: 14.80s
HumanEval_31.py: Kernel usage: 6.25%, CPU usage: 200.00%, CPU Runtime: 2.15s, Total Runtime: 1.07s
HumanEval_33.py: Kernel usage: 8.67%, CPU usage: 277.48%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_34.py: Kernel usage: 6.30%, CPU usage: 201.56%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_51.py: Kernel usage: 7.18%, CPU usage: 229.63%, CPU Runtime: 0.79s, Total Runtime: 0.34s
HumanEval_58.py: Kernel usage: 6.36%, CPU usage: 203.39%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_62.py: Kernel usage: 5.61%, CPU usage: 179.40%, CPU Runtime: 0.03s, Total Runtime: 0.02s
HumanEval_64.py: Kernel usage: 11.03%, CPU usage: 352.98%, CPU Runtime: 0.97s, Total Runtime: 0.28s
Mbpp_75.py: Kernel usage: 11.09%, CPU usage: 354.84%, CPU Runtime: 0.00s, Total Runtime: 0.00s
HumanEval_85.py: Kernel usage: 8.99%, CPU usage: 287.72%, CPU Runtime: 0.06s, Total Runtime: 0.02s
Mbpp_88.py: Kernel usage: 6.12%, CPU usage: 195.87%, CPU Runtime: 0.01s, Total Runtime: 0.00s
HumanEval_89.py: Kernel usage: 7.22%, CPU usage: 230.95%, CPU Runtime: 1.59s, Total Runtime: 0.69s
Mbpp_90.py: Kernel usage: 7.12%, CPU usage: 227.77%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_94.py: Kernel usage: 10.38%, CPU usage: 332.10%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_96.py: Kernel usage: 6.25%, CPU usage: 200.00%, CPU Runtime: 0.10s, Total Runtime: 0.05s
Mbpp_97.py: Kernel usage: 7.03%, CPU usage: 224.84%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_106.py: Kernel usage: 5.25%, CPU usage: 168.00%, CPU Runtime: 0.00s, Total Runtime: 0.00s
