120.00 Byte, 0.00 Byte
76888.00 Byte, 0.00 Byte
539472.00 Byte, 0.00 Byte
33023.00 Byte, 0.00 Byte
8503704.00 Byte, 3864.00 Byte
1051441.00 Byte, 0.00 Byte
3145992.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
718960.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
1048632.00 Byte, 56.00 Byte
7340296.00 Byte, 56.00 Byte
138.00 Byte, 0.00 Byte
5898888.00 Byte, 0.00 Byte
8388656.00 Byte, 0.00 Byte
456.00 Byte, 0.00 Byte
8728.00 Byte, 0.00 Byte
10701128.00 Byte, 0.00 Byte
2424920.00 Byte, 0.00 Byte
4194393.00 Byte, 0.00 Byte
65640.00 Byte, 0.00 Byte
262352.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
271568.00 Byte, 2688.00 Byte
2621536.00 Byte, 56.00 Byte
304448.00 Byte, 0.00 Byte
512707.00 Byte, 0.00 Byte
2659760.00 Byte, 0.00 Byte
2404.00 Byte, 0.00 Byte
63151414.00 Byte, 0.00 Byte
1146968.00 Byte, 0.00 Byte
33554572.00 Byte, 0.00 Byte
4310808.00 Byte, 4480.00 Byte
6144.00 Byte, 0.00 Byte
3125456.00 Byte, 0.00 Byte
16700.00 Byte, 0.00 Byte
8388760.00 Byte, 0.00 Byte
4194449.00 Byte, 0.00 Byte
1048616.00 Byte, 0.00 Byte
96952.00 Byte, 1736.00 Byte
1572864.00 Byte, 0.00 Byte
1664848.00 Byte, 0.00 Byte
256.00 Byte, 0.00 Byte
2549792.00 Byte, 4424.00 Byte
262364.00 Byte, 0.00 Byte
131388.00 Byte, 0.00 Byte
13811864.00 Byte, 0.00 Byte
20750296.00 Byte, 56.00 Byte
3680.00 Byte, 0.00 Byte
0.00 Byte, 0.00 Byte
29329833.00 Byte, 0.00 Byte
33100.00 Byte, 0.00 Byte
4376516.00 Byte, 4480.00 Byte
12582912.00 Byte, 0.00 Byte
4194448.00 Byte, 0.00 Byte
65648.00 Byte, 0.00 Byte
0.00 Byte, 0.00 Byte
34007671.00 Byte, 0.00 Byte
4179224.00 Byte, 4480.00 Byte
524377.00 Byte, 0.00 Byte
4194345.00 Byte, 0.00 Byte
64.00 Byte, 0.00 Byte
184144.00 Byte, 0.00 Byte
3196968.00 Byte, 0.00 Byte
786432.00 Byte, 0.00 Byte
2097192.00 Byte, 0.00 Byte
832932.00 Byte, 0.00 Byte
30911752.00 Byte, 0.00 Byte
25165808.00 Byte, 0.00 Byte
8459232.00 Byte, 4480.00 Byte
1167168.00 Byte, 0.00 Byte
8480.00 Byte, 0.00 Byte
12582912.00 Byte, 0.00 Byte
6073160.00 Byte, 56.00 Byte
29219372.00 Byte, 0.00 Byte
885336.00 Byte, 64.00 Byte
256.00 Byte, 0.00 Byte
4718624.00 Byte, 0.00 Byte
16735464.00 Byte, 0.00 Byte
923112.00 Byte, 0.00 Byte
61825.00 Byte, 112.00 Byte
8593296.00 Byte, 4480.00 Byte
262292.00 Byte, 0.00 Byte
112.00 Byte, 0.00 Byte
75445552.00 Byte, 112000.00 Byte
145223784.00 Byte, 0.00 Byte
1048696.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
8450508.00 Byte, 4480.00 Byte
48.00 Byte, 0.00 Byte
