HumanEval_0.py: 0.000437s
HumanEval_1.py: 0.000411s
HumanEval_2.py: 0.000018s
HumanEval_3.py: 0.000045s
HumanEval_4.py: 0.000146s
HumanEval_5.py: 0.000052s
HumanEval_6.py: 0.000245s
HumanEval_7.py: 0.000049s
HumanEval_8.py: 0.000031s
HumanEval_9.py: 0.000102s
HumanEval_10.py: 0.000074s
HumanEval_11.py: 0.000114s
HumanEval_12.py: 0.000086s
HumanEval_13.py: 0.000019s
HumanEval_14.py: 0.000064s
HumanEval_15.py: 0.000071s
HumanEval_16.py: 0.000062s
HumanEval_17.py: 0.000103s
HumanEval_18.py: 0.000108s
HumanEval_19.py: 0.000230s
HumanEval_20.py: 0.000616s
HumanEval_21.py: 0.000129s
HumanEval_22.py: 0.000062s
HumanEval_23.py: 0.000017s
HumanEval_24.py: 0.000097s
HumanEval_25.py: 0.000535s
HumanEval_26.py: 0.000156s
HumanEval_27.py: 0.000025s
HumanEval_28.py: 0.000021s
HumanEval_29.py: 0.000042s
HumanEval_30.py: 0.000045s
HumanEval_31.py: 0.009732s
HumanEval_32.py: 0.285474s
HumanEval_33.py: 0.000131s
HumanEval_34.py: 0.000019s
HumanEval_35.py: 0.000017s
HumanEval_36.py: 0.246602s
HumanEval_37.py: 0.000135s
HumanEval_38.py: 0.062957s
HumanEval_39.py: 0.024538s
HumanEval_40.py: 0.000397s
HumanEval_41.py: 0.000031s
HumanEval_42.py: 0.000033s
HumanEval_43.py: 0.000238s
HumanEval_44.py: 0.000133s
HumanEval_45.py: 0.000012s
HumanEval_46.py: 0.000184s
HumanEval_47.py: 0.000083s
HumanEval_48.py: 0.000103s
HumanEval_49.py: 0.000870s
HumanEval_50.py: 0.070563s
HumanEval_51.py: 0.000228s
HumanEval_52.py: 0.000032s
HumanEval_53.py: 0.005839s
HumanEval_54.py: 0.000060s
HumanEval_55.py: 0.002859s
HumanEval_56.py: 0.000149s
HumanEval_57.py: 0.000090s
HumanEval_58.py: 0.000128s
HumanEval_59.py: 0.010355s
HumanEval_60.py: 0.000049s
HumanEval_61.py: 0.000146s
HumanEval_62.py: 0.000069s
HumanEval_63.py: 0.014766s
HumanEval_64.py: 0.000159s
HumanEval_65.py: 0.000062s
HumanEval_66.py: 0.000402s
HumanEval_67.py: 0.000277s
HumanEval_68.py: 0.000279s
HumanEval_69.py: 0.000874s
HumanEval_70.py: 0.000559s
HumanEval_71.py: 0.000096s
HumanEval_72.py: 0.000066s
HumanEval_73.py: 0.000116s
HumanEval_74.py: 0.000136s
HumanEval_75.py: 3.647405s
HumanEval_76.py: 0.000056s
HumanEval_77.py: 0.000122s
HumanEval_78.py: 0.000168s
HumanEval_79.py: 0.000033s
HumanEval_80.py: 0.000115s
HumanEval_81.py: 0.000127s
HumanEval_82.py: 0.000134s
HumanEval_83.py: 0.000032s
HumanEval_84.py: 0.000148s
HumanEval_85.py: 0.000085s
HumanEval_86.py: 0.000310s
HumanEval_87.py: 0.000528s
HumanEval_88.py: 0.000096s
HumanEval_89.py: 0.000464s
HumanEval_90.py: 0.000098s
HumanEval_91.py: 0.000255s
HumanEval_92.py: 0.000087s
HumanEval_93.py: 0.000685s
HumanEval_94.py: 0.001077s
HumanEval_95.py: 0.000228s
HumanEval_96.py: 0.001639s
HumanEval_97.py: 0.000058s
HumanEval_98.py: 0.000065s
HumanEval_99.py: 0.000155s
HumanEval_100.py: 0.000070s
HumanEval_101.py: 0.000403s
HumanEval_102.py: 0.000030s
HumanEval_103.py: 0.001035s
HumanEval_104.py: 0.000367s
HumanEval_105.py: 0.000136s
HumanEval_106.py: 0.000109s
HumanEval_107.py: 0.001792s
HumanEval_108.py: 0.000805s
HumanEval_109.py: 0.000147s
HumanEval_110.py: 0.000085s
HumanEval_111.py: 0.000311s
HumanEval_112.py: 0.000170s
HumanEval_113.py: 0.000247s
HumanEval_114.py: 0.000355s
HumanEval_115.py: 0.000174s
HumanEval_116.py: 0.000549s
HumanEval_117.py: 0.000565s
HumanEval_118.py: 0.000176s
HumanEval_119.py: 0.000160s
HumanEval_120.py: 0.000104s
HumanEval_121.py: 0.000122s
HumanEval_122.py: 0.000149s
HumanEval_123.py: 0.000174s
HumanEval_124.py: 0.000282s
HumanEval_125.py: 0.000195s
HumanEval_126.py: 0.000843s
HumanEval_127.py: 0.000130s
HumanEval_128.py: 0.000335s
HumanEval_129.py: 0.000764s
HumanEval_130.py: 0.000303s
HumanEval_131.py: 0.000100s
HumanEval_132.py: 0.000565s
HumanEval_133.py: 0.000299s
HumanEval_134.py: 0.000133s
HumanEval_135.py: 0.000094s
HumanEval_136.py: 0.000533s
HumanEval_137.py: 0.000130s
HumanEval_138.py: 0.000026s
HumanEval_139.py: 0.000038s
HumanEval_140.py: 0.000425s
HumanEval_141.py: 0.000696s
HumanEval_142.py: 0.000618s
HumanEval_143.py: 0.000454s
HumanEval_144.py: 0.000221s
HumanEval_145.py: 0.000823s
HumanEval_146.py: 0.000120s
HumanEval_147.py: 0.351975s
HumanEval_148.py: 0.000080s
HumanEval_149.py: 0.000242s
HumanEval_150.py: 0.006312s
HumanEval_151.py: 0.000763s
HumanEval_152.py: 0.000105s
HumanEval_153.py: 0.002626s
HumanEval_154.py: 0.000210s
HumanEval_155.py: 0.000125s
HumanEval_156.py: 0.000393s
HumanEval_157.py: 0.000067s
HumanEval_158.py: 0.000357s
HumanEval_159.py: 0.000027s
HumanEval_160.py: 0.000296s
HumanEval_161.py: 0.000290s
HumanEval_162.py: 0.000084s
HumanEval_163.py: 0.000127s
