HumanEval_0.py: 320.00 Byte, 0.00 Byte
HumanEval_1.py: 476.00 Byte, 0.00 Byte
HumanEval_2.py: 96.00 Byte, 0.00 Byte
HumanEval_3.py: 160.00 Byte, 0.00 Byte
HumanEval_4.py: 432.00 Byte, 0.00 Byte
HumanEval_5.py: 216.00 Byte, 0.00 Byte
HumanEval_7.py: 360.00 Byte, 0.00 Byte
HumanEval_8.py: 128.00 Byte, 0.00 Byte
HumanEval_9.py: 224.00 Byte, 0.00 Byte
HumanEval_10.py: 159.00 Byte, 0.00 Byte
HumanEval_11.py: 704.00 Byte, 0.00 Byte
HumanEval_12.py: 392.00 Byte, 0.00 Byte
HumanEval_13.py: 96.00 Byte, 0.00 Byte
HumanEval_14.py: 370.00 Byte, 0.00 Byte
HumanEval_15.py: 951.00 Byte, 0.00 Byte
HumanEval_16.py: 891.00 Byte, 0.00 Byte
HumanEval_20.py: 424.00 Byte, 0.00 Byte
HumanEval_21.py: 432.00 Byte, 0.00 Byte
HumanEval_22.py: 320.00 Byte, 0.00 Byte
HumanEval_23.py: 96.00 Byte, 0.00 Byte
HumanEval_25.py: 260.00 Byte, 0.00 Byte
HumanEval_27.py: 617.00 Byte, 0.00 Byte
HumanEval_28.py: 150.00 Byte, 0.00 Byte
HumanEval_29.py: 360.00 Byte, 0.00 Byte
HumanEval_30.py: 400.00 Byte, 0.00 Byte
HumanEval_31.py: 200.00 Byte, 0.00 Byte
HumanEval_32.py: 5948.00 Byte, 480.00 Byte
HumanEval_33.py: 432.00 Byte, 0.00 Byte
HumanEval_34.py: 1136.00 Byte, 112.00 Byte
HumanEval_35.py: 192.00 Byte, 0.00 Byte
HumanEval_37.py: 536.00 Byte, 0.00 Byte
HumanEval_39.py: 1456.00 Byte, 0.00 Byte
HumanEval_41.py: 96.00 Byte, 0.00 Byte
HumanEval_42.py: 448.00 Byte, 0.00 Byte
HumanEval_44.py: 228.00 Byte, 0.00 Byte
HumanEval_45.py: 96.00 Byte, 0.00 Byte
HumanEval_46.py: 216.00 Byte, 0.00 Byte
HumanEval_47.py: 248.00 Byte, 0.00 Byte
HumanEval_48.py: 102.00 Byte, 0.00 Byte
HumanEval_49.py: 172.00 Byte, 0.00 Byte
HumanEval_50.py: 730.00 Byte, 0.00 Byte
HumanEval_51.py: 418.00 Byte, 0.00 Byte
HumanEval_52.py: 128.00 Byte, 0.00 Byte
HumanEval_53.py: 364.00 Byte, 0.00 Byte
HumanEval_54.py: 1552.00 Byte, 0.00 Byte
HumanEval_55.py: 96.00 Byte, 0.00 Byte
HumanEval_56.py: 96.00 Byte, 0.00 Byte
HumanEval_57.py: 216.00 Byte, 0.00 Byte
HumanEval_58.py: 696.00 Byte, 112.00 Byte
HumanEval_59.py: 344.00 Byte, 0.00 Byte
HumanEval_60.py: 144.00 Byte, 0.00 Byte
HumanEval_61.py: 96.00 Byte, 0.00 Byte
HumanEval_62.py: 416.00 Byte, 0.00 Byte
HumanEval_63.py: 132.00 Byte, 0.00 Byte
HumanEval_64.py: 384.00 Byte, 0.00 Byte
HumanEval_66.py: 344.00 Byte, 0.00 Byte
HumanEval_69.py: 612.00 Byte, 140.00 Byte
HumanEval_71.py: 120.00 Byte, 0.00 Byte
HumanEval_72.py: 128.00 Byte, 0.00 Byte
HumanEval_74.py: 152.00 Byte, 0.00 Byte
HumanEval_78.py: 144.00 Byte, 0.00 Byte
HumanEval_79.py: 162.00 Byte, 0.00 Byte
HumanEval_80.py: 144.00 Byte, 0.00 Byte
HumanEval_81.py: 208.00 Byte, 0.00 Byte
HumanEval_84.py: 441.00 Byte, 44.00 Byte
HumanEval_85.py: 376.00 Byte, 0.00 Byte
HumanEval_86.py: 1767.00 Byte, 168.00 Byte
HumanEval_87.py: 1060.00 Byte, 0.00 Byte
HumanEval_89.py: 190.00 Byte, 0.00 Byte
HumanEval_90.py: 944.00 Byte, 0.00 Byte
HumanEval_92.py: 96.00 Byte, 0.00 Byte
HumanEval_93.py: 1010.00 Byte, 0.00 Byte
HumanEval_95.py: 160.00 Byte, 0.00 Byte
HumanEval_96.py: 512.00 Byte, 0.00 Byte
HumanEval_97.py: 96.00 Byte, 0.00 Byte
HumanEval_98.py: 144.00 Byte, 0.00 Byte
HumanEval_102.py: 96.00 Byte, 0.00 Byte
HumanEval_103.py: 204.00 Byte, 0.00 Byte
HumanEval_104.py: 509.00 Byte, 0.00 Byte
HumanEval_105.py: 624.00 Byte, 0.00 Byte
HumanEval_110.py: 192.00 Byte, 0.00 Byte
HumanEval_111.py: 192.00 Byte, 0.00 Byte
HumanEval_112.py: 408.00 Byte, 0.00 Byte
HumanEval_113.py: 714.00 Byte, 48.00 Byte
HumanEval_114.py: 392.00 Byte, 0.00 Byte
HumanEval_116.py: 666.00 Byte, 0.00 Byte
HumanEval_118.py: 872.00 Byte, 0.00 Byte
HumanEval_121.py: 384.00 Byte, 0.00 Byte
HumanEval_123.py: 232.00 Byte, 0.00 Byte
HumanEval_125.py: 314.00 Byte, 0.00 Byte
HumanEval_126.py: 848.00 Byte, 0.00 Byte
HumanEval_128.py: 532.00 Byte, 56.00 Byte
HumanEval_132.py: 256.00 Byte, 0.00 Byte
HumanEval_133.py: 228.00 Byte, 0.00 Byte
HumanEval_134.py: 252.00 Byte, 0.00 Byte
HumanEval_136.py: 632.00 Byte, 56.00 Byte
HumanEval_138.py: 96.00 Byte, 0.00 Byte
HumanEval_142.py: 548.00 Byte, 0.00 Byte
HumanEval_144.py: 297.00 Byte, 0.00 Byte
HumanEval_146.py: 280.00 Byte, 0.00 Byte
HumanEval_147.py: 3862888.00 Byte, 128000.00 Byte
HumanEval_148.py: 96.00 Byte, 0.00 Byte
HumanEval_149.py: 216.00 Byte, 0.00 Byte
HumanEval_150.py: 172.00 Byte, 0.00 Byte
HumanEval_152.py: 512.00 Byte, 0.00 Byte
HumanEval_153.py: 400.00 Byte, 0.00 Byte
HumanEval_155.py: 179.00 Byte, 0.00 Byte
HumanEval_157.py: 160.00 Byte, 0.00 Byte
HumanEval_160.py: 12203.00 Byte, 0.00 Byte
HumanEval_163.py: 288.00 Byte, 0.00 Byte
