HumanEval_0.py: 0.000447s
HumanEval_1.py: 0.000420s
HumanEval_2.py: 0.000019s
HumanEval_3.py: 0.000043s
HumanEval_4.py: 0.000247s
HumanEval_5.py: 0.000049s
HumanEval_7.py: 0.000046s
HumanEval_8.py: 0.000029s
HumanEval_9.py: 0.000103s
HumanEval_10.py: 0.000073s
HumanEval_11.py: 0.000120s
HumanEval_12.py: 0.000091s
HumanEval_13.py: 0.000018s
HumanEval_14.py: 0.000064s
HumanEval_15.py: 0.000072s
HumanEval_16.py: 0.000063s
HumanEval_20.py: 0.000617s
HumanEval_21.py: 0.000125s
HumanEval_22.py: 0.000062s
HumanEval_23.py: 0.000015s
HumanEval_25.py: 0.000311s
HumanEval_27.py: 0.000025s
HumanEval_28.py: 0.000020s
HumanEval_29.py: 0.000044s
HumanEval_30.py: 0.000043s
HumanEval_31.py: 0.009895s
HumanEval_32.py: 0.293243s
HumanEval_33.py: 0.000126s
HumanEval_34.py: 0.000017s
HumanEval_35.py: 0.000017s
HumanEval_37.py: 0.000127s
HumanEval_39.py: 0.024020s
HumanEval_41.py: 0.000030s
HumanEval_42.py: 0.000032s
HumanEval_44.py: 0.000128s
HumanEval_45.py: 0.000011s
HumanEval_46.py: 0.000180s
HumanEval_47.py: 0.000082s
HumanEval_48.py: 0.000027s
HumanEval_49.py: 0.000864s
HumanEval_50.py: 0.069216s
HumanEval_51.py: 0.000214s
HumanEval_52.py: 0.000031s
HumanEval_53.py: 0.005817s
HumanEval_54.py: 0.000057s
HumanEval_55.py: 0.002794s
HumanEval_56.py: 0.000138s
HumanEval_57.py: 0.000086s
HumanEval_58.py: 0.000120s
HumanEval_59.py: 0.000131s
HumanEval_60.py: 0.000045s
HumanEval_61.py: 0.000145s
HumanEval_62.py: 0.000069s
HumanEval_63.py: 0.014284s
HumanEval_64.py: 0.000150s
HumanEval_66.py: 0.000396s
HumanEval_69.py: 0.000860s
HumanEval_71.py: 0.000092s
HumanEval_72.py: 0.000064s
HumanEval_74.py: 0.000131s
HumanEval_78.py: 0.000148s
HumanEval_79.py: 0.000031s
HumanEval_80.py: 0.000115s
HumanEval_81.py: 0.000121s
HumanEval_84.py: 0.000142s
HumanEval_85.py: 0.000082s
HumanEval_86.py: 0.000302s
HumanEval_87.py: 0.000526s
HumanEval_89.py: 0.000456s
HumanEval_90.py: 0.000100s
HumanEval_92.py: 0.000085s
HumanEval_93.py: 0.000492s
HumanEval_95.py: 0.000227s
HumanEval_96.py: 0.001654s
HumanEval_97.py: 0.000058s
HumanEval_98.py: 0.000063s
HumanEval_102.py: 0.000028s
HumanEval_103.py: 0.001046s
HumanEval_104.py: 0.000350s
HumanEval_105.py: 0.000134s
HumanEval_110.py: 0.000091s
HumanEval_111.py: 0.000302s
HumanEval_112.py: 0.000165s
HumanEval_113.py: 0.000244s
HumanEval_114.py: 0.000354s
HumanEval_116.py: 0.000545s
HumanEval_118.py: 0.000154s
HumanEval_121.py: 0.000125s
HumanEval_123.py: 0.000175s
HumanEval_125.py: 0.000192s
HumanEval_126.py: 0.000977s
HumanEval_128.py: 0.000328s
HumanEval_132.py: 0.000560s
HumanEval_133.py: 0.000311s
HumanEval_134.py: 0.000142s
HumanEval_136.py: 0.000519s
HumanEval_138.py: 0.000024s
HumanEval_142.py: 0.000623s
HumanEval_144.py: 0.000218s
HumanEval_146.py: 0.000117s
HumanEval_147.py: 0.368680s
HumanEval_148.py: 0.000077s
HumanEval_149.py: 0.000243s
HumanEval_150.py: 0.006718s
HumanEval_152.py: 0.000104s
HumanEval_153.py: 0.002696s
HumanEval_155.py: 0.000123s
HumanEval_157.py: 0.000065s
HumanEval_160.py: 0.000296s
HumanEval_163.py: 0.000128s
