HumanEval_0.py: 0.000442s
HumanEval_1.py: 0.000210s
HumanEval_2.py: 0.000019s
HumanEval_3.py: 0.000045s
HumanEval_4.py: 0.000150s
HumanEval_5.py: 0.000079s
HumanEval_6.py: 0.000235s
HumanEval_7.py: 0.000047s
HumanEval_8.py: 0.000030s
HumanEval_9.py: 0.000061s
HumanEval_10.py: 0.000099s
HumanEval_11.py: 0.000077s
HumanEval_12.py: 0.000045s
HumanEval_13.py: 0.000018s
HumanEval_14.py: 0.000059s
HumanEval_15.py: 0.000099s
HumanEval_16.py: 0.000060s
HumanEval_17.py: 0.000099s
HumanEval_18.py: 0.000108s
HumanEval_19.py: 0.000177s
HumanEval_20.py: 0.000184s
HumanEval_21.py: 0.000127s
HumanEval_22.py: 0.000040s
HumanEval_23.py: 0.000015s
HumanEval_24.py: 0.000042s
HumanEval_25.py: 0.000202s
HumanEval_26.py: 0.000084s
HumanEval_27.py: 0.000025s
HumanEval_28.py: 0.000021s
HumanEval_29.py: 0.000043s
HumanEval_30.py: 0.000044s
HumanEval_31.py: 0.000199s
HumanEval_33.py: 0.000408s
HumanEval_34.py: 0.000015s
HumanEval_35.py: 0.000017s
HumanEval_36.py: 0.207990s
HumanEval_37.py: 0.000162s
HumanEval_38.py: 0.053390s
HumanEval_39.py: 0.021785s
HumanEval_40.py: 0.000237s
HumanEval_41.py: 0.000013s
HumanEval_42.py: 0.000033s
HumanEval_43.py: 0.000194s
HumanEval_44.py: 0.000151s
HumanEval_45.py: 0.000010s
HumanEval_46.py: 0.000182s
HumanEval_47.py: 0.000074s
HumanEval_48.py: 0.000027s
HumanEval_49.py: 0.000093s
HumanEval_50.py: 0.066511s
HumanEval_51.py: 0.000194s
HumanEval_52.py: 0.000119s
HumanEval_53.py: 0.005485s
HumanEval_54.py: 0.000057s
HumanEval_55.py: 0.000050s
HumanEval_56.py: 0.000149s
HumanEval_57.py: 0.000084s
HumanEval_58.py: 0.000059s
HumanEval_59.py: 0.000081s
HumanEval_60.py: 0.000021s
HumanEval_61.py: 0.000157s
HumanEval_62.py: 0.000079s
HumanEval_63.py: 0.000078s
HumanEval_64.py: 0.000150s
HumanEval_66.py: 0.000303s
HumanEval_67.py: 0.000231s
HumanEval_68.py: 0.000092s
HumanEval_69.py: 0.001825s
HumanEval_70.py: 0.000582s
HumanEval_71.py: 0.000090s
HumanEval_72.py: 0.000043s
HumanEval_73.py: 0.000088s
HumanEval_74.py: 0.000345s
HumanEval_76.py: 0.000052s
HumanEval_77.py: 0.000105s
HumanEval_78.py: 0.000182s
HumanEval_79.py: 0.000031s
HumanEval_80.py: 0.000143s
HumanEval_81.py: 0.000128s
HumanEval_82.py: 0.000141s
HumanEval_83.py: 0.000029s
HumanEval_84.py: 0.000138s
HumanEval_85.py: 0.000088s
HumanEval_86.py: 0.000310s
HumanEval_87.py: 0.000480s
HumanEval_88.py: 0.000068s
HumanEval_89.py: 0.000459s
HumanEval_90.py: 0.000099s
HumanEval_92.py: 0.000085s
HumanEval_94.py: 0.001119s
HumanEval_95.py: 0.000378s
HumanEval_96.py: 0.001672s
HumanEval_97.py: 0.000057s
HumanEval_98.py: 0.000151s
HumanEval_99.py: 0.000064s
HumanEval_100.py: 0.000072s
HumanEval_101.py: 0.000121s
HumanEval_102.py: 0.000033s
HumanEval_103.py: 0.000150s
HumanEval_104.py: 0.000351s
HumanEval_105.py: 0.000150s
HumanEval_106.py: 0.000158s
HumanEval_107.py: 0.000753s
HumanEval_109.py: 0.000106s
HumanEval_110.py: 0.000248s
HumanEval_111.py: 0.000725s
HumanEval_112.py: 0.000167s
HumanEval_113.py: 0.000211s
HumanEval_114.py: 0.000386s
HumanEval_115.py: 0.000133s
HumanEval_116.py: 0.000809s
HumanEval_117.py: 0.000680s
HumanEval_118.py: 0.000129s
HumanEval_119.py: 0.000280s
HumanEval_120.py: 0.000143s
HumanEval_121.py: 0.000134s
HumanEval_122.py: 0.000122s
HumanEval_123.py: 0.000145s
HumanEval_124.py: 0.000291s
HumanEval_125.py: 0.000239s
HumanEval_126.py: 0.001388s
HumanEval_127.py: 0.000159s
HumanEval_128.py: 0.000213s
HumanEval_130.py: 0.000937s
HumanEval_131.py: 0.000095s
HumanEval_133.py: 0.000454s
HumanEval_136.py: 0.000293s
HumanEval_137.py: 0.000157s
HumanEval_138.py: 0.000025s
HumanEval_139.py: 0.000037s
HumanEval_140.py: 0.000168s
HumanEval_142.py: 0.000344s
HumanEval_143.py: 0.000405s
HumanEval_144.py: 0.000237s
HumanEval_146.py: 0.000291s
HumanEval_147.py: 0.275225s
HumanEval_148.py: 0.000098s
HumanEval_149.py: 0.000255s
HumanEval_150.py: 0.000151s
HumanEval_151.py: 0.000936s
HumanEval_152.py: 0.000087s
HumanEval_153.py: 0.003165s
HumanEval_154.py: 0.000088s
HumanEval_155.py: 0.000375s
HumanEval_156.py: 0.000462s
HumanEval_157.py: 0.000064s
HumanEval_158.py: 0.000362s
HumanEval_159.py: 0.000027s
HumanEval_161.py: 0.000473s
HumanEval_162.py: 0.000082s
HumanEval_163.py: 0.000267s
