HumanEval_0.py: 240.00 Byte, 0.00 Byte
HumanEval_1.py: 476.00 Byte, 0.00 Byte
HumanEval_2.py: 96.00 Byte, 0.00 Byte
HumanEval_3.py: 160.00 Byte, 0.00 Byte
HumanEval_4.py: 432.00 Byte, 0.00 Byte
HumanEval_7.py: 176.00 Byte, 0.00 Byte
HumanEval_8.py: 128.00 Byte, 0.00 Byte
HumanEval_9.py: 224.00 Byte, 0.00 Byte
HumanEval_10.py: 159.00 Byte, 0.00 Byte
HumanEval_11.py: 167.00 Byte, 0.00 Byte
HumanEval_12.py: 144.00 Byte, 0.00 Byte
HumanEval_13.py: 96.00 Byte, 0.00 Byte
HumanEval_14.py: 370.00 Byte, 0.00 Byte
HumanEval_15.py: 248.00 Byte, 0.00 Byte
HumanEval_16.py: 891.00 Byte, 0.00 Byte
HumanEval_18.py: 149.00 Byte, 0.00 Byte
HumanEval_19.py: 1105.00 Byte, 0.00 Byte
HumanEval_20.py: 424.00 Byte, 0.00 Byte
HumanEval_21.py: 432.00 Byte, 0.00 Byte
HumanEval_22.py: 176.00 Byte, 0.00 Byte
HumanEval_23.py: 96.00 Byte, 0.00 Byte
HumanEval_24.py: 216.00 Byte, 0.00 Byte
HumanEval_25.py: 160.00 Byte, 0.00 Byte
HumanEval_27.py: 235.00 Byte, 0.00 Byte
HumanEval_28.py: 198.00 Byte, 0.00 Byte
HumanEval_29.py: 176.00 Byte, 0.00 Byte
HumanEval_30.py: 400.00 Byte, 0.00 Byte
HumanEval_31.py: 200.00 Byte, 0.00 Byte
HumanEval_32.py: 5948.00 Byte, 480.00 Byte
HumanEval_34.py: 2648.00 Byte, 1680.00 Byte
HumanEval_35.py: 192.00 Byte, 0.00 Byte
HumanEval_37.py: 576.00 Byte, 0.00 Byte
HumanEval_38.py: 1400.00 Byte, 0.00 Byte
HumanEval_40.py: 336.00 Byte, 0.00 Byte
HumanEval_41.py: 96.00 Byte, 0.00 Byte
HumanEval_42.py: 448.00 Byte, 0.00 Byte
HumanEval_43.py: 288.00 Byte, 0.00 Byte
HumanEval_44.py: 228.00 Byte, 0.00 Byte
HumanEval_45.py: 96.00 Byte, 0.00 Byte
HumanEval_46.py: 216.00 Byte, 0.00 Byte
HumanEval_47.py: 248.00 Byte, 0.00 Byte
HumanEval_48.py: 144.00 Byte, 0.00 Byte
HumanEval_49.py: 172.00 Byte, 0.00 Byte
HumanEval_50.py: 730.00 Byte, 0.00 Byte
HumanEval_51.py: 506.00 Byte, 0.00 Byte
HumanEval_52.py: 128.00 Byte, 0.00 Byte
HumanEval_53.py: 364.00 Byte, 0.00 Byte
HumanEval_54.py: 96.00 Byte, 0.00 Byte
HumanEval_55.py: 96.00 Byte, 0.00 Byte
HumanEval_56.py: 96.00 Byte, 0.00 Byte
HumanEval_57.py: 216.00 Byte, 0.00 Byte
HumanEval_58.py: 688.00 Byte, 112.00 Byte
HumanEval_60.py: 152.00 Byte, 0.00 Byte
HumanEval_61.py: 96.00 Byte, 0.00 Byte
HumanEval_62.py: 240.00 Byte, 0.00 Byte
HumanEval_63.py: 240.00 Byte, 0.00 Byte
HumanEval_65.py: 152.00 Byte, 0.00 Byte
HumanEval_66.py: 344.00 Byte, 0.00 Byte
HumanEval_67.py: 467.00 Byte, 0.00 Byte
HumanEval_68.py: 568.00 Byte, 112.00 Byte
HumanEval_70.py: 224.00 Byte, 0.00 Byte
HumanEval_71.py: 120.00 Byte, 0.00 Byte
HumanEval_73.py: 208.00 Byte, 0.00 Byte
HumanEval_74.py: 152.00 Byte, 0.00 Byte
HumanEval_76.py: 107.00 Byte, 59.00 Byte
HumanEval_78.py: 144.00 Byte, 0.00 Byte
HumanEval_80.py: 144.00 Byte, 0.00 Byte
HumanEval_81.py: 208.00 Byte, 0.00 Byte
HumanEval_82.py: 144.00 Byte, 0.00 Byte
HumanEval_83.py: 104.00 Byte, 0.00 Byte
HumanEval_84.py: 441.00 Byte, 44.00 Byte
HumanEval_85.py: 192.00 Byte, 0.00 Byte
HumanEval_86.py: 1623.00 Byte, 168.00 Byte
HumanEval_87.py: 980.00 Byte, 0.00 Byte
HumanEval_88.py: 248.00 Byte, 0.00 Byte
HumanEval_89.py: 190.00 Byte, 0.00 Byte
HumanEval_90.py: 944.00 Byte, 0.00 Byte
HumanEval_92.py: 96.00 Byte, 0.00 Byte
HumanEval_93.py: 1010.00 Byte, 0.00 Byte
HumanEval_95.py: 160.00 Byte, 0.00 Byte
HumanEval_96.py: 512.00 Byte, 0.00 Byte
HumanEval_97.py: 96.00 Byte, 0.00 Byte
HumanEval_98.py: 144.00 Byte, 0.00 Byte
HumanEval_100.py: 344.00 Byte, 0.00 Byte
HumanEval_101.py: 543.00 Byte, 0.00 Byte
HumanEval_102.py: 96.00 Byte, 0.00 Byte
HumanEval_103.py: 204.00 Byte, 0.00 Byte
HumanEval_104.py: 509.00 Byte, 0.00 Byte
HumanEval_105.py: 624.00 Byte, 0.00 Byte
HumanEval_106.py: 284.00 Byte, 0.00 Byte
HumanEval_107.py: 396.00 Byte, 0.00 Byte
HumanEval_109.py: 304.00 Byte, 0.00 Byte
HumanEval_110.py: 192.00 Byte, 0.00 Byte
HumanEval_111.py: 192.00 Byte, 0.00 Byte
HumanEval_112.py: 206.00 Byte, 0.00 Byte
HumanEval_113.py: 714.00 Byte, 48.00 Byte
HumanEval_116.py: 666.00 Byte, 0.00 Byte
HumanEval_117.py: 535.00 Byte, 0.00 Byte
HumanEval_118.py: 872.00 Byte, 0.00 Byte
HumanEval_120.py: 196.00 Byte, 0.00 Byte
HumanEval_121.py: 192.00 Byte, 0.00 Byte
HumanEval_122.py: 261.00 Byte, 0.00 Byte
HumanEval_124.py: 129.00 Byte, 0.00 Byte
HumanEval_125.py: 314.00 Byte, 0.00 Byte
HumanEval_126.py: 208.00 Byte, 0.00 Byte
HumanEval_128.py: 532.00 Byte, 56.00 Byte
HumanEval_130.py: 416.00 Byte, 0.00 Byte
HumanEval_131.py: 208.00 Byte, 0.00 Byte
HumanEval_135.py: 224.00 Byte, 0.00 Byte
HumanEval_136.py: 160.00 Byte, 0.00 Byte
HumanEval_138.py: 288.00 Byte, 0.00 Byte
HumanEval_139.py: 184.00 Byte, 0.00 Byte
HumanEval_140.py: 172.00 Byte, 0.00 Byte
HumanEval_141.py: 705.00 Byte, 193.00 Byte
HumanEval_142.py: 548.00 Byte, 0.00 Byte
HumanEval_143.py: 641.00 Byte, 0.00 Byte
HumanEval_144.py: 297.00 Byte, 0.00 Byte
HumanEval_145.py: 825.00 Byte, 0.00 Byte
HumanEval_146.py: 280.00 Byte, 0.00 Byte
HumanEval_147.py: 3492.00 Byte, 0.00 Byte
HumanEval_148.py: 96.00 Byte, 0.00 Byte
HumanEval_149.py: 216.00 Byte, 0.00 Byte
HumanEval_150.py: 172.00 Byte, 0.00 Byte
HumanEval_151.py: 4516.00 Byte, 0.00 Byte
HumanEval_152.py: 512.00 Byte, 0.00 Byte
HumanEval_153.py: 400.00 Byte, 0.00 Byte
HumanEval_155.py: 179.00 Byte, 0.00 Byte
HumanEval_156.py: 103.00 Byte, 0.00 Byte
