HumanEval_0.py: 0.000402s
HumanEval_1.py: 0.000430s
HumanEval_2.py: 0.000019s
HumanEval_3.py: 0.000045s
HumanEval_4.py: 0.000149s
HumanEval_7.py: 0.000055s
HumanEval_8.py: 0.000031s
HumanEval_9.py: 0.000103s
HumanEval_10.py: 0.000074s
HumanEval_11.py: 0.000086s
HumanEval_12.py: 0.000055s
HumanEval_13.py: 0.000028s
HumanEval_14.py: 0.000068s
HumanEval_15.py: 0.000057s
HumanEval_16.py: 0.000180s
HumanEval_18.py: 0.000110s
HumanEval_19.py: 0.000225s
HumanEval_20.py: 0.000610s
HumanEval_21.py: 0.000130s
HumanEval_22.py: 0.000072s
HumanEval_23.py: 0.000016s
HumanEval_24.py: 0.000096s
HumanEval_25.py: 0.000205s
HumanEval_27.py: 0.000276s
HumanEval_28.py: 0.000019s
HumanEval_29.py: 0.000052s
HumanEval_30.py: 0.000046s
HumanEval_31.py: 0.010212s
HumanEval_32.py: 0.296308s
HumanEval_34.py: 0.000019s
HumanEval_35.py: 0.000018s
HumanEval_37.py: 0.000236s
HumanEval_38.py: 0.055280s
HumanEval_40.py: 0.000412s
HumanEval_41.py: 0.000031s
HumanEval_42.py: 0.000032s
HumanEval_43.py: 0.000307s
HumanEval_44.py: 0.000134s
HumanEval_45.py: 0.000012s
HumanEval_46.py: 0.000186s
HumanEval_47.py: 0.000084s
HumanEval_48.py: 0.000105s
HumanEval_49.py: 0.000859s
HumanEval_50.py: 0.071791s
HumanEval_51.py: 0.000233s
HumanEval_52.py: 0.000032s
HumanEval_53.py: 0.005926s
HumanEval_54.py: 0.000064s
HumanEval_55.py: 0.002950s
HumanEval_56.py: 0.000145s
HumanEval_57.py: 0.000086s
HumanEval_58.py: 0.000133s
HumanEval_60.py: 0.000099s
HumanEval_61.py: 0.000142s
HumanEval_62.py: 0.000078s
HumanEval_63.py: 0.000278s
HumanEval_65.py: 0.000063s
HumanEval_66.py: 0.000408s
HumanEval_67.py: 0.000272s
HumanEval_68.py: 0.000293s
HumanEval_70.py: 0.000542s
HumanEval_71.py: 0.000094s
HumanEval_73.py: 0.000118s
HumanEval_74.py: 0.000135s
HumanEval_76.py: 0.000098s
HumanEval_78.py: 0.000147s
HumanEval_80.py: 0.000119s
HumanEval_81.py: 0.000127s
HumanEval_82.py: 0.000134s
HumanEval_83.py: 0.000030s
HumanEval_84.py: 0.000144s
HumanEval_85.py: 0.000046s
HumanEval_86.py: 0.000349s
HumanEval_87.py: 0.000590s
HumanEval_88.py: 0.000092s
HumanEval_89.py: 0.000459s
HumanEval_90.py: 0.000101s
HumanEval_92.py: 0.000087s
HumanEval_93.py: 0.000495s
HumanEval_95.py: 0.000227s
HumanEval_96.py: 0.001667s
HumanEval_97.py: 0.000061s
HumanEval_98.py: 0.000066s
HumanEval_100.py: 0.000071s
HumanEval_101.py: 0.000418s
HumanEval_102.py: 0.000029s
HumanEval_103.py: 0.001053s
HumanEval_104.py: 0.000364s
HumanEval_105.py: 0.000137s
HumanEval_106.py: 0.000106s
HumanEval_107.py: 0.001816s
HumanEval_109.py: 0.000184s
HumanEval_110.py: 0.000083s
HumanEval_111.py: 0.000325s
HumanEval_112.py: 0.000099s
HumanEval_113.py: 0.000253s
HumanEval_116.py: 0.000564s
HumanEval_117.py: 0.000572s
HumanEval_118.py: 0.000155s
HumanEval_120.py: 0.000106s
HumanEval_121.py: 0.000090s
HumanEval_122.py: 0.000097s
HumanEval_124.py: 0.000183s
HumanEval_125.py: 0.000202s
HumanEval_126.py: 0.000204s
HumanEval_128.py: 0.000333s
HumanEval_130.py: 0.000298s
HumanEval_131.py: 0.000102s
HumanEval_135.py: 0.000057s
HumanEval_136.py: 0.000118s
HumanEval_138.py: 0.041754s
HumanEval_139.py: 0.000037s
HumanEval_140.py: 0.000432s
HumanEval_141.py: 0.000716s
HumanEval_142.py: 0.000617s
HumanEval_143.py: 0.000468s
HumanEval_144.py: 0.000221s
HumanEval_145.py: 0.000864s
HumanEval_146.py: 0.000117s
HumanEval_147.py: 0.301648s
HumanEval_148.py: 0.000078s
HumanEval_149.py: 0.000255s
HumanEval_150.py: 0.006738s
HumanEval_151.py: 0.000727s
HumanEval_152.py: 0.000107s
HumanEval_153.py: 0.002785s
HumanEval_155.py: 0.000126s
HumanEval_156.py: 0.000198s
HumanEval_157.py: 0.000277s
HumanEval_158.py: 0.000416s
HumanEval_159.py: 0.000026s
HumanEval_160.py: 0.000301s
HumanEval_161.py: 0.000284s
HumanEval_162.py: 0.000085s
