HumanEval_1.py: 476.00 Byte, 0.00 Byte
HumanEval_2.py: 96.00 Byte, 0.00 Byte
HumanEval_3.py: 160.00 Byte, 0.00 Byte
HumanEval_5.py: 216.00 Byte, 0.00 Byte
HumanEval_7.py: 360.00 Byte, 0.00 Byte
HumanEval_8.py: 128.00 Byte, 0.00 Byte
HumanEval_9.py: 224.00 Byte, 0.00 Byte
HumanEval_10.py: 159.00 Byte, 0.00 Byte
HumanEval_11.py: 704.00 Byte, 0.00 Byte
HumanEval_12.py: 392.00 Byte, 0.00 Byte
HumanEval_13.py: 96.00 Byte, 0.00 Byte
HumanEval_14.py: 554.00 Byte, 0.00 Byte
HumanEval_15.py: 951.00 Byte, 0.00 Byte
HumanEval_16.py: 891.00 Byte, 0.00 Byte
HumanEval_17.py: 746.00 Byte, 0.00 Byte
HumanEval_18.py: 661.00 Byte, 286.00 Byte
HumanEval_21.py: 432.00 Byte, 0.00 Byte
HumanEval_22.py: 320.00 Byte, 0.00 Byte
HumanEval_23.py: 96.00 Byte, 0.00 Byte
HumanEval_24.py: 144.00 Byte, 0.00 Byte
HumanEval_25.py: 160.00 Byte, 0.00 Byte
HumanEval_26.py: 376.00 Byte, 0.00 Byte
HumanEval_27.py: 617.00 Byte, 0.00 Byte
HumanEval_28.py: 198.00 Byte, 0.00 Byte
HumanEval_29.py: 360.00 Byte, 0.00 Byte
HumanEval_30.py: 400.00 Byte, 0.00 Byte
HumanEval_31.py: 200.00 Byte, 0.00 Byte
HumanEval_32.py: 5948.00 Byte, 480.00 Byte
HumanEval_33.py: 432.00 Byte, 0.00 Byte
HumanEval_34.py: 1136.00 Byte, 112.00 Byte
HumanEval_35.py: 192.00 Byte, 0.00 Byte
HumanEval_38.py: 1400.00 Byte, 0.00 Byte
HumanEval_42.py: 448.00 Byte, 0.00 Byte
HumanEval_44.py: 228.00 Byte, 0.00 Byte
HumanEval_45.py: 96.00 Byte, 0.00 Byte
HumanEval_47.py: 112.00 Byte, 0.00 Byte
HumanEval_48.py: 100.00 Byte, 0.00 Byte
HumanEval_50.py: 730.00 Byte, 0.00 Byte
HumanEval_51.py: 253.00 Byte, 0.00 Byte
HumanEval_52.py: 416.00 Byte, 0.00 Byte
HumanEval_53.py: 364.00 Byte, 0.00 Byte
HumanEval_55.py: 96.00 Byte, 0.00 Byte
HumanEval_57.py: 216.00 Byte, 0.00 Byte
HumanEval_58.py: 1848.00 Byte, 0.00 Byte
HumanEval_60.py: 104.00 Byte, 0.00 Byte
HumanEval_62.py: 416.00 Byte, 0.00 Byte
HumanEval_63.py: 132.00 Byte, 0.00 Byte
HumanEval_64.py: 384.00 Byte, 0.00 Byte
HumanEval_65.py: 152.00 Byte, 0.00 Byte
HumanEval_67.py: 523.00 Byte, 0.00 Byte
HumanEval_70.py: 224.00 Byte, 0.00 Byte
HumanEval_71.py: 120.00 Byte, 0.00 Byte
HumanEval_72.py: 128.00 Byte, 0.00 Byte
HumanEval_76.py: 113.00 Byte, 65.00 Byte
HumanEval_77.py: 120.00 Byte, 0.00 Byte
HumanEval_78.py: 144.00 Byte, 0.00 Byte
HumanEval_79.py: 162.00 Byte, 0.00 Byte
HumanEval_80.py: 144.00 Byte, 0.00 Byte
HumanEval_85.py: 376.00 Byte, 0.00 Byte
HumanEval_89.py: 190.00 Byte, 0.00 Byte
HumanEval_92.py: 96.00 Byte, 0.00 Byte
HumanEval_93.py: 1010.00 Byte, 0.00 Byte
HumanEval_95.py: 160.00 Byte, 0.00 Byte
HumanEval_98.py: 144.00 Byte, 0.00 Byte
HumanEval_102.py: 96.00 Byte, 0.00 Byte
HumanEval_103.py: 204.00 Byte, 0.00 Byte
HumanEval_109.py: 280.00 Byte, 0.00 Byte
HumanEval_111.py: 192.00 Byte, 0.00 Byte
HumanEval_112.py: 408.00 Byte, 0.00 Byte
HumanEval_113.py: 909.00 Byte, 0.00 Byte
HumanEval_118.py: 872.00 Byte, 0.00 Byte
HumanEval_121.py: 384.00 Byte, 0.00 Byte
HumanEval_123.py: 232.00 Byte, 0.00 Byte
HumanEval_124.py: 494.00 Byte, 0.00 Byte
HumanEval_128.py: 532.00 Byte, 56.00 Byte
HumanEval_131.py: 208.00 Byte, 0.00 Byte
HumanEval_138.py: 96.00 Byte, 0.00 Byte
HumanEval_142.py: 548.00 Byte, 0.00 Byte
HumanEval_144.py: 297.00 Byte, 0.00 Byte
HumanEval_148.py: 96.00 Byte, 0.00 Byte
HumanEval_149.py: 216.00 Byte, 0.00 Byte
HumanEval_150.py: 172.00 Byte, 0.00 Byte
HumanEval_155.py: 179.00 Byte, 0.00 Byte
HumanEval_157.py: 160.00 Byte, 0.00 Byte
