HumanEval_1.py: 0.000410s
HumanEval_2.py: 0.000019s
HumanEval_3.py: 0.000045s
HumanEval_5.py: 0.000051s
HumanEval_7.py: 0.000049s
HumanEval_8.py: 0.000030s
HumanEval_9.py: 0.000100s
HumanEval_10.py: 0.000075s
HumanEval_11.py: 0.000125s
HumanEval_12.py: 0.000087s
HumanEval_13.py: 0.000020s
HumanEval_14.py: 0.000057s
HumanEval_15.py: 0.000073s
HumanEval_16.py: 0.000063s
HumanEval_17.py: 0.000107s
HumanEval_18.py: 0.000334s
HumanEval_21.py: 0.000130s
HumanEval_22.py: 0.000065s
HumanEval_23.py: 0.000017s
HumanEval_24.py: 0.000092s
HumanEval_25.py: 0.000208s
HumanEval_26.py: 0.000075s
HumanEval_27.py: 0.000026s
HumanEval_28.py: 0.000020s
HumanEval_29.py: 0.000045s
HumanEval_30.py: 0.000046s
HumanEval_31.py: 0.010409s
HumanEval_32.py: 0.300254s
HumanEval_33.py: 0.000130s
HumanEval_34.py: 0.000018s
HumanEval_35.py: 0.000017s
HumanEval_38.py: 0.055477s
HumanEval_42.py: 0.000034s
HumanEval_44.py: 0.000133s
HumanEval_45.py: 0.000012s
HumanEval_47.py: 0.000077s
HumanEval_48.py: 0.000104s
HumanEval_50.py: 0.070695s
HumanEval_51.py: 0.000176s
HumanEval_52.py: 0.000122s
HumanEval_53.py: 0.005920s
HumanEval_55.py: 0.002849s
HumanEval_57.py: 0.000089s
HumanEval_58.py: 0.000062s
HumanEval_60.py: 0.000429s
HumanEval_62.py: 0.000069s
HumanEval_63.py: 0.014759s
HumanEval_64.py: 0.000160s
HumanEval_65.py: 0.000064s
HumanEval_67.py: 0.000269s
HumanEval_70.py: 0.000314s
HumanEval_71.py: 0.000094s
HumanEval_72.py: 0.000069s
HumanEval_76.py: 0.000106s
HumanEval_77.py: 0.000120s
HumanEval_78.py: 0.000144s
HumanEval_79.py: 0.000033s
HumanEval_80.py: 0.000121s
HumanEval_85.py: 0.000083s
HumanEval_89.py: 0.000457s
HumanEval_92.py: 0.000085s
HumanEval_93.py: 0.000500s
HumanEval_95.py: 0.000234s
HumanEval_98.py: 0.000064s
HumanEval_102.py: 0.000029s
HumanEval_103.py: 0.001054s
HumanEval_109.py: 0.000155s
HumanEval_111.py: 0.000311s
HumanEval_112.py: 0.000177s
HumanEval_113.py: 0.000643s
HumanEval_118.py: 0.000158s
HumanEval_121.py: 0.000125s
HumanEval_123.py: 0.000177s
HumanEval_124.py: 0.000284s
HumanEval_128.py: 0.000340s
HumanEval_131.py: 0.000101s
HumanEval_138.py: 0.000026s
HumanEval_142.py: 0.000628s
HumanEval_144.py: 0.000222s
HumanEval_148.py: 0.000082s
HumanEval_149.py: 0.000246s
HumanEval_150.py: 0.007204s
HumanEval_155.py: 0.000129s
HumanEval_157.py: 0.000068s
