Mbpp_2.py: Kernel usage: 5.23%, CPU usage: 167.36%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_3.py: Kernel usage: 5.26%, CPU usage: 168.18%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_6.py: Kernel usage: 6.31%, CPU usage: 202.05%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_7.py: Kernel usage: 8.03%, CPU usage: 257.11%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_8.py: Kernel usage: 7.75%, CPU usage: 247.96%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_10.py: Kernel usage: 6.05%, CPU usage: 193.52%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_12.py: Kernel usage: 6.49%, CPU usage: 207.76%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_14.py: Kernel usage: 4.20%, CPU usage: 134.48%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_17.py: Kernel usage: 4.12%, CPU usage: 131.79%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_18.py: Kernel usage: 7.33%, CPU usage: 234.68%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_19.py: Kernel usage: 5.73%, CPU usage: 183.28%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_20.py: Kernel usage: 5.91%, CPU usage: 189.11%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_21.py: Kernel usage: 6.28%, CPU usage: 200.91%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_22.py: Kernel usage: 6.19%, CPU usage: 198.05%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_23.py: Kernel usage: 6.44%, CPU usage: 206.19%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_24.py: Kernel usage: 7.47%, CPU usage: 238.94%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_28.py: Kernel usage: 6.25%, CPU usage: 199.95%, CPU Runtime: 0.04s, Total Runtime: 0.02s
Mbpp_29.py: Kernel usage: 5.90%, CPU usage: 188.71%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_30.py: Kernel usage: 6.06%, CPU usage: 194.06%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_31.py: Kernel usage: 6.71%, CPU usage: 214.64%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_34.py: Kernel usage: 5.08%, CPU usage: 162.57%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_37.py: Kernel usage: 7.78%, CPU usage: 249.10%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_38.py: Kernel usage: 7.76%, CPU usage: 248.47%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_40.py: Kernel usage: 5.82%, CPU usage: 186.36%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_41.py: Kernel usage: 6.80%, CPU usage: 217.57%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_42.py: Kernel usage: 6.96%, CPU usage: 222.85%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_46.py: Kernel usage: 5.80%, CPU usage: 185.55%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_49.py: Kernel usage: 5.61%, CPU usage: 179.64%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_50.py: Kernel usage: 10.06%, CPU usage: 321.91%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_51.py: Kernel usage: 4.36%, CPU usage: 139.39%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_53.py: Kernel usage: 4.40%, CPU usage: 140.79%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_54.py: Kernel usage: 6.07%, CPU usage: 194.14%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_55.py: Kernel usage: 5.25%, CPU usage: 168.01%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_57.py: Kernel usage: 5.90%, CPU usage: 188.74%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_58.py: Kernel usage: 4.27%, CPU usage: 136.48%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_60.py: Kernel usage: 6.54%, CPU usage: 209.33%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_61.py: Kernel usage: 6.83%, CPU usage: 218.62%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_62.py: Kernel usage: 5.87%, CPU usage: 187.90%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_63.py: Kernel usage: 8.21%, CPU usage: 262.79%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_64.py: Kernel usage: 7.88%, CPU usage: 252.30%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_65.py: Kernel usage: 5.74%, CPU usage: 183.63%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_66.py: Kernel usage: 8.82%, CPU usage: 282.20%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_68.py: Kernel usage: 8.18%, CPU usage: 261.61%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_69.py: Kernel usage: 6.16%, CPU usage: 197.10%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_70.py: Kernel usage: 5.72%, CPU usage: 183.19%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_71.py: Kernel usage: 6.55%, CPU usage: 209.48%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_74.py: Kernel usage: 6.72%, CPU usage: 214.96%, CPU Runtime: 0.00s, Total Runtime: 0.00s
