736.00 Byte, 0.00 Byte
696.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
620.00 Byte, 0.00 Byte
284.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
1410.00 Byte, 0.00 Byte
608.00 Byte, 56.00 Byte
199.00 Byte, 0.00 Byte
312.00 Byte, 0.00 Byte
160.00 Byte, 0.00 Byte
320.00 Byte, 0.00 Byte
1168.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
1282.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
1120.00 Byte, 0.00 Byte
904.00 Byte, 0.00 Byte
148.00 Byte, 0.00 Byte
408.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
392.00 Byte, 0.00 Byte
136.00 Byte, 0.00 Byte
1008.00 Byte, 0.00 Byte
584.00 Byte, 0.00 Byte
1615.00 Byte, 0.00 Byte
288.00 Byte, 0.00 Byte
340.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
158.00 Byte, 0.00 Byte
1832.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
276.00 Byte, 0.00 Byte
416.00 Byte, 0.00 Byte
424.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
1656.00 Byte, 64.00 Byte
544.00 Byte, 56.00 Byte
1282.00 Byte, 0.00 Byte
1282.00 Byte, 0.00 Byte
336.00 Byte, 0.00 Byte
872.00 Byte, 0.00 Byte
200.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
432.00 Byte, 0.00 Byte
276.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
776.00 Byte, 0.00 Byte
150.00 Byte, 0.00 Byte
504.00 Byte, 0.00 Byte
132.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
328.00 Byte, 0.00 Byte
208.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
100864.00 Byte, 0.00 Byte
416.00 Byte, 0.00 Byte
208.00 Byte, 0.00 Byte
400.00 Byte, 0.00 Byte
1331.00 Byte, 0.00 Byte
440.00 Byte, 0.00 Byte
640.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
567.00 Byte, 39.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
424.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
224.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
640.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
432.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
276.00 Byte, 0.00 Byte
448.00 Byte, 0.00 Byte
384.00 Byte, 0.00 Byte
1200.00 Byte, 0.00 Byte
152.00 Byte, 0.00 Byte
158.00 Byte, 0.00 Byte
235.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
690.00 Byte, 0.00 Byte
152.00 Byte, 104.00 Byte
472.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
260.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
928.00 Byte, 224.00 Byte
584.00 Byte, 0.00 Byte
446.00 Byte, 0.00 Byte
624.00 Byte, 0.00 Byte
341.00 Byte, 0.00 Byte
632.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
304.00 Byte, 0.00 Byte
660.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
288.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
631.00 Byte, 0.00 Byte
672.00 Byte, 0.00 Byte
1256.00 Byte, 0.00 Byte
207.00 Byte, 0.00 Byte
106.00 Byte, 0.00 Byte
396.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
232.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
696.00 Byte, 0.00 Byte
272.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
312.00 Byte, 0.00 Byte
320.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
280.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
432.00 Byte, 0.00 Byte
776.00 Byte, 44.00 Byte
2112.00 Byte, 1400.00 Byte
272.00 Byte, 0.00 Byte
144.00 Byte, 0.00 Byte
456.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
528.00 Byte, 0.00 Byte
210.00 Byte, 0.00 Byte
256.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
112.00 Byte, 0.00 Byte
252.00 Byte, 0.00 Byte
224.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
484.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
240.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
104.00 Byte, 0.00 Byte
352.00 Byte, 0.00 Byte
233.00 Byte, 0.00 Byte
1322.00 Byte, 0.00 Byte
416.00 Byte, 0.00 Byte
277.00 Byte, 0.00 Byte
800.00 Byte, 0.00 Byte
464.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
224.00 Byte, 0.00 Byte
360.00 Byte, 0.00 Byte
572.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
488.00 Byte, 0.00 Byte
416.00 Byte, 0.00 Byte
384.00 Byte, 0.00 Byte
103.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
8320.00 Byte, 7920.00 Byte
7764.00 Byte, 7200.00 Byte
1056.00 Byte, 0.00 Byte
1282.00 Byte, 0.00 Byte
176.00 Byte, 0.00 Byte
1282.00 Byte, 0.00 Byte
344.00 Byte, 0.00 Byte
618.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
360.00 Byte, 0.00 Byte
824.00 Byte, 0.00 Byte
160.00 Byte, 0.00 Byte
416.00 Byte, 0.00 Byte
112.00 Byte, 0.00 Byte
102.00 Byte, 0.00 Byte
184.00 Byte, 0.00 Byte
100.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
120.00 Byte, 0.00 Byte
272.00 Byte, 0.00 Byte
312.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
734.00 Byte, 70.00 Byte
96.00 Byte, 0.00 Byte
18296.00 Byte, 17952.00 Byte
240.00 Byte, 0.00 Byte
1680.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
416.00 Byte, 0.00 Byte
6376.00 Byte, 0.00 Byte
616.00 Byte, 56.00 Byte
96.00 Byte, 0.00 Byte
192.00 Byte, 0.00 Byte
96.00 Byte, 0.00 Byte
376.00 Byte, 0.00 Byte
