Mbpp_1.py: Kernel usage: 6.60%, CPU usage: 211.05%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_3.py: Kernel usage: 4.96%, CPU usage: 158.78%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_4.py: Kernel usage: 7.46%, CPU usage: 238.87%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_5.py: Kernel usage: 5.90%, CPU usage: 188.87%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_6.py: Kernel usage: 6.42%, CPU usage: 205.47%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_7.py: Kernel usage: 9.90%, CPU usage: 316.91%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_8.py: Kernel usage: 7.77%, CPU usage: 248.77%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_10.py: Kernel usage: 5.81%, CPU usage: 186.05%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_12.py: Kernel usage: 6.39%, CPU usage: 204.58%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_13.py: Kernel usage: 7.40%, CPU usage: 236.70%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_14.py: Kernel usage: 4.23%, CPU usage: 135.22%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_17.py: Kernel usage: 4.08%, CPU usage: 130.52%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_18.py: Kernel usage: 6.79%, CPU usage: 217.13%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_19.py: Kernel usage: 6.25%, CPU usage: 200.07%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_20.py: Kernel usage: 5.90%, CPU usage: 188.64%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_21.py: Kernel usage: 6.30%, CPU usage: 201.71%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_22.py: Kernel usage: 6.21%, CPU usage: 198.62%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_24.py: Kernel usage: 7.48%, CPU usage: 239.38%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_25.py: Kernel usage: 6.04%, CPU usage: 193.14%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_26.py: Kernel usage: 5.46%, CPU usage: 174.65%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_27.py: Kernel usage: 8.73%, CPU usage: 279.36%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_28.py: Kernel usage: 6.25%, CPU usage: 199.94%, CPU Runtime: 0.04s, Total Runtime: 0.02s
Mbpp_29.py: Kernel usage: 5.95%, CPU usage: 190.38%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_30.py: Kernel usage: 6.04%, CPU usage: 193.38%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_32.py: Kernel usage: 5.52%, CPU usage: 176.62%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_33.py: Kernel usage: 7.13%, CPU usage: 228.31%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_34.py: Kernel usage: 5.31%, CPU usage: 169.84%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_35.py: Kernel usage: 4.12%, CPU usage: 131.71%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_36.py: Kernel usage: 5.22%, CPU usage: 167.15%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_37.py: Kernel usage: 6.62%, CPU usage: 211.71%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_38.py: Kernel usage: 5.14%, CPU usage: 164.48%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_40.py: Kernel usage: 5.12%, CPU usage: 163.74%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_41.py: Kernel usage: 6.86%, CPU usage: 219.44%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_42.py: Kernel usage: 6.93%, CPU usage: 221.78%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_43.py: Kernel usage: 9.68%, CPU usage: 309.79%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_45.py: Kernel usage: 5.75%, CPU usage: 183.86%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_46.py: Kernel usage: 5.87%, CPU usage: 187.77%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_47.py: Kernel usage: 5.57%, CPU usage: 178.08%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_48.py: Kernel usage: 5.67%, CPU usage: 181.55%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_49.py: Kernel usage: 5.70%, CPU usage: 182.54%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_50.py: Kernel usage: 10.06%, CPU usage: 321.90%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_51.py: Kernel usage: 4.26%, CPU usage: 136.44%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_52.py: Kernel usage: 4.24%, CPU usage: 135.74%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_53.py: Kernel usage: 4.43%, CPU usage: 141.87%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_54.py: Kernel usage: 6.05%, CPU usage: 193.67%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_55.py: Kernel usage: 5.24%, CPU usage: 167.69%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_56.py: Kernel usage: 5.21%, CPU usage: 166.70%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_57.py: Kernel usage: 5.94%, CPU usage: 190.02%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_58.py: Kernel usage: 4.36%, CPU usage: 139.66%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_59.py: Kernel usage: 4.46%, CPU usage: 142.77%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_60.py: Kernel usage: 6.67%, CPU usage: 213.34%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_61.py: Kernel usage: 6.13%, CPU usage: 196.15%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_62.py: Kernel usage: 5.59%, CPU usage: 178.84%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_63.py: Kernel usage: 8.17%, CPU usage: 261.48%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_64.py: Kernel usage: 8.01%, CPU usage: 256.36%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_65.py: Kernel usage: 5.70%, CPU usage: 182.36%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_66.py: Kernel usage: 5.02%, CPU usage: 160.70%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_67.py: Kernel usage: 7.79%, CPU usage: 249.26%, CPU Runtime: 0.01s, Total Runtime: 0.01s
Mbpp_68.py: Kernel usage: 8.22%, CPU usage: 263.09%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_69.py: Kernel usage: 6.14%, CPU usage: 196.46%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_70.py: Kernel usage: 5.74%, CPU usage: 183.72%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_71.py: Kernel usage: 6.55%, CPU usage: 209.54%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_72.py: Kernel usage: 6.10%, CPU usage: 195.22%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_73.py: Kernel usage: 6.19%, CPU usage: 198.19%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_74.py: Kernel usage: 6.70%, CPU usage: 214.55%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_75.py: Kernel usage: 7.91%, CPU usage: 252.97%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_76.py: Kernel usage: 4.91%, CPU usage: 157.23%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_78.py: Kernel usage: 7.32%, CPU usage: 234.16%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_79.py: Kernel usage: 5.42%, CPU usage: 173.31%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_80.py: Kernel usage: 4.51%, CPU usage: 144.44%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_81.py: Kernel usage: 6.58%, CPU usage: 210.49%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_83.py: Kernel usage: 6.64%, CPU usage: 212.34%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_84.py: Kernel usage: 6.25%, CPU usage: 199.84%, CPU Runtime: 0.01s, Total Runtime: 0.00s
Mbpp_86.py: Kernel usage: 4.45%, CPU usage: 142.49%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_88.py: Kernel usage: 5.40%, CPU usage: 172.75%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_89.py: Kernel usage: 4.04%, CPU usage: 129.15%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_90.py: Kernel usage: 6.37%, CPU usage: 203.75%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_91.py: Kernel usage: 4.97%, CPU usage: 159.16%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_93.py: Kernel usage: 5.83%, CPU usage: 186.44%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_94.py: Kernel usage: 8.15%, CPU usage: 260.94%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_95.py: Kernel usage: 5.83%, CPU usage: 186.68%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_97.py: Kernel usage: 6.49%, CPU usage: 207.69%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_98.py: Kernel usage: 5.64%, CPU usage: 180.55%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_99.py: Kernel usage: 5.65%, CPU usage: 180.72%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_101.py: Kernel usage: 5.88%, CPU usage: 188.30%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_102.py: Kernel usage: 9.67%, CPU usage: 309.33%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_103.py: Kernel usage: 6.04%, CPU usage: 193.26%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_104.py: Kernel usage: 9.97%, CPU usage: 318.88%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_105.py: Kernel usage: 4.81%, CPU usage: 154.03%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_106.py: Kernel usage: 4.34%, CPU usage: 138.87%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_107.py: Kernel usage: 5.53%, CPU usage: 177.02%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_108.py: Kernel usage: 6.96%, CPU usage: 222.65%, CPU Runtime: 0.00s, Total Runtime: 0.00s
