Mbpp_1.py: Kernel usage: 6.59%, CPU usage: 210.91%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_3.py: Kernel usage: 5.72%, CPU usage: 183.05%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_4.py: Kernel usage: 7.41%, CPU usage: 237.20%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_7.py: Kernel usage: 8.01%, CPU usage: 256.42%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_8.py: Kernel usage: 7.70%, CPU usage: 246.32%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_9.py: Kernel usage: 5.70%, CPU usage: 182.56%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_10.py: Kernel usage: 5.78%, CPU usage: 184.84%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_12.py: Kernel usage: 5.78%, CPU usage: 184.93%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_13.py: Kernel usage: 7.36%, CPU usage: 235.48%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_14.py: Kernel usage: 4.16%, CPU usage: 133.19%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_17.py: Kernel usage: 4.08%, CPU usage: 130.59%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_18.py: Kernel usage: 5.66%, CPU usage: 180.97%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_19.py: Kernel usage: 5.70%, CPU usage: 182.28%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_20.py: Kernel usage: 5.90%, CPU usage: 188.71%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_21.py: Kernel usage: 4.84%, CPU usage: 154.96%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_23.py: Kernel usage: 6.47%, CPU usage: 206.95%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_24.py: Kernel usage: 7.49%, CPU usage: 239.71%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_25.py: Kernel usage: 6.04%, CPU usage: 193.43%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_26.py: Kernel usage: 5.41%, CPU usage: 173.25%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_27.py: Kernel usage: 8.72%, CPU usage: 279.09%, CPU Runtime: 0.00s, Total Runtime: 0.00s
Mbpp_28.py: Kernel usage: 6.25%, CPU usage: 199.95%, CPU Runtime: 0.04s, Total Runtime: 0.02s
Mbpp_29.py: Kernel usage: 5.91%, CPU usage: 189.20%, CPU Runtime: 0.00s, Total Runtime: 0.00s
